ID;Income;Limit;Rating;Cards;Age;Education;Gender;Student;Married;Balance
CC113;55,187;5352;385;4;50;17;Female;No;Yes;538
CC114;53,401;5319;377;3;35;12;Female;No;No;541
CC115;76,782;5977;429;4;44;12; Male;No;Yes;548
CC116;40,885;5013;379;3;46;13;Female;No;Yes;549
CC117;12,096;4100;307;3;32;13; Male;No;Yes;560
CC118;25,383;4527;367;4;46;11; Male;No;Yes;570
CC119;10,403;4159;310;3;43;7; Male;No;Yes;571
CC120;27,512;4613;344;5;72;17; Male;No;Yes;573
CC121;64,173;6127;433;1;80;10; Male;No;Yes;578
CC122;15,56;4307;352;4;57;8; Male;No;Yes;579
CC123;104,593;7075;514;4;71;11; Male;No;No;580
CC124;21,786;4632;355;1;50;17; Male;No;Yes;580
CC125;63,931;5728;435;3;28;14;Female;No;Yes;581
CC126;104,483;7140;507;2;41;14; Male;No;Yes;583
CC127;29,4;4840;368;3;76;18;Female;No;Yes;588
CC128;24,23;4756;351;2;64;15;Female;No;Yes;594
CC129;23,989;4523;338;4;31;15; Male;No;No;601
CC130;12;4160;320;4;28;14;Female;No;Yes;602
CC131;91,876;6754;483;2;33;10; Male;No;Yes;605
CC132;41,365;5303;377;1;45;14; Male;No;No;606
CC133;44,205;5441;394;1;32;12; Male;No;Yes;607
CC134;12,335;4471;344;3;79;12; Male;No;Yes;611
CC135;35,51;5198;364;2;35;20;Female;No;No;631
CC136;48,218;5199;401;7;39;10; Male;No;Yes;633
CC137;39,422;5245;383;2;44;19; Male;No;No;637
CC138;10,793;3878;321;8;29;13; Male;No;No;638
CC139;19,529;4673;341;2;51;14; Male;No;No;642
CC140;27,999;5107;380;1;55;10; Male;No;Yes;651
CC141;42,357;5550;406;2;83;12;Female;No;Yes;653
CC142;38,954;5222;370;4;76;13;Female;No;No;653
CC143;42,471;3625;289;6;44;12;Female;Yes;No;654
CC144;36,362;5183;376;3;49;15; Male;No;Yes;654
CC145;25,124;4776;378;4;29;12; Male;No;Yes;657
CC146;33,214;5137;387;3;59;9; Male;No;No;661
CC147;115,123;7760;538;3;83;14;Female;No;No;661
CC148;22,939;4923;355;1;47;18;Female;No;Yes;663
CC149;103,893;7416;549;3;84;17; Male;No;No;669
CC150;14,09;4323;326;5;25;16;Female;No;Yes;671
CC151;34,909;5289;410;2;62;16;Female;No;Yes;681
CC152;14,956;4640;332;2;33;6; Male;No;No;681
CC153;15,741;4788;360;1;39;14; Male;No;Yes;689
CC154;121,709;7818;584;4;50;6; Male;No;Yes;701
CC155;19,636;4896;387;3;64;10;Female;No;No;710
CC156;26,162;5101;382;3;62;19;Female;No;No;710
CC157;24,919;5051;372;3;76;11;Female;No;Yes;711
CC158;53,566;5891;434;4;82;10;Female;No;No;712
CC159;19,349;4941;366;1;33;19; Male;No;Yes;717
CC160;73,327;6555;472;2;43;15;Female;No;No;721
CC161;14,887;4745;339;3;58;12; Male;No;Yes;724
CC162;30,413;3690;299;2;25;15;Female;Yes;No;728
CC163;151,947;9156;642;2;91;11;Female;No;Yes;732
CC164;17,765;5072;364;1;66;12;Female;No;Yes;732
CC165;49,794;5758;410;4;40;8; Male;No;No;734
CC166;15,846;4768;365;4;53;12;Female;No;No;745
CC167;93,039;7398;517;1;67;12; Male;No;Yes;749
CC168;62,413;6457;455;2;71;11;Female;No;Yes;762
CC169;87,625;7167;515;2;46;10;Female;No;No;767
CC170;69,251;6386;474;4;30;12;Female;No;Yes;768
CC171;39,055;5565;410;4;48;18;Female;No;Yes;772
CC172;58,929;6420;459;2;66;9;Female;No;Yes;789
CC173;113,772;6442;489;4;69;15; Male;Yes;Yes;790
CC174;44,646;4431;320;2;49;15; Male;Yes;Yes;797
CC175;29,567;5309;397;3;25;15; Male;No;No;799
CC176;23,883;5384;398;2;73;16;Female;No;Yes;802
CC177;17,055;5110;371;3;55;15;Female;No;Yes;805
CC178;83,948;7100;503;2;44;18; Male;No;No;806
CC179;48,498;6040;456;3;47;16; Male;No;Yes;812
CC180;55,367;6340;448;1;33;15; Male;No;Yes;815
CC181;27,847;5619;418;2;78;15;Female;No;Yes;822
CC182;27,825;5227;386;6;63;11; Male;No;Yes;823
CC183;23,949;5343;383;2;40;18; Male;No;Yes;829
CC184;34,664;5835;452;3;77;15;Female;No;Yes;835
CC185;12,238;4865;381;5;67;11;Female;No;No;836
CC186;19,782;3782;293;2;46;16;Female;Yes;No;840
CC187;92,386;7685;534;2;75;18;Female;No;Yes;843
CC188;23,375;5429;396;3;57;15;Female;No;Yes;844
CC189;94,193;7576;527;2;44;16;Female;No;Yes;846
CC190;101,788;8029;574;2;84;11; Male;No;Yes;849
CC191;58,165;6617;460;1;56;12;Female;No;Yes;856
CC192;34,142;5666;413;4;47;5;Female;No;Yes;863
CC193;16,711;5274;387;3;42;16;Female;No;Yes;863
CC194;23,793;3821;281;4;56;12;Female;Yes;Yes;868
CC195;71,408;7114;512;2;87;9; Male;No;No;872
CC196;75,257;7010;494;3;34;18;Female;No;Yes;885
CC197;11,187;5099;380;4;69;16;Female;No;No;889
CC198;49,927;6396;485;3;75;17;Female;No;Yes;890
CC199;49,57;6384;448;1;28;9;Female;No;Yes;891
CC200;43,479;4569;354;4;49;13; Male;Yes;Yes;902
CC201;106,025;6645;483;3;82;15;Female;Yes;Yes;903
CC202;62,602;7056;481;1;84;11;Female;No;No;904
CC203;82,706;7506;536;2;64;13;Female;No;Yes;905
CC204;26,4;5640;398;3;58;15;Female;No;No;905
CC205;21,551;5380;420;5;51;18; Male;No;Yes;907
CC206;23,283;5443;407;4;49;13; Male;No;Yes;912
CC207;26,813;5611;411;4;55;16;Female;No;No;915
CC208;32,856;5884;438;4;68;13; Male;No;No;926
CC209;83,869;7667;554;2;83;11; Male;No;No;930
CC210;16,479;5435;388;2;26;16; Male;No;No;937
CC211;29,638;5833;433;3;29;15;Female;No;Yes;942
CC212;16,103;5390;418;4;45;10;Female;No;Yes;945
CC213;12,456;5395;392;3;65;14; Male;No;Yes;955
CC214;16,304;5466;413;4;66;10; Male;No;Yes;957
CC215;34,48;6090;442;3;36;14; Male;No;No;962
CC216;148,924;9504;681;3;36;11;Female;No;No;964
CC217;18,701;5524;415;5;64;7;Female;No;No;966
CC218;30,55;5869;439;5;81;9;Female;No;No;967
CC219;37,348;6378;458;1;72;17;Female;No;No;968
CC220;36,929;6257;445;1;24;14;Female;No;Yes;976
CC221;49,166;6662;508;3;68;14;Female;No;No;984
CC222;35,61;6135;466;4;40;12; Male;No;No;992
CC223;77,38;7569;564;3;50;12;Female;No;Yes;997
CC224;20,974;5673;413;5;44;16;Female;No;Yes;1000
CC225;55,412;5354;383;2;37;16;Female;Yes;Yes;1003
CC226;21,455;5829;427;4;80;12;Female;No;Yes;1018
CC227;56,256;5521;406;2;72;16;Female;Yes;Yes;1020
CC228;20,191;5767;431;4;42;16; Male;No;Yes;1023
CC229;59,879;6906;527;6;78;15;Female;No;No;1032
CC230;33,694;4891;369;1;52;16; Male;Yes;No;1036
CC231;46,007;6637;491;4;42;14; Male;No;Yes;1046
CC232;42,079;6626;479;2;44;9; Male;No;No;1048
CC233;73,914;7333;529;6;67;15;Female;No;Yes;1048
CC234;36,508;6386;469;4;79;6;Female;No;Yes;1048
CC235;146,183;9540;682;6;66;15; Male;No;No;1050
CC236;180,379;9310;665;3;67;8;Female;Yes;Yes;1050
CC237;20,405;4543;329;2;72;17; Male;Yes;No;1054
CC238;69,943;7555;547;3;76;9; Male;No;Yes;1058
CC239;15,079;5673;411;4;28;15;Female;No;Yes;1075
CC240;43,682;6922;511;1;49;9; Male;No;Yes;1081
CC241;49,502;6819;505;4;55;14; Male;No;Yes;1084
CC242;63,809;7530;515;1;56;12; Male;No;Yes;1086
CC243;33,657;6196;450;6;55;9;Female;No;No;1092
CC244;30,007;6481;462;2;69;9;Female;No;Yes;1093
CC245;27,33;6179;459;4;36;12;Female;No;Yes;1099
CC246;58,781;7402;538;2;81;12;Female;No;Yes;1103
CC247;149,316;10278;707;1;80;16; Male;No;No;1107
CC248;31,861;6375;469;3;25;16;Female;No;Yes;1120
CC249;37,878;6827;482;2;80;13;Female;No;No;1129
CC250;115,52;9272;656;2;69;14; Male;No;No;1140
CC251;52,179;7306;522;2;57;14; Male;No;No;1142
CC252;80,18;8047;569;4;77;10; Male;No;No;1151
CC253;113,659;7659;538;2;66;15; Male;Yes;Yes;1155
CC254;59,53;7518;543;3;52;9;Female;No;No;1176
CC255;160,231;10748;754;2;69;17; Male;No;No;1192
CC256;71,682;8028;599;3;57;16; Male;No;Yes;1208
CC257;10,842;4391;358;5;37;10;Female;Yes;Yes;1216
CC258;98,515;8760;633;5;78;11;Female;No;No;1230
CC259;58,026;7499;560;5;67;11;Female;No;No;1237
CC260;19,531;5043;376;2;64;16;Female;Yes;Yes;1241
CC261;128,669;9824;685;3;67;16; Male;No;Yes;1243
CC262;44,847;5765;437;3;53;13;Female;Yes;No;1246
CC263;16,751;4706;353;6;48;14; Male;Yes;No;1255
CC264;123,299;8376;610;2;89;17; Male;Yes;No;1259
CC265;61,069;7871;564;3;56;14; Male;No;Yes;1264
CC266;63,534;8100;581;2;50;17;Female;No;Yes;1298
CC267;83,851;8494;607;5;47;18; Male;No;No;1311
CC268;69,656;8244;579;3;41;14; Male;No;Yes;1329
CC269;91,362;9113;626;1;47;17; Male;No;Yes;1341
CC270;71,061;6819;491;3;41;19;Female;Yes;Yes;1350
CC271;24,824;5495;409;1;33;9; Male;Yes;No;1352
CC272;72,945;8603;621;3;64;8;Female;No;No;1355
CC273;125,48;10230;721;3;82;16; Male;No;Yes;1361
CC274;14,312;5382;367;1;59;17; Male;Yes;No;1380
CC275;113,829;9704;694;4;38;13;Female;No;Yes;1388
CC276;135,118;10578;747;3;81;15;Female;No;Yes;1393
CC277;26,427;5533;433;5;50;15;Female;Yes;Yes;1404
CC278;180,682;11966;832;2;58;8;Female;No;Yes;1405
CC279;63,095;8117;589;4;30;14; Male;No;Yes;1407
CC280;68,206;6784;499;5;40;16;Female;Yes;No;1411
CC281;39,831;6045;459;3;32;12;Female;Yes;Yes;1425
CC282;130,209;10088;730;7;39;19;Female;No;Yes;1426
CC283;158,889;11589;805;1;62;17;Female;No;Yes;1448
CC284;33,437;6207;451;4;44;9; Male;Yes;No;1549
CC285;121,834;10673;750;3;54;16; Male;No;No;1573
CC286;68,713;7582;531;2;56;16; Male;Yes;No;1587
CC287;107,841;10384;728;3;87;7; Male;No;No;1597
CC288;140,672;11200;817;7;46;9; Male;No;Yes;1677
CC289;124,29;9560;701;3;52;17;Female;Yes;No;1687
CC290;152,298;12066;828;4;41;12;Female;No;Yes;1779
CC291;186,634;13414;949;2;41;14;Female;No;Yes;1809
CC292;182,728;13913;982;4;98;17; Male;No;Yes;1999
