Soma de gdpPercap;;year;;;;;;;;;;;;
country;continent;1952;1957;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007;Total Geral
Iraq;Asia;$4.129,77;$6.229,33;$8.341,74;$8.931,46;$9.576,04;$14.688,24;$14.517,91;$11.643,57;$3.745,64;$3.076,24;$4.390,72;$4.471,06;$93.741,71
Ireland;Europe;$5.210,28;$5.599,08;$6.631,60;$7.655,57;$9.530,77;$11.150,98;$12.618,32;$13.872,87;$17.558,82;$24.521,95;$34.077,05;$40.676,00;$189.103,27
Israel;Asia;$4.086,52;$5.385,28;$7.105,63;$8.393,74;$12.786,93;$13.306,62;$15.367,03;$17.122,48;$18.051,52;$20.896,61;$21.905,60;$25.523,28;$169.931,24
Italy;Europe;$4.931,40;$6.248,66;$8.243,58;$10.022,40;$12.269,27;$14.255,98;$16.537,48;$19.207,23;$22.013,64;$24.675,02;$27.968,10;$28.569,72;$194.942,51
Jamaica;Americas;$2.898,53;$4.756,53;$5.246,11;$6.124,70;$7.433,89;$6.650,20;$6.068,05;$6.351,24;$7.404,92;$7.121,92;$6.994,77;$7.320,88;$74.371,74
Japan;Asia;$3.216,96;$4.317,69;$6.576,65;$9.847,79;$14.778,79;$16.610,38;$19.384,11;$22.375,94;$26.824,90;$28.816,58;$28.604,59;$31.656,07;$213.010,44
Jordan;Asia;$1.546,91;$1.886,08;$2.348,01;$2.741,80;$2.110,86;$2.852,35;$4.161,42;$4.448,68;$3.431,59;$3.645,38;$3.844,92;$4.519,46;$37.537,45
Kenya;Africa;$853,54;$944,44;$896,97;$1.056,74;$1.222,36;$1.267,61;$1.348,23;$1.361,94;$1.341,92;$1.360,49;$1.287,51;$1.463,25;$14.404,99
Korea, Dem. Rep.;Asia;$1.088,28;$1.571,13;$1.621,69;$2.143,54;$3.701,62;$4.106,30;$4.106,53;$4.106,49;$3.726,06;$1.690,76;$1.646,76;$1.593,07;$31.102,23
Korea, Rep.;Asia;$1.030,59;$1.487,59;$1.536,34;$2.029,23;$3.030,88;$4.657,22;$5.622,94;$8.533,09;$12.104,28;$15.993,53;$19.233,99;$23.348,14;$98.607,82
Kuwait;Asia;$108.382,35;$113.523,13;$95.458,11;$80.894,88;$109.347,87;$59.265,48;$31.354,04;$28.118,43;$34.932,92;$40.300,62;$35.110,11;$47.306,99;$783.994,93
Lebanon;Asia;$4.834,80;$6.089,79;$5.714,56;$6.006,98;$7.486,38;$8.659,70;$7.640,52;$5.377,09;$6.890,81;$8.754,96;$9.313,94;$10.461,06;$87.230,59
Lesotho;Africa;$298,85;$336,00;$411,80;$498,64;$496,58;$745,37;$797,26;$773,99;$977,49;$1.186,15;$1.275,18;$1.569,33;$9.366,64
Liberia;Africa;$575,57;$620,97;$634,20;$713,60;$803,01;$640,32;$572,20;$506,11;$636,62;$609,17;$531,48;$414,51;$7.257,77
Libya;Africa;$2.387,55;$3.448,28;$6.757,03;$18.772,75;$21.011,50;$21.951,21;$17.364,28;$11.770,59;$9.640,14;$9.467,45;$9.534,68;$12.057,50;$144.162,95
Madagascar;Africa;$1.443,01;$1.589,20;$1.643,39;$1.634,05;$1.748,56;$1.544,23;$1.302,88;$1.155,44;$1.040,68;$986,30;$894,64;$1.044,77;$16.027,14
Malawi;Africa;$369,17;$416,37;$427,90;$495,51;$584,62;$663,22;$632,80;$635,52;$563,20;$692,28;$665,42;$759,35;$6.905,37
Malaysia;Asia;$1.831,13;$1.810,07;$2.036,88;$2.277,74;$2.849,09;$3.827,92;$4.920,36;$5.249,80;$7.277,91;$10.132,91;$10.206,98;$12.451,66;$64.872,46
Mali;Africa;$452,34;$490,38;$496,17;$545,01;$581,37;$686,40;$618,01;$684,17;$739,01;$790,26;$951,41;$1.042,58;$8.077,12
Mauritania;Africa;$743,12;$846,12;$1.055,90;$1.421,15;$1.586,85;$1.497,49;$1.481,15;$1.421,60;$1.361,37;$1.483,14;$1.579,02;$1.803,15;$16.280,05
Mauritius;Africa;$1.967,96;$2.034,04;$2.529,07;$2.475,39;$2.575,48;$3.710,98;$3.688,04;$4.783,59;$6.058,25;$7.425,71;$9.021,82;$10.956,99;$57.227,31
Mexico;Americas;$3.478,13;$4.131,55;$4.581,61;$5.754,73;$6.809,41;$7.674,93;$9.611,15;$8.688,16;$9.472,38;$9.767,30;$10.742,44;$11.977,57;$92.689,35
Mongolia;Asia;$786,57;$912,66;$1.056,35;$1.226,04;$1.421,74;$1.647,51;$2.000,60;$2.338,01;$1.785,40;$1.902,25;$2.140,74;$3.095,77;$20.313,66
Montenegro;Europe;$2.647,59;$3.682,26;$4.649,59;$5.907,85;$7.778,41;$9.595,93;$11.222,59;$11.732,51;$7.003,34;$6.465,61;$6.557,19;$9.253,90;$86.496,77
Morocco;Africa;$1.688,20;$1.642,00;$1.566,35;$1.711,04;$1.930,19;$2.370,62;$2.702,62;$2.755,05;$2.948,05;$2.982,10;$3.258,50;$3.820,18;$29.374,91
Mozambique;Africa;$468,53;$495,59;$556,69;$566,67;$724,92;$502,32;$462,21;$389,88;$410,90;$472,35;$633,62;$823,69;$6.507,34
Myanmar;Asia;$331,00;$350,00;$388,00;$349,00;$357,00;$371,00;$424,00;$385,00;$347,00;$415,00;$611,00;$944,00;$5.272,00
Namibia;Africa;$2.423,78;$2.621,45;$3.173,22;$3.793,69;$3.746,08;$3.876,49;$4.191,10;$3.693,73;$3.804,54;$3.899,52;$4.072,32;$4.811,06;$44.106,99
Nepal;Asia;$545,87;$597,94;$652,40;$676,44;$674,79;$694,11;$718,37;$775,63;$897,74;$1.010,89;$1.057,21;$1.091,36;$9.392,75
Netherlands;Europe;$8.941,57;$11.276,19;$12.790,85;$15.363,25;$18.794,75;$21.209,06;$21.399,46;$23.651,32;$26.790,95;$30.246,13;$33.724,76;$36.797,93;$260.986,23
New Zealand;Oceania;$10.556,58;$12.247,40;$13.175,68;$14.463,92;$16.046,04;$16.233,72;$17.632,41;$19.007,19;$18.363,32;$21.050,41;$23.189,80;$25.185,01;$207.151,47
Nicaragua;Americas;$3.112,36;$3.457,42;$3.634,36;$4.643,39;$4.688,59;$5.486,37;$3.470,34;$2.955,98;$2.170,15;$2.253,02;$2.474,55;$2.749,32;$41.095,87
Niger;Africa;$761,88;$835,52;$997,77;$1.054,38;$954,21;$808,90;$909,72;$668,30;$581,18;$580,31;$601,07;$619,68;$9.372,92
Nigeria;Africa;$1.077,28;$1.100,59;$1.150,93;$1.014,51;$1.698,39;$1.981,95;$1.576,97;$1.385,03;$1.619,85;$1.624,94;$1.615,29;$2.013,98;$17.859,71
Norway;Europe;$10.095,42;$11.653,97;$13.450,40;$16.361,88;$18.965,06;$23.311,35;$26.298,64;$31.540,97;$33.965,66;$41.283,16;$44.683,98;$49.357,19;$320.967,68
Oman;Asia;$1.828,23;$2.242,75;$2.924,64;$4.720,94;$10.618,04;$11.848,34;$12.954,79;$18.115,22;$18.616,71;$19.702,06;$19.774,84;$22.316,19;$145.662,75
Pakistan;Asia;$684,60;$747,08;$803,34;$942,41;$1.049,94;$1.175,92;$1.443,43;$1.704,69;$1.971,83;$2.049,35;$2.092,71;$2.605,95;$17.271,25
Panama;Americas;$2.480,38;$2.961,80;$3.536,54;$4.421,01;$5.364,25;$5.351,91;$7.009,60;$7.034,78;$6.618,74;$7.113,69;$7.356,03;$9.809,19;$69.057,93
Paraguay;Americas;$1.952,31;$2.046,15;$2.148,03;$2.299,38;$2.523,34;$3.248,37;$4.258,50;$3.998,88;$4.196,41;$4.247,40;$3.783,67;$4.172,84;$38.875,28
Peru;Americas;$3.758,52;$4.245,26;$4.957,04;$5.788,09;$5.937,83;$6.281,29;$6.434,50;$6.360,94;$4.446,38;$5.838,35;$5.909,02;$7.408,91;$67.366,13
Philippines;Asia;$1.272,88;$1.547,94;$1.649,55;$1.814,13;$1.989,37;$2.373,20;$2.603,27;$2.189,63;$2.279,32;$2.536,53;$2.650,92;$3.190,48;$26.097,25
Poland;Europe;$4.029,33;$4.734,25;$5.338,75;$6.557,15;$8.006,51;$9.508,14;$8.451,53;$9.082,35;$7.738,88;$10.159,58;$12.002,24;$15.389,92;$100.998,65
Portugal;Europe;$3.068,32;$3.774,57;$4.727,95;$6.361,52;$9.022,25;$10.172,49;$11.753,84;$13.039,31;$16.207,27;$17.641,03;$19.970,91;$20.509,65;$136.249,10
Puerto Rico;Americas;$3.081,96;$3.907,16;$5.108,34;$6.929,28;$9.123,04;$9.770,52;$10.330,99;$12.281,34;$14.641,59;$16.999,43;$18.855,61;$19.328,71;$130.357,97
Reunion;Africa;$2.718,89;$2.769,45;$3.173,72;$4.021,18;$5.047,66;$4.319,80;$5.267,22;$5.303,38;$6.101,26;$6.071,94;$6.316,17;$7.670,12;$58.780,78
Romania;Europe;$3.144,61;$3.943,37;$4.735,00;$6.470,87;$8.011,41;$9.356,40;$9.605,31;$9.696,27;$6.598,41;$7.346,55;$7.885,36;$10.808,48;$87.602,04
Rwanda;Africa;$493,32;$540,29;$597,47;$510,96;$590,58;$670,08;$881,57;$847,99;$737,07;$589,94;$785,65;$863,09;$8.108,03
Sao Tome and Principe;Africa;$879,58;$860,74;$1.071,55;$1.384,84;$1.532,99;$1.737,56;$1.890,22;$1.516,53;$1.428,78;$1.339,08;$1.353,09;$1.598,44;$16.593,38
Saudi Arabia;Asia;$6.459,55;$8.157,59;$11.626,42;$16.903,05;$24.837,43;$34.167,76;$33.693,18;$21.198,26;$24.841,62;$20.586,69;$19.014,54;$21.654,83;$243.140,92
Senegal;Africa;$1.450,36;$1.567,65;$1.654,99;$1.612,40;$1.597,71;$1.561,77;$1.518,48;$1.441,72;$1.367,90;$1.392,37;$1.519,64;$1.712,47;$18.397,46
Serbia;Europe;$3.581,46;$4.981,09;$6.289,63;$7.991,71;$10.522,07;$12.980,67;$15.181,09;$15.870,88;$9.325,07;$7.914,32;$7.236,08;$9.786,53;$111.660,59
Sierra Leone;Africa;$879,79;$1.004,48;$1.116,64;$1.206,04;$1.353,76;$1.348,29;$1.465,01;$1.294,45;$1.068,70;$574,65;$699,49;$862,54;$12.873,83
Singapore;Asia;$2.315,14;$2.843,10;$3.674,74;$4.977,42;$8.597,76;$11.210,09;$15.169,16;$18.861,53;$24.769,89;$33.519,48;$36.023,11;$47.143,18;$209.104,59
Slovak Republic;Europe;$5.074,66;$6.093,26;$7.481,11;$8.412,90;$9.674,17;$10.922,66;$11.348,55;$12.037,27;$9.498,47;$12.126,23;$13.638,78;$18.678,31;$124.986,37
Slovenia;Europe;$4.215,04;$5.862,28;$7.402,30;$9.405,49;$12.383,49;$15.277,03;$17.866,72;$18.678,53;$14.214,72;$17.161,11;$20.660,02;$25.768,26;$168.894,99
Somalia;Africa;$1.135,75;$1.258,15;$1.369,49;$1.284,73;$1.254,58;$1.450,99;$1.176,81;$1.093,24;$926,96;$930,60;$882,08;$926,14;$13.689,52
South Africa;Africa;$4.725,30;$5.487,10;$5.768,73;$7.114,48;$7.765,96;$8.028,65;$8.568,27;$7.825,82;$7.225,07;$7.479,19;$7.710,95;$9.269,66;$86.969,17
Spain;Europe;$3.834,03;$4.564,80;$5.693,84;$7.993,51;$10.638,75;$13.236,92;$13.926,17;$15.764,98;$18.603,06;$20.445,30;$24.835,47;$28.821,06;$168.357,92
Sri Lanka;Asia;$1.083,53;$1.072,55;$1.074,47;$1.135,51;$1.213,40;$1.348,78;$1.648,08;$1.876,77;$2.153,74;$2.664,48;$3.015,38;$3.970,10;$22.256,77
Sudan;Africa;$1.615,99;$1.770,34;$1.959,59;$1.688,00;$1.659,65;$2.202,99;$1.895,54;$1.507,82;$1.492,20;$1.632,21;$1.993,40;$2.602,39;$22.020,13
Swaziland;Africa;$1.148,38;$1.244,71;$1.856,18;$2.613,10;$3.364,84;$3.781,41;$3.895,38;$3.984,84;$3.553,02;$3.876,77;$4.128,12;$4.513,48;$37.960,23
Sweden;Europe;$8.527,84;$9.911,88;$12.329,44;$15.258,30;$17.832,02;$18.855,73;$20.667,38;$23.586,93;$23.880,02;$25.266,59;$29.341,63;$33.859,75;$239.317,51
Switzerland;Europe;$14.734,23;$17.909,49;$20.431,09;$22.966,14;$27.195,11;$26.982,29;$28.397,72;$30.281,70;$31.871,53;$32.135,32;$34.480,96;$37.506,42;$324.892,01
Syria;Asia;$1.643,49;$2.117,23;$2.193,04;$1.881,92;$2.571,42;$3.195,48;$3.761,84;$3.116,77;$3.340,54;$4.014,24;$4.090,93;$4.184,55;$36.111,46
Taiwan;Asia;$1.206,95;$1.507,86;$1.822,88;$2.643,86;$4.062,52;$5.596,52;$7.426,35;$11.054,56;$15.215,66;$20.206,82;$23.235,42;$28.718,28;$122.697,69
Tanzania;Africa;$716,65;$698,54;$722,00;$848,22;$915,99;$962,49;$874,24;$831,82;$825,68;$789,19;$899,07;$1.107,48;$10.191,38
Thailand;Asia;$757,80;$793,58;$1.002,20;$1.295,46;$1.524,36;$1.961,22;$2.393,22;$2.982,65;$4.616,90;$5.852,63;$5.913,19;$7.458,40;$36.551,60
Togo;Africa;$859,81;$925,91;$1.067,53;$1.477,60;$1.649,66;$1.532,78;$1.344,58;$1.202,20;$1.034,30;$982,29;$886,22;$882,97;$13.845,84
Trinidad and Tobago;Americas;$3.023,27;$4.100,39;$4.997,52;$5.621,37;$6.619,55;$7.899,55;$9.119,53;$7.388,60;$7.370,99;$8.792,57;$11.460,60;$18.008,51;$94.402,46
Tunisia;Africa;$1.468,48;$1.395,23;$1.660,30;$1.932,36;$2.753,29;$3.120,88;$3.560,23;$3.810,42;$4.332,72;$4.876,80;$5.722,90;$7.092,92;$41.726,52
Turkey;Europe;$1.969,10;$2.218,75;$2.322,87;$2.826,36;$3.450,70;$4.269,12;$4.241,36;$5.089,04;$5.678,35;$6.601,43;$6.508,09;$8.458,28;$53.633,44
Uganda;Africa;$734,75;$774,37;$767,27;$908,92;$950,74;$843,73;$682,27;$617,72;$644,17;$816,56;$927,72;$1.056,38;$9.724,61
United Kingdom;Europe;$9.979,51;$11.283,18;$12.477,18;$14.142,85;$15.895,12;$17.428,75;$18.232,42;$21.664,79;$22.705,09;$26.074,53;$29.479,00;$33.203,26;$232.565,68
United States;Americas;$13.990,48;$14.847,13;$16.173,15;$19.530,37;$21.806,04;$24.072,63;$25.009,56;$29.884,35;$32.003,93;$35.767,43;$39.097,10;$42.951,65;$315.133,82
Uruguay;Americas;$5.716,77;$6.150,77;$5.603,36;$5.444,62;$5.703,41;$6.504,34;$6.920,22;$7.452,40;$8.137,00;$9.230,24;$7.727,00;$10.611,46;$85.201,60
Venezuela;Americas;$7.689,80;$9.802,47;$8.422,97;$9.541,47;$10.505,26;$13.143,95;$11.152,41;$9.883,58;$10.733,93;$10.165,50;$8.605,05;$11.415,81;$121.062,20
Vietnam;Asia;$605,07;$676,29;$772,05;$637,12;$699,50;$713,54;$707,24;$820,80;$989,02;$1.385,90;$1.764,46;$2.441,58;$12.212,55
West Bank and Gaza;Asia;$1.515,59;$1.827,07;$2.198,96;$2.649,72;$3.133,41;$3.682,83;$4.336,03;$5.107,20;$6.017,65;$7.110,67;$4.515,49;$3.025,35;$45.119,96
Yemen, Rep.;Asia;$781,72;$804,83;$825,62;$862,44;$1.265,05;$1.829,77;$1.977,56;$1.971,74;$1.879,50;$2.117,48;$2.234,82;$2.280,77;$18.831,30
Zambia;Africa;$1.147,39;$1.311,96;$1.452,73;$1.777,08;$1.773,50;$1.588,69;$1.408,68;$1.213,32;$1.210,88;$1.071,35;$1.071,61;$1.271,21;$16.298,39
Zimbabwe;Africa;$406,88;$518,76;$527,27;$569,80;$799,36;$685,59;$788,86;$706,16;$693,42;$792,45;$672,04;$469,71;$7.630,30
Total Geral;;$528.989,20;$610.515,98;$671.065,35;$778.678,73;$961.351,76;$1.038.469,63;$1.067.684,04;$1.121.930,67;$1.158.522,41;$1.290.804,90;$1.408.334,47;$1.658.570,20;$12.294.917,35
