IDENTIDADE;STATUS;UF;SEXO;ESCOLARIDADE;ESTCIV;RENDA;NATUREZA;REGIAO;IDADE
LC_1177;inad;SP;F;secundario;solt;5340;empregado;B;70
LC_1178;inad;SP;M;secundario;solt;1340;empregado;B;61
LC_1179;admpl;PA;F;secundario;casado;2343;empregado;B;58
LC_1180;admpl;SP;F;secundario;casado;2680;empregado;F;41
LC_1181;admpl;SP;M;secundario;solt;1340;empregado;B;51
LC_1182;inad;SP;M;secundario;solt;3379;autonomo;B;69
LC_1183;admpl;SP;M;superior;solt;6542;empregado;F;35
LC_1184;inad;SP;F;primario;divorciado;683;empregado;E;56
LC_1185;inad;SP;F;primario;casado;641;empregado;E;51
LC_1186;inad;SP;F;superior;solt;1072;autonomo;F;38
LC_1187;admpl;SP;F;secundario;divorciado;2151;empregado;B;65
LC_1188;inad;SP;F;primario;divorciado;604;autonomo;A;38
LC_1189;inad;SP;M;primario;solt;6604;empregado;F;69
LC_1190;inad;SP;F;superior;casado;1608;outros;A;41
LC_1191;admpl;SP;M;secundario;casado;1644;empregado;B;35
LC_1192;inad;SP;F;secundario;solt;2680;outros;F;69
LC_1193;inad;SP;M;secundario;divorciado;6700;empregado;B;32
LC_1194;inad;SP;M;secundario;viuvo;22652;empregado;C;33
LC_1195;inad;SP;M;superior;solt;211;empregado;E;48
LC_1196;inad;SP;M;superior;solt;1761;empregado;C;46
LC_1197;admpl;SP;M;secundario;solt;5167;empregado;B;41
LC_1198;inad;SP;M;secundario;solt;38182;empregado;E;59
LC_1199;inad;SP;M;primario;solt;2804;empregado;E;68
LC_1200;inad;SP;M;secundario;solt;5506;outros;B;63
LC_1201;inad;SP;M;secundario;solt;9380;empregado;A;40
LC_1202;admpl;SP;F;secundario;solt;4020;empregado;C;69
LC_1203;inad;SP;M;secundario;solt;5294;empregado;B;60
LC_1204;admpl;SP;F;secundario;solt;1260;empregado;B;47
LC_1205;inad;SP;F;secundario;viuvo;4360;outros;F;38
LC_1206;inad;SP;M;posgrad;solt;50;empregado;C;53
LC_1207;admpl;SP;M;secundario;solt;1608;empregado;B;58
LC_1208;inad;SP;M;superior;solt;804;empregado;E;67
LC_1209;inad;SP;F;secundario;solt;104;empregado;B;55
LC_1210;admpl;SP;M;superior;casado;2010;outros;B;38
LC_1211;admpl;SP;F;primario;viuvo;380;empregado;F;62
LC_1212;inad;SP;M;secundario;solt;3666;outros;C;66
LC_1213;admpl;SP;F;superior;casado;1703;empregado;E;66
LC_1214;admpl;SP;F;posgrad;solt;3588;outros;D;38
LC_1215;admpl;SP;M;secundario;solt;2656;empregado;B;67
LC_1216;admpl;PR;F;secundario;casado;2163;empregado;B;68
LC_1217;inad;SP;F;primario;divorciado;10819;outros;B;53
LC_1218;admpl;SP;F;superior;viuvo;603;empregado;D;46
LC_1219;admpl;SP;M;superior;solt;1242;empregado;D;69
LC_1220;admpl;SP;M;primario;solt;1675;empregado;F;45
LC_1221;inad;SP;M;secundario;solt;20167;empregado;C;51
LC_1222;admpl;SP;M;primario;casado;616;empregado;F;35
LC_1223;inad;SP;M;primario;solt;1447;outros;E;43
LC_1224;inad;SP;F;secundario;solt;2144;autonomo;B;32
LC_1225;admpl;SP;M;superior;solt;2144;outros;C;54
LC_1226;admpl;SP;F;secundario;viuvo;13007;outros;C;30
LC_1227;admpl;SP;M;superior;solt;1608;empregado;F;70
LC_1228;admpl;SP;M;superior;solt;1503;empregado;E;55
LC_1229;admpl;SP;M;primario;solt;8013;empregado;B;69
LC_1230;admpl;SP;M;secundario;solt;3591;empregado;B;56
LC_1231;admpl;SP;F;secundario;solt;731;empregado;B;60
LC_1232;inad;SP;M;superior;solt;1924;empregado;B;34
LC_1233;inad;SP;M;primario;solt;48;empregado;E;57
LC_1234;inad;SP;M;secundario;solt;8040;empregado;B;41
LC_1235;admpl;SP;M;secundario;casado;7838;empregado;B;63
LC_1236;inad;SP;F;superior;solt;2680;outros;E;62
LC_1237;inad;SP;M;secundario;solt;4140;autonomo;B;63
LC_1238;inad;SP;F;primario;divorciado;486;empregado;F;40
LC_1239;inad;SP;M;secundario;solt;5083;empregado;B;39
LC_1240;inad;SP;M;secundario;solt;18760;empregado;C;54
LC_1241;admpl;SP;M;superior;solt;2828;empregado;C;57
LC_1242;inad;SP;M;secundario;solt;8790;autonomo;B;64
LC_1243;admpl;SP;M;primario;solt;755;empregado;E;63
LC_1244;admpl;SP;F;secundario;solt;3455;empregado;B;69
LC_1245;inad;SP;M;primario;casado;4044;outros;B;42
LC_1246;admpl;SP;F;secundario;casado;4154;empregado;D;50
LC_1247;admpl;SP;F;superior;solt;1876;outros;E;38
LC_1248;inad;SP;M;posgrad;solt;2852;empregado;E;31
LC_1249;inad;SP;F;secundario;divorciado;1938;empregado;B;67
LC_1250;inad;SP;M;secundario;solt;1273;autonomo;B;31
LC_1251;inad;SP;F;superior;divorciado;764;empregado;E;67
LC_1252;inad;SP;F;primario;solt;1172;empregado;B;51
LC_1253;inad;SP;F;superior;casado;1058;empregado;F;50
LC_1254;inad;MG;F;primario;casado;536;autonomo;E;55
LC_1255;admpl;SP;M;primario;solt;1611;empregado;E;57
LC_1256;inad;SP;M;superior;solt;2737;empregado;D;32
LC_1257;admpl;SP;M;secundario;solt;938;outros;B;69
LC_1258;admpl;SP;M;posgrad;casado;8040;empregado;D;57
LC_1259;admpl;MG;M;secundario;casado;1286;empregado;F;34
LC_1260;inad;SP;F;secundario;divorciado;3054;empregado;E;31
LC_1261;admpl;SP;M;superior;solt;2412;empregado;F;52
LC_1262;inad;MG;F;superior;casado;1537;outros;C;58
LC_1263;admpl;MG;M;superior;solt;1514;empregado;F;64
LC_1264;inad;SP;F;secundario;solt;1340;empregado;E;38
LC_1265;admpl;SP;F;superior;casado;825;empregado;B;45
LC_1266;inad;SP;F;secundario;divorciado;1909;empregado;F;59
LC_1267;admpl;SP;M;primario;solt;1018;empregado;F;60
LC_1268;inad;SP;M;secundario;solt;215;empregado;B;60
LC_1269;inad;SP;M;secundario;solt;21584;empregado;F;35
LC_1270;inad;SP;M;primario;solt;4690;empregado;F;47
LC_1271;admpl;SP;F;superior;divorciado;4431;empregado;E;49
LC_1272;inad;MG;M;superior;solt;5360;empregado;E;37
LC_1273;inad;SP;F;superior;casado;1610;empregado;B;58
LC_1274;admpl;SP;F;secundario;solt;1072;outros;B;40
LC_1275;inad;MG;F;superior;solt;804;empregado;D;46
LC_1276;admpl;MG;M;secundario;solt;2489;empregado;F;62
LC_1277;admpl;SP;F;secundario;solt;4114;empregado;B;64
LC_1278;inad;MG;F;secundario;casado;1948;empregado;B;57
LC_1279;admpl;SP;M;superior;solt;2278;empregado;C;56
LC_1280;admpl;SP;M;superior;casado;1475;empregado;E;68
LC_1281;admpl;SP;M;superior;solt;5484;autonomo;F;53
LC_1282;admpl;SP;F;secundario;solt;3764;outros;B;41
LC_1283;admpl;SP;M;secundario;solt;4020;outros;F;45
LC_1284;admpl;SP;F;secundario;casado;4020;outros;F;30
LC_1285;admpl;SP;F;superior;casado;2144;empregado;E;33
LC_1286;inad;SP;F;secundario;casado;4511;empregado;E;47
LC_1287;admpl;SP;M;primario;solt;1226;outros;F;53
LC_1288;admpl;SP;F;posgrad;solt;6647;empregado;D;38
LC_1289;inad;SP;F;primario;casado;536;empregado;E;63
LC_1290;admpl;SP;F;secundario;solt;2651;empregado;B;37
LC_1291;admpl;SP;M;secundario;solt;9246;empregado;C;56
LC_1292;inad;SP;F;superior;divorciado;2010;outros;C;38
LC_1293;inad;SP;M;secundario;solt;13400;autonomo;F;50
LC_1294;inad;SP;F;superior;casado;1151;empregado;E;53
LC_1295;inad;MG;M;secundario;solt;7317;empregado;B;51
LC_1296;inad;BA;M;secundario;casado;7785;empregado;F;55
LC_1297;inad;SP;M;secundario;solt;2474;empregado;B;70
LC_1298;inad;SP;M;superior;solt;132158;empregado;C;53
LC_1299;inad;SP;M;secundario;solt;5484;outros;B;68
LC_1300;inad;SP;M;secundario;solt;1984;empregado;C;45
LC_1301;admpl;SP;M;superior;solt;3536;empregado;D;38
LC_1302;admpl;SP;F;secundario;solt;3820;empregado;C;35
LC_1303;admpl;SP;F;secundario;solt;1549;empregado;B;62
LC_1304;admpl;SP;M;superior;solt;1616;empregado;E;63
LC_1305;inad;SP;M;secundario;solt;5435;empregado;C;53
LC_1306;inad;SP;M;primario;solt;1149;empregado;F;34
LC_1307;inad;SP;M;primario;solt;2501;empregado;C;59
LC_1308;inad;SP;M;secundario;solt;4331;empregado;C;39
LC_1309;admpl;SP;F;primario;solt;719;empregado;C;50
LC_1310;inad;SP;F;superior;solt;2160;outros;F;40
LC_1311;inad;MG;M;secundario;solt;2257;empregado;B;31
LC_1312;inad;SP;F;secundario;solt;1225;autonomo;B;58
LC_1313;admpl;SP;F;secundario;solt;17590;empregado;B;62
LC_1314;inad;SP;M;superior;solt;2465;autonomo;A;52
LC_1315;inad;SP;M;secundario;solt;1174;empregado;E;49
LC_1316;inad;PR;M;primario;casado;1340;autonomo;B;52
LC_1317;admpl;SP;M;primario;solt;1608;autonomo;F;42
LC_1318;admpl;SP;F;secundario;viuvo;2680;empregado;B;63
LC_1319;inad;PR;M;secundario;solt;6700;autonomo;A;45
LC_1320;inad;SP;M;primario;solt;2680;empregado;A;52
LC_1321;inad;SP;M;secundario;solt;59378;empregado;C;37
LC_1322;inad;SP;M;secundario;solt;2680;empregado;B;62
LC_1323;admpl;SP;M;secundario;solt;2010;outros;C;33
LC_1324;admpl;SP;M;superior;casado;2867;empregado;E;34
LC_1325;admpl;SP;F;posgrad;casado;2497;empregado;E;37
LC_1326;admpl;SP;M;secundario;viuvo;6958;empregado;F;53
LC_1327;admpl;SP;F;superior;viuvo;855;empregado;D;30
LC_1328;admpl;SP;F;primario;solt;1735;empregado;C;64
LC_1329;inad;SP;M;secundario;solt;2948;empregado;C;48
LC_1330;admpl;SP;F;secundario;casado;819;empregado;E;42
LC_1331;admpl;SP;M;secundario;solt;1072;autonomo;C;43
LC_1332;inad;SP;M;secundario;solt;178;empregado;D;33
LC_1333;inad;SP;M;secundario;solt;4009;empregado;B;67
LC_1334;admpl;SP;M;primario;solt;1212;outros;F;66
LC_1335;inad;SP;M;secundario;solt;6700;empregado;B;55
LC_1336;inad;SP;F;superior;solt;1314;empregado;D;53
LC_1337;admpl;SP;M;primario;solt;1532;empregado;E;47
LC_1338;inad;SP;M;primario;solt;1340;outros;E;41
LC_1339;inad;MG;M;secundario;divorciado;3541;empregado;C;48
LC_1340;inad;SP;M;superior;solt;804;outros;C;46
LC_1341;admpl;SP;F;posgrad;solt;1736;empregado;B;66
LC_1342;admpl;SP;F;secundario;solt;4894;empregado;F;45
LC_1343;inad;SP;F;superior;casado;2680;empregado;A;36
LC_1344;admpl;SP;F;secundario;solt;2680;empregado;B;36
LC_1345;admpl;SP;M;secundario;solt;6220;empregado;C;39
LC_1346;inad;SP;F;superior;outros;2831;autonomo;F;43
LC_1347;admpl;SP;M;superior;solt;6729;empregado;D;67
LC_1348;admpl;SP;F;superior;solt;2283;empregado;D;44
LC_1349;admpl;SP;M;secundario;solt;3231;empregado;C;65
LC_1350;admpl;SP;M;secundario;casado;2696;empregado;B;61
LC_1351;inad;SP;M;primario;solt;1382;empregado;F;51
LC_1352;admpl;SP;F;secundario;viuvo;1541;empregado;B;34
LC_1353;inad;SP;M;secundario;solt;24393;empregado;D;42
LC_1354;admpl;SP;M;secundario;solt;5290;empregado;B;68
LC_1355;inad;SP;M;secundario;solt;279;empregado;B;44
LC_1356;inad;SP;M;secundario;solt;15917;autonomo;A;35
LC_1357;admpl;SP;M;primario;solt;3442;outros;C;56
LC_1358;inad;SP;F;primario;solt;878;empregado;D;58
LC_1359;admpl;SP;F;superior;solt;6331;empregado;E;55
LC_1360;admpl;SP;F;primario;viuvo;900;outros;F;37
LC_1361;admpl;SP;M;secundario;solt;7967;empregado;B;69
LC_1362;admpl;SP;F;primario;casado;1393;empregado;F;50
LC_1363;admpl;SP;M;secundario;solt;26442;outros;F;44
LC_1364;admpl;SP;F;secundario;casado;2;empregado;D;61
LC_1365;admpl;SP;F;secundario;solt;1394;empregado;B;68
LC_1366;inad;SP;M;superior;casado;487;empregado;C;33
LC_1367;admpl;SP;F;superior;casado;6236;empregado;D;45
LC_1368;admpl;SP;F;superior;solt;4020;empregado;B;44
LC_1369;inad;SP;M;secundario;solt;16806;empregado;C;56
LC_1370;admpl;SP;M;superior;solt;2378;empregado;D;60
LC_1371;inad;SP;M;superior;solt;4310;empregado;F;62
LC_1372;admpl;SP;M;secundario;solt;12205;empregado;B;66
LC_1373;inad;SP;F;primario;casado;2412;autonomo;A;53
LC_1374;inad;SP;F;superior;solt;2773;empregado;C;65
LC_1375;inad;SP;F;secundario;solt;1214;empregado;B;62
LC_1376;inad;SP;F;primario;divorciado;938;outros;A;35
LC_1377;admpl;SP;F;superior;casado;3045;empregado;E;57
LC_1378;admpl;SP;F;superior;casado;6030;outros;E;42
LC_1379;admpl;SP;F;superior;solt;1755;outros;F;69
LC_1380;admpl;SP;F;superior;divorciado;3450;empregado;E;68
LC_1381;inad;SP;F;superior;divorciado;5360;outros;A;47
LC_1382;admpl;SP;F;secundario;viuvo;1340;empregado;B;63
LC_1383;admpl;SP;M;secundario;solt;6864;empregado;B;48
LC_1384;admpl;SP;F;secundario;casado;884;empregado;E;60
LC_1385;admpl;SP;F;posgrad;solt;3216;empregado;D;60
LC_1386;admpl;SP;M;secundario;solt;10106;empregado;F;40
LC_1387;admpl;SP;M;secundario;casado;13400;empregado;B;67
LC_1388;inad;SP;M;primario;solt;1492;empregado;F;33
LC_1389;inad;MG;M;superior;solt;1333;autonomo;F;61
LC_1390;admpl;SP;M;superior;solt;1539;empregado;D;54
LC_1391;admpl;SP;M;secundario;solt;2731;empregado;D;59
LC_1392;inad;SP;M;primario;solt;2031;empregado;F;66
LC_1393;inad;SP;M;primario;solt;6700;autonomo;B;32
LC_1394;admpl;SP;M;secundario;solt;11706;empregado;B;65
LC_1395;inad;SP;M;secundario;solt;10169;empregado;F;31
LC_1396;admpl;SP;F;primario;viuvo;1453;empregado;E;59
LC_1397;inad;SP;F;primario;solt;5108;outros;D;60
LC_1398;admpl;SP;F;secundario;viuvo;5021;empregado;B;51
LC_1399;admpl;SP;M;superior;casado;4723;empregado;B;51
LC_1400;admpl;SP;F;secundario;solt;2942;empregado;B;31
LC_1401;admpl;SP;F;superior;casado;1645;empregado;E;69
LC_1402;admpl;SP;F;superior;viuvo;5803;outros;C;59
LC_1403;inad;SP;M;secundario;solt;8040;autonomo;A;51
LC_1404;admpl;SP;M;secundario;solt;19347;empregado;C;61
LC_1405;inad;SP;F;primario;divorciado;380;empregado;A;61
LC_1406;admpl;SP;F;superior;casado;1014;empregado;E;37
LC_1407;admpl;MG;M;superior;solt;7935;outros;C;64
LC_1408;inad;SP;M;superior;solt;670;outros;F;43
LC_1409;inad;SP;F;superior;solt;9201;outros;A;41
LC_1410;admpl;SP;M;secundario;solt;4128;autonomo;C;41
LC_1411;admpl;SP;F;superior;casado;1608;empregado;C;44
LC_1412;admpl;SP;F;primario;casado;928;empregado;D;43
LC_1413;inad;SP;F;secundario;casado;2137;outros;F;39
LC_1414;inad;SP;F;superior;solt;1144;empregado;B;41
LC_1415;admpl;SP;M;primario;solt;1205;empregado;E;55
LC_1416;admpl;SP;F;posgrad;solt;2278;outros;E;43
LC_1417;inad;SP;M;secundario;solt;52;empregado;F;44
LC_1418;admpl;SP;F;secundario;viuvo;7462;empregado;F;46
LC_1419;admpl;SP;F;secundario;solt;6030;empregado;D;63
LC_1420;admpl;SP;F;secundario;viuvo;5413;empregado;B;35
LC_1421;admpl;SP;M;superior;solt;4779;empregado;B;39
LC_1422;admpl;MG;M;superior;solt;392;empregado;B;52
LC_1423;inad;SP;F;secundario;casado;2778;empregado;B;56
LC_1424;inad;SP;M;secundario;outros;6665;empregado;C;36
LC_1425;admpl;SP;F;primario;solt;938;empregado;E;50
LC_1426;inad;SP;F;primario;viuvo;703;empregado;E;46
LC_1427;admpl;MG;M;posgrad;casado;3918;empregado;D;65
LC_1428;admpl;SP;F;superior;casado;7522;empregado;C;53
LC_1429;admpl;SP;F;secundario;casado;5290;empregado;C;51
LC_1430;admpl;SP;M;primario;solt;1072;outros;F;65
LC_1431;inad;SP;M;secundario;solt;3350;outros;B;53
