;IDENTIDADE;STATUS;SEXO;NATUREZA;IDADE;novaUF;novaESCOLARIDADE;novoESTCIV;novaREGIAO;lRENDA
80;LC_1081;admpl;M;outros;35;NOSP;secundario;0.solt;BC;3,1950689964685903
81;LC_1082;admpl;M;empregado;59;SP;superior;0.solt;F;3,164352855784437
82;LC_1083;admpl;M;empregado;61;NOSP;secundario;casado;BC;3,602168551378997
83;LC_1084;inad;M;outros;42;SP;z.posgrad;casado;F;4,127104798364807
84;LC_1085;inad;F;autonomo;67;SP;superior;divorciado;A;3,118264726089479
85;LC_1086;admpl;M;empregado;30;NOSP;superior;casado;F;2,57978359661681
86;LC_1087;inad;M;empregado;58;SP;primario;0.solt;F;3,6322547766847135
87;LC_1088;inad;M;empregado;33;SP;secundario;0.solt;BC;3,5420781463356255
88;LC_1089;inad;M;outros;34;SP;primario;0.solt;DE;2,8937617620579434
89;LC_1090;inad;F;empregado;50;SP;superior;viuvo;A;3,3725438007590705
90;LC_1091;admpl;F;empregado;44;SP;z.posgrad;0.solt;BC;3,2990712600274095
91;LC_1092;admpl;M;empregado;36;SP;primario;0.solt;F;2,910090545594068
92;LC_1093;admpl;M;empregado;52;SP;secundario;0.solt;DE;3,525044807036845
93;LC_1094;admpl;F;empregado;43;SP;primario;0.solt;F;3,1248301494138593
94;LC_1095;inad;M;autonomo;48;SP;primario;0.solt;F;3,095518042323151
95;LC_1096;admpl;F;empregado;41;SP;superior;casado;BC;2,9079485216122722
96;LC_1097;inad;F;empregado;39;SP;primario;casado;A;3,2732328340430454
97;LC_1098;admpl;M;empregado;57;NOSP;superior;0.solt;BC;3,42422807069598
98;LC_1099;admpl;F;empregado;39;SP;secundario;0.solt;BC;3,406199423663313
99;LC_1100;admpl;F;empregado;37;SP;secundario;divorciado;BC;3,2796669440484556
100;LC_1101;admpl;M;empregado;64;SP;superior;0.solt;BC;3,2933625547114453
101;LC_1102;inad;M;outros;69;SP;primario;0.solt;F;3,3575537197430814
102;LC_1103;admpl;M;empregado;52;NOSP;secundario;casado;F;4,019199401055288
103;LC_1104;admpl;M;empregado;37;NOSP;primario;0.solt;BC;3,5229655954919865
104;LC_1105;admpl;M;outros;35;SP;superior;0.solt;BC;3,22219604630172
105;LC_1106;admpl;M;empregado;47;SP;secundario;0.solt;BC;3,428134794028789
106;LC_1107;inad;F;empregado;56;SP;z.posgrad;divorciado;BC;3,4353665066126613
107;LC_1108;admpl;M;outros;51;SP;z.posgrad;0.solt;DE;3,428134794028789
108;LC_1109;inad;F;empregado;37;SP;primario;0.solt;DE;3,030194785356751
109;LC_1110;inad;F;empregado;30;SP;primario;viuvo;DE;3,486430478854434
110;LC_1111;inad;F;outros;38;SP;secundario;0.solt;DE;3,1271047983648077
111;LC_1112;admpl;F;empregado;60;SP;secundario;viuvo;DE;3,5170638734826545
112;LC_1113;admpl;M;outros;35;SP;secundario;0.solt;DE;3,72916478969277
113;LC_1114;inad;M;empregado;37;SP;secundario;0.solt;F;3,660770643527697
114;LC_1115;admpl;M;empregado;50;SP;primario;0.solt;DE;2,5622928644564746
115;LC_1116;admpl;F;empregado;63;SP;secundario;0.solt;BC;3,2062860444124324
116;LC_1117;admpl;F;empregado;39;SP;primario;0.solt;DE;1,9294189257142929
117;LC_1118;admpl;F;empregado;53;SP;secundario;0.solt;BC;4,405858399317637
118;LC_1119;admpl;F;empregado;36;NOSP;secundario;0.solt;BC;3,3694014136966244
119;LC_1120;admpl;M;empregado;51;SP;primario;0.solt;DE;2,797959643737196
120;LC_1121;admpl;M;empregado;54;SP;superior;0.solt;DE;3,3031960574204886
121;LC_1122;admpl;M;outros;32;SP;superior;casado;DE;3,9093955459671053
122;LC_1123;admpl;F;empregado;45;SP;secundario;0.solt;BC;3,594060901270418
123;LC_1124;inad;F;empregado;47;SP;primario;casado;DE;2,780317312140151
124;LC_1125;inad;F;autonomo;40;SP;superior;0.solt;A;3,3823773034681137
125;LC_1126;inad;M;empregado;45;SP;secundario;casado;BC;3,4394905903896835
126;LC_1127;admpl;F;empregado;68;SP;superior;0.solt;DE;2,7737864449811935
127;LC_1128;admpl;F;empregado;51;SP;secundario;casado;BC;3,241048150671644
128;LC_1129;inad;M;autonomo;64;SP;primario;0.solt;F;3,257438566859814
129;LC_1130;admpl;M;empregado;55;SP;z.posgrad;casado;DE;3,0145205387579237
130;LC_1131;inad;F;empregado;35;SP;primario;casado;DE;3,5060989599284405
131;LC_1132;admpl;F;empregado;39;SP;secundario;casado;BC;3,3031960574204886
132;LC_1133;admpl;F;outros;42;SP;secundario;0.solt;BC;3,796851749049887
133;LC_1134;admpl;F;autonomo;67;SP;z.posgrad;0.solt;F;3,60422605308447
134;LC_1135;admpl;F;empregado;51;SP;secundario;0.solt;BC;3,834674974462744
135;LC_1136;inad;M;empregado;35;SP;superior;0.solt;DE;3,2667019668840878
136;LC_1137;admpl;F;empregado;67;SP;secundario;0.solt;BC;3,691258358133111
137;LC_1138;admpl;M;empregado;48;SP;primario;0.solt;BC;3,413467412985825
138;LC_1139;admpl;M;empregado;40;SP;primario;0.solt;A;3,3031960574204886
139;LC_1140;admpl;M;empregado;43;SP;superior;0.solt;F;3,0670708560453703
140;LC_1141;inad;F;empregado;51;SP;primario;viuvo;DE;2,72916478969277
141;LC_1142;admpl;M;empregado;41;SP;superior;0.solt;BC;3,6636067081245205
142;LC_1143;inad;M;outros;50;SP;secundario;0.solt;BC;3,388278863459639
143;LC_1144;admpl;F;outros;45;SP;superior;0.solt;BC;3,1684974835230326
144;LC_1145;inad;F;empregado;50;SP;superior;0.solt;BC;3,4807253789884878
145;LC_1146;inad;F;autonomo;37;SP;superior;casado;BC;3,2062860444124324
146;LC_1147;admpl;M;empregado;48;SP;z.posgrad;0.solt;BC;3,8260748027008264
147;LC_1148;admpl;M;empregado;34;SP;primario;0.solt;F;2,826722520168992
148;LC_1149;inad;F;empregado;63;SP;secundario;0.solt;A;3,525044807036845
149;LC_1150;admpl;M;empregado;54;SP;secundario;casado;BC;3,8674674878590514
151;LC_1152;admpl;M;empregado;67;SP;primario;0.solt;DE;2,8686444383948255
152;LC_1153;inad;F;autonomo;30;SP;secundario;casado;BC;3,498172660636544
153;LC_1154;admpl;M;empregado;45;SP;superior;casado;BC;3,3031960574204886
154;LC_1155;inad;F;empregado;51;SP;secundario;0.solt;BC;4,206286044412432
155;LC_1156;inad;F;empregado;33;SP;secundario;0.solt;BC;3,5169318088680126
156;LC_1157;admpl;F;empregado;48;SP;z.posgrad;0.solt;DE;3,4168068718229443
157;LC_1158;inad;F;autonomo;36;SP;primario;divorciado;A;2,890979596989689
158;LC_1159;admpl;F;empregado;61;SP;secundario;0.solt;DE;3,49734438101758
159;LC_1160;admpl;M;empregado;54;SP;secundario;0.solt;BC;3,2533380053261065
160;LC_1161;admpl;M;outros;64;SP;primario;0.solt;F;3,8260748027008264
161;LC_1162;admpl;M;empregado;65;SP;secundario;0.solt;BC;3,8147801457458046
162;LC_1163;inad;F;empregado;34;SP;secundario;0.solt;BC;3,60422605308447
163;LC_1164;inad;F;empregado;38;SP;superior;0.solt;DE;3,0409976924234905
164;LC_1165;inad;M;empregado;58;SP;superior;0.solt;F;2,514547752660286
165;LC_1166;admpl;F;empregado;67;SP;primario;viuvo;F;2,816241299991783
166;LC_1167;admpl;M;empregado;41;SP;secundario;0.solt;DE;3,784759894664005
167;LC_1168;admpl;M;outros;60;SP;secundario;0.solt;BC;3,72916478969277
168;LC_1169;admpl;M;outros;58;SP;secundario;0.solt;BC;2,8344207036815323
169;LC_1170;inad;F;empregado;57;SP;superior;0.solt;DE;3,1684974835230326
170;LC_1171;admpl;F;empregado;57;SP;secundario;0.solt;F;4,074414129841136
171;LC_1172;inad;M;empregado;31;SP;primario;0.solt;DE;3,60422605308447
172;LC_1173;admpl;F;empregado;68;SP;secundario;divorciado;BC;3,3346547668832414
173;LC_1174;admpl;M;empregado;36;SP;superior;casado;DE;3,428134794028789
174;LC_1175;admpl;F;empregado;53;SP;primario;viuvo;DE;2,989004615698537
175;LC_1176;inad;F;autonomo;69;SP;superior;divorciado;DE;3,5742628297070267
176;LC_1177;inad;F;empregado;70;SP;secundario;0.solt;BC;3,727541257028556
177;LC_1178;inad;M;empregado;61;SP;secundario;0.solt;BC;3,1271047983648077
178;LC_1179;admpl;F;empregado;58;NOSP;secundario;casado;BC;3,369772288596963
179;LC_1180;admpl;F;empregado;41;SP;secundario;casado;F;3,428134794028789
180;LC_1181;admpl;M;empregado;51;SP;secundario;0.solt;BC;3,1271047983648077
181;LC_1182;inad;M;autonomo;69;SP;secundario;0.solt;BC;3,5287881917748964
182;LC_1183;admpl;M;empregado;35;SP;superior;0.solt;F;3,815710539788963
183;LC_1184;inad;F;empregado;56;SP;primario;divorciado;DE;2,8344207036815323
184;LC_1185;inad;F;empregado;51;SP;primario;casado;DE;2,8068580295188172
185;LC_1186;inad;F;autonomo;38;SP;superior;0.solt;F;3,030194785356751
186;LC_1187;admpl;F;empregado;65;SP;secundario;divorciado;BC;3,3326404103874627
187;LC_1188;inad;F;autonomo;38;SP;primario;divorciado;A;2,7810369386211318
188;LC_1189;inad;M;empregado;69;SP;primario;0.solt;F;3,819807064590756
189;LC_1190;inad;F;outros;41;SP;superior;casado;A;3,2062860444124324
190;LC_1191;admpl;M;empregado;35;SP;secundario;casado;BC;3,215901813204032
191;LC_1192;inad;F;outros;69;SP;secundario;0.solt;F;3,428134794028789
192;LC_1193;inad;M;empregado;32;SP;secundario;divorciado;BC;3,8260748027008264
193;LC_1194;inad;M;empregado;33;SP;secundario;viuvo;BC;4,355106552954491
194;LC_1195;inad;M;empregado;48;SP;superior;0.solt;DE;2,3242824552976926
195;LC_1196;inad;M;empregado;46;SP;superior;0.solt;BC;3,245759355967277
196;LC_1197;admpl;M;empregado;41;SP;secundario;0.solt;BC;3,7132384615456617
198;LC_1199;inad;M;empregado;68;SP;primario;0.solt;DE;3,447778009294621
199;LC_1200;inad;M;outros;63;SP;secundario;0.solt;BC;3,7408362070573116
200;LC_1201;inad;M;empregado;40;SP;secundario;0.solt;A;3,9722028383790646
201;LC_1202;admpl;F;empregado;69;SP;secundario;0.solt;BC;3,60422605308447
202;LC_1203;inad;M;empregado;60;SP;secundario;0.solt;BC;3,7237839369653294
203;LC_1204;admpl;F;empregado;47;SP;secundario;0.solt;BC;3,100370545117563
204;LC_1205;inad;F;outros;38;SP;secundario;viuvo;F;3,639486489268586
205;LC_1206;inad;M;empregado;53;SP;z.posgrad;0.solt;BC;1,6989700043360187
206;LC_1207;admpl;M;empregado;58;SP;secundario;0.solt;BC;3,2062860444124324
207;LC_1208;inad;M;empregado;67;SP;superior;0.solt;DE;2,905256048748451
208;LC_1209;inad;F;empregado;55;SP;secundario;0.solt;BC;2,0170333392987803
209;LC_1210;admpl;M;outros;38;SP;superior;casado;BC;3,3031960574204886
210;LC_1211;admpl;F;empregado;62;SP;primario;viuvo;F;2,57978359661681
211;LC_1212;inad;M;outros;66;SP;secundario;0.solt;BC;3,564192460626198
212;LC_1213;admpl;F;empregado;66;SP;superior;casado;DE;3,231214647962601
213;LC_1214;admpl;F;outros;38;SP;z.posgrad;0.solt;DE;3,5548524343720542
214;LC_1215;admpl;M;empregado;67;SP;secundario;0.solt;BC;3,42422807069598
215;LC_1216;admpl;F;empregado;68;NOSP;secundario;casado;BC;3,3350565194390915
216;LC_1217;inad;F;outros;53;SP;primario;divorciado;BC;4,034187120793453
217;LC_1218;admpl;F;empregado;46;SP;superior;viuvo;DE;2,780317312140151
218;LC_1219;admpl;M;empregado;69;SP;superior;0.solt;DE;3,0941215958405612
219;LC_1220;admpl;M;empregado;45;SP;primario;0.solt;F;3,224014811372864
220;LC_1221;inad;M;empregado;51;SP;secundario;0.solt;BC;4,30464129829467
221;LC_1222;admpl;M;empregado;35;SP;primario;casado;F;2,7895807121644256
222;LC_1223;inad;M;outros;43;SP;primario;0.solt;DE;3,1604685311190375
223;LC_1224;inad;F;autonomo;32;SP;secundario;0.solt;BC;3,3312247810207323
224;LC_1225;admpl;M;outros;54;SP;superior;0.solt;BC;3,3312247810207323
225;LC_1226;admpl;F;outros;30;SP;secundario;viuvo;BC;4,114177140244449
226;LC_1227;admpl;M;empregado;70;SP;superior;0.solt;F;3,2062860444124324
227;LC_1228;admpl;M;empregado;55;SP;superior;0.solt;DE;3,176958980586908
228;LC_1229;admpl;M;empregado;69;SP;primario;0.solt;BC;3,903795142741035
229;LC_1230;admpl;M;empregado;56;SP;secundario;0.solt;BC;3,555215405126073
230;LC_1231;admpl;F;empregado;60;SP;secundario;0.solt;BC;2,8639173769578603
231;LC_1232;inad;M;empregado;34;SP;superior;0.solt;BC;3,284205067701794
232;LC_1233;inad;M;empregado;57;SP;primario;0.solt;DE;1,6812412373755872
233;LC_1234;inad;M;empregado;41;SP;secundario;0.solt;BC;3,905256048748451
234;LC_1235;admpl;M;empregado;63;SP;secundario;casado;BC;3,8942052591420837
235;LC_1236;inad;F;outros;62;SP;superior;0.solt;DE;3,428134794028789
236;LC_1237;inad;M;autonomo;63;SP;secundario;0.solt;BC;3,617000341120899
237;LC_1238;inad;F;empregado;40;SP;primario;divorciado;F;2,6866362692622934
238;LC_1239;inad;M;empregado;39;SP;secundario;0.solt;BC;3,7061201097027037
239;LC_1240;inad;M;empregado;54;SP;secundario;0.solt;BC;4,273232834043045
240;LC_1241;admpl;M;empregado;57;SP;superior;0.solt;BC;3,4514794051248616
241;LC_1242;inad;M;autonomo;64;SP;secundario;0.solt;BC;3,9439888750737717
242;LC_1243;admpl;M;empregado;63;SP;primario;0.solt;DE;2,8779469516291885
243;LC_1244;admpl;F;empregado;69;SP;secundario;0.solt;BC;3,5384480517102173
244;LC_1245;inad;M;outros;42;SP;primario;casado;BC;3,6068111469189637
245;LC_1246;admpl;F;empregado;50;SP;secundario;casado;DE;3,6184664921990803
246;LC_1247;admpl;F;outros;38;SP;superior;0.solt;DE;3,2732328340430454
247;LC_1248;inad;M;empregado;31;SP;z.posgrad;0.solt;DE;3,4551495211798278
248;LC_1249;inad;F;empregado;67;SP;secundario;divorciado;BC;3,2873537727147464
249;LC_1250;inad;M;autonomo;31;SP;secundario;0.solt;BC;3,1048284036536553
250;LC_1251;inad;F;empregado;67;SP;superior;divorciado;DE;2,8830933585756897
251;LC_1252;inad;F;empregado;51;SP;primario;0.solt;BC;3,0689276116820716
252;LC_1253;inad;F;empregado;50;SP;superior;casado;F;3,024485667699167
253;LC_1254;inad;F;autonomo;55;NOSP;primario;casado;DE;2,72916478969277
254;LC_1255;admpl;M;empregado;57;SP;primario;0.solt;DE;3,207095540419218
255;LC_1256;inad;M;empregado;32;SP;superior;0.solt;DE;3,4372747974101237
256;LC_1257;admpl;M;outros;69;SP;secundario;0.solt;BC;2,9722028383790646
257;LC_1258;admpl;M;empregado;57;SP;z.posgrad;casado;DE;3,905256048748451
258;LC_1259;admpl;M;empregado;34;NOSP;secundario;casado;F;3,109240968588203
259;LC_1260;inad;F;empregado;31;SP;secundario;divorciado;DE;3,484869032720402
260;LC_1261;admpl;M;empregado;52;SP;superior;0.solt;F;3,3823773034681137
261;LC_1262;inad;F;outros;58;NOSP;superior;casado;BC;3,1866738674997452
262;LC_1263;admpl;M;empregado;64;NOSP;superior;0.solt;F;3,180125875164054
263;LC_1264;inad;F;empregado;38;SP;secundario;0.solt;DE;3,1271047983648077
264;LC_1265;admpl;F;empregado;45;SP;superior;casado;BC;2,916453948549925
265;LC_1266;inad;F;empregado;59;SP;secundario;divorciado;F;3,280805928393667
266;LC_1267;admpl;M;empregado;60;SP;primario;0.solt;F;3,00774777800074
267;LC_1268;inad;M;empregado;60;SP;secundario;0.solt;BC;2,3324384599156054
268;LC_1269;inad;M;empregado;35;SP;secundario;0.solt;F;4,334131932327829
269;LC_1270;inad;M;empregado;47;SP;primario;0.solt;F;3,6711728427150834
270;LC_1271;admpl;F;empregado;49;SP;superior;divorciado;DE;3,646501750031612
271;LC_1272;inad;M;empregado;37;NOSP;superior;0.solt;DE;3,72916478969277
272;LC_1273;inad;F;empregado;58;SP;superior;casado;BC;3,2068258760318495
273;LC_1274;admpl;F;outros;40;SP;secundario;0.solt;BC;3,030194785356751
274;LC_1275;inad;F;empregado;46;NOSP;superior;0.solt;DE;2,905256048748451
275;LC_1276;admpl;M;empregado;62;NOSP;secundario;0.solt;F;3,3960248966085933
276;LC_1277;admpl;F;empregado;64;SP;secundario;0.solt;BC;3,614264287358705
277;LC_1278;inad;F;empregado;57;NOSP;secundario;casado;BC;3,2895889525425965
278;LC_1279;admpl;M;empregado;56;SP;superior;0.solt;BC;3,3575537197430814
279;LC_1280;admpl;M;empregado;68;SP;superior;casado;DE;3,1687920203141817
280;LC_1281;admpl;M;autonomo;53;SP;superior;0.solt;F;3,739097446117475
281;LC_1282;admpl;F;outros;41;SP;secundario;0.solt;BC;3,5756496147552195
282;LC_1283;admpl;M;outros;45;SP;secundario;0.solt;F;3,60422605308447
283;LC_1284;admpl;F;outros;30;SP;secundario;casado;F;3,60422605308447
284;LC_1285;admpl;F;empregado;33;SP;superior;casado;DE;3,3312247810207323
285;LC_1286;inad;F;empregado;47;SP;secundario;casado;DE;3,6542728270977105
286;LC_1287;admpl;M;outros;53;SP;primario;0.solt;F;3,0884904701823963
287;LC_1288;admpl;F;empregado;38;SP;z.posgrad;0.solt;DE;3,822625678774141
288;LC_1289;inad;F;empregado;63;SP;primario;casado;DE;2,72916478969277
289;LC_1290;admpl;F;empregado;37;SP;secundario;0.solt;BC;3,4234097277330933
290;LC_1291;admpl;M;empregado;56;SP;secundario;0.solt;BC;3,965953889102063
291;LC_1292;inad;F;outros;38;SP;superior;divorciado;BC;3,3031960574204886
292;LC_1293;inad;M;autonomo;50;SP;secundario;0.solt;F;4,127104798364807
293;LC_1294;inad;F;empregado;53;SP;superior;casado;DE;3,0610753236297916
294;LC_1295;inad;M;empregado;51;NOSP;secundario;0.solt;BC;3,864333055033393
295;LC_1296;inad;M;empregado;55;NOSP;secundario;casado;F;3,891258616904139
296;LC_1297;inad;M;empregado;70;SP;secundario;0.solt;BC;3,393399695293102
298;LC_1299;inad;M;outros;68;SP;secundario;0.solt;BC;3,739097446117475
299;LC_1300;inad;M;empregado;45;SP;secundario;0.solt;BC;3,2975416678181597
300;LC_1301;admpl;M;empregado;38;SP;superior;0.solt;DE;3,5485122563410356
301;LC_1302;admpl;F;empregado;35;SP;secundario;0.solt;BC;3,582063362911709
302;LC_1303;admpl;F;empregado;62;SP;secundario;0.solt;BC;3,190051417759206
303;LC_1304;admpl;M;empregado;63;SP;superior;0.solt;DE;3,208441356438567
304;LC_1305;inad;M;empregado;53;SP;secundario;0.solt;BC;3,7351995484223135
305;LC_1306;inad;M;empregado;34;SP;primario;0.solt;F;3,060320028688285
306;LC_1307;inad;M;empregado;59;SP;primario;0.solt;BC;3,3981136917305026
307;LC_1308;inad;M;empregado;39;SP;secundario;0.solt;BC;3,636588183729842
308;LC_1309;admpl;F;empregado;50;SP;primario;0.solt;BC;2,8567288903828825
309;LC_1310;inad;F;outros;40;SP;superior;0.solt;F;3,3344537511509307
310;LC_1311;inad;M;empregado;31;NOSP;secundario;0.solt;BC;3,353531559077762
311;LC_1312;inad;F;autonomo;58;SP;secundario;0.solt;BC;3,0881360887005513
312;LC_1313;admpl;F;empregado;62;SP;secundario;0.solt;BC;4,245265839457462
313;LC_1314;inad;M;autonomo;52;SP;superior;0.solt;A;3,391816923613249
314;LC_1315;inad;M;empregado;49;SP;secundario;0.solt;DE;3,0696680969115957
315;LC_1316;inad;M;autonomo;52;NOSP;primario;casado;BC;3,1271047983648077
316;LC_1317;admpl;M;autonomo;42;SP;primario;0.solt;F;3,2062860444124324
317;LC_1318;admpl;F;empregado;63;SP;secundario;viuvo;BC;3,428134794028789
318;LC_1319;inad;M;autonomo;45;NOSP;secundario;0.solt;A;3,8260748027008264
319;LC_1320;inad;M;empregado;52;SP;primario;0.solt;A;3,428134794028789
321;LC_1322;inad;M;empregado;62;SP;secundario;0.solt;BC;3,428134794028789
322;LC_1323;admpl;M;outros;33;SP;secundario;0.solt;BC;3,3031960574204886
323;LC_1324;admpl;M;empregado;34;SP;superior;casado;DE;3,4574276929464847
324;LC_1325;admpl;F;empregado;37;SP;z.posgrad;casado;DE;3,397418542351348
325;LC_1326;admpl;M;empregado;53;SP;secundario;viuvo;F;3,84248442441157
326;LC_1327;admpl;F;empregado;30;SP;superior;viuvo;DE;2,931966114728173
327;LC_1328;admpl;F;empregado;64;SP;primario;0.solt;BC;3,2392994791268928
328;LC_1329;inad;M;empregado;48;SP;secundario;0.solt;BC;3,469527479187014
329;LC_1330;admpl;F;empregado;42;SP;secundario;casado;DE;2,9132839017604186
330;LC_1331;admpl;M;autonomo;43;SP;secundario;0.solt;BC;3,030194785356751
331;LC_1332;inad;M;empregado;33;SP;secundario;0.solt;DE;2,250420002308894
332;LC_1333;inad;M;empregado;67;SP;secundario;0.solt;BC;3,6030360562505215
