FULLNAME;CODE;BBG_TICKER;NAME;INDUSTRY_SECTOR;INDUSTRY_SECTOR_NUM;GICS_SECTOR_NAME;GICS_SECTOR;CUR_MKT_CAP;EQY_FLOAT;EQY_FREE_FLOAT_PCT;FUND_ASSET_CLASS_FOCUS;SECTOR
ALIANSCE ON;ALSC3;ALSC3 BS Equity;ALIANSCE SHOPPING CENTERS SA;Financial;10008;Financials;40;2.839.237.422;70,53;44,34;#N/A N/A;#N/A N/A
ALUPAR UNT;ALUP11;ALUP11 BS Equity;ALUPAR INVESTIMENTO SA-UNIT;Utilities;10014;Utilities;55;3.978.541.460;208,3;100;#N/A N/A;"A Participação em Outras Sociedades Atuantes Nos Setores de Energia e Infra-Estrutura. no Brasil ou no Exterior; A Geração. Transformação. Transporte. A Distribuiçãoe o Comércio de Energia."
LOJAS MARISA ON;AMAR3;AMAR3 BS Equity;MARISA LOJAS SA;Consumer, Cyclical;10004;Consumer Discretionary;25;2.690.224.527;48,09;25,92;#N/A N/A;Comércio Varejista de Artigos do Vestuário e Acessórios
AMGEN DRN;AMGN34;AMGN34 BS Equity;AMGEN INC-BDR;Consumer, Non-cyclical;10005;Health Care;35;314.868.014.053;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
AMAZON DRN;AMZO34;AMZO34 BS Equity;AMAZON-BDR;Communications;10003;Consumer Discretionary;25;403.195.715.400;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
ANIMA ON;ANIM3;ANIM3 BS Equity;GAEC EDUCACAO SA;Consumer, Non-cyclical;10005;Consumer Discretionary;25;3.116.604.213;34,75;41,94;#N/A N/A;Administração. Direta ou Indireta. de Atividade de Instituições de 3º e 4º Graus. Educação Profissional.
ALL ORE ON;AORE3;AORE3 BS Equity;ALL ORE MINERACAO SA;Basic Materials;10002;Materials;15;23.304.323;8,21;10,22;#N/A N/A;Administração de Participações Societárias e Mineração
ALIPERTI ON;APTI3;APTI3 BS Equity;SIDERURGICA J.L. ALIPERTI SA;Basic Materials;10002;#N/A N/A;#N/A N/A;#N/A N/A;0,01;21,38;#N/A N/A;Fabricação de Peças e Acessórios para o Sistema de Direção e Suspensão de Veículos Automotores
ALIPERTI PN;APTI4;APTI4 BS Equity;SIDERURGICA J.L. ALIPERTI-PR;Basic Materials;10002;#N/A N/A;#N/A N/A;#N/A N/A;0,07;57,39;#N/A N/A;Fabricação de Peças e Acessórios para o Sistema de Direção e Suspensão de Veículos Automotores
FII AQUILLA CI;AQLL11;AQLL11 BS Equity;AQUILLA FII;Financial;10008;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
ARCELOR DRN;ARMT34;ARMT34 BS Equity;ARCELORMITTAL - BDR;Basic Materials;10002;Materials;15;53.026.089.844;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
ARTERIS ON;ARTR3;ARTR3 BS Equity;ARTERIS SA;Consumer, Non-cyclical;10005;Industrials;20;5.083.999.934;54,56;15,84;#N/A N/A;Gerenciamento de Concessões Públicas
AREZZO CO ON;ARZZ3;ARZZ3 BS Equity;AREZZO INDUSTRIA E COMERCIO;Consumer, Cyclical;10004;Consumer Discretionary;25;2.553.175.941;42,34;47,74;#N/A N/A;O Principal Ramo de Atividade da Companhia É A Industrialização e A Comercialização de Artigos de Couro e de Plástico em Geral. Incluindo Sapatos e Artigos de Vestuário.
ATT INC DRN;ATTB34;ATTB34 BS Equity;AT&T INC - BDRSS CO - BDR;Communications;10003;Telecommunication Services;50;476.840.910.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
AVON DRN;AVON34;AVON34 BS Equity;AVON - BDR;Consumer, Non-cyclical;10005;Consumer Staples;30;11.744.396.014;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
AMERICAN EXP DRN;AXPB34;AXPB34 BS Equity;AMERICAN EXPRESS CO - BDR;Financial;10008;Financials;40;249.438.865.774;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
AZEVEDO ON;AZEV3;AZEV3 BS Equity;AZEVEDO E TRAVASSOS SA;Industrial;10011;Industrials;20;#N/A N/A;0,91;10,1;#N/A N/A;Execução de Obras de Construção Pesada Junto A Orgãos Públicos
AZEVEDO PN;AZEV4;AZEV4 BS Equity;AZEVEDO E TRAVASSOS SA-PREF;Industrial;10011;Industrials;20;46.709.999;6,53;36,26;#N/A N/A;Execução de Obras de Construção Pesada Junto A Orgãos Públicos
BAHEMA ON;BAHI3;BAHI3 BS Equity;BAHEMA SA;Diversified;10006;Industrials;20;35.625.280;2,87;47,56;#N/A N/A;Participação em Outras Sociedades
BAUMER ON;BALM3;BALM3 BS Equity;BAUMER SA;Consumer, Non-cyclical;10005;Health Care;35;#N/A N/A;0,25;5,09;#N/A N/A;Fabricação Aparelhos e Instrumentos P/ Uso Medico Hospitalar e Ortopedia
BAUMER PN;BALM4;BALM4 BS Equity;BAUMER SA-PREF;Consumer, Non-cyclical;10005;Health Care;35;116.620.003;2,23;45,45;#N/A N/A;Fabricação Aparelhos e Instrumentos P/ Uso Medico Hospitalar e Ortopedia
EXCELSIOR PN;BAUH4;BAUH4 BS Equity;EXCELSIOR ALIMENTOS SA-PREF;Consumer, Non-cyclical;10005;Consumer Staples;30;58.488.886;1,36;57,24;#N/A N/A;Produtos de Salsicharia
AMAZONIA ON;BAZA3;BAZA3 BS Equity;BANCO DA AMAZONIA SA;Financial;10008;Financials;40;800.441.126;1.603,25;54,08;#N/A N/A;#N/A N/A
BRASIL ON;BBAS3;BBAS3 BS Equity;BANCO DO BRASIL S.A.;Financial;10008;Financials;40;84.959.614.643;1.046,37;36,52;#N/A N/A;Banco Múltiplo.
BRADESCO ON;BBDC3;BBDC3 BS Equity;BANCO BRADESCO S.A.;Financial;10008;Financials;40;163.494.669.002;547,37;26,02;#N/A N/A;Prática de Operações Bancárias em Geral. Inclusive Câmbio
BRADESCO PN;BBDC4;BBDC4 BS Equity;BANCO BRADESCO SA-PREF;Financial;10008;Financials;40;163.494.669.002;2.047,05;97,31;#N/A N/A;Prática de Operações Bancárias em Geral. Inclusive Câmbio
FII BB PRGII CI;BBPO11;BBPO11 BS Equity;BB PROGRESSIVO II FII;Financial;10008;#N/A N/A;#N/A N/A;1.650.871.826;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII BB CORP CI;BBRC11;BBRC11 BS Equity;FII BB RENDA CORPORATIVA;Financial;10008;#N/A N/A;#N/A N/A;137.566.788;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
BR BROKERS ON;BBRK3;BBRK3 BS Equity;BRASIL BROKERS PARTICIPACOES;Financial;10008;Financials;40;576.590.407;180,31;93,5;#N/A N/A;Participação em Sociedades que Atuem no Setor Imobiliário.
BBSEGURIDADE ON;BBSE3;BBSE3 BS Equity;BB SEGURIDADE PARTICIPACOES;Financial;10008;Financials;40;67.140.000.000;675;33,75;#N/A N/A;Participação no Capital Social de Outras Sociedades. que Tenham por Atividade Operações de Seguros. Resseguros. Previdências Complementar ou Capitalização.
BTG PACTUAL UNT;BBTG11;BBTG11 BS Equity;GRUPO BTG PACTUAL-UNIT;Financial;10008;Financials;40;27.058.525.380;904,97;100;#N/A N/A;Holding de Companhias que Atuam como Veículos de Investimento.
FII C JARDIM CI;BBVJ11;BBVJ11 BS Equity;BB VOTORANTIM JHSF CID JARD;Financial;10008;#N/A N/A;#N/A N/A;151.759.995;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
BARDELLA ON;BDLL3;BDLL3 BS Equity;BARDELLA SA INDUSTRIAS MECAN;Industrial;10011;Industrials;20;96.816.000;0,02;3,44;#N/A N/A;Bens de Capital que Fornece Produtos e Serviços para os Segmentos de Metalurgia. Movimentação de Materiais. Óleo e Gás. Energia e Aços Laminados e Trefilados. para os Mercados Nacional e Internacional
BARDELLA PN;BDLL4;BDLL4 BS Equity;BARDELLA SA INDUSTRIAS-PREF;Industrial;10011;Industrials;20;96.816.000;0,82;82,83;#N/A N/A;Bens de Capital que Fornece Produtos e Serviços para os Segmentos de Metalurgia. Movimentação de Materiais. Óleo e Gás. Energia e Aços Laminados e Trefilados. para os Mercados Nacional e Internacional
MINERVA ON;BEEF3;BEEF3 BS Equity;MINERVA SA;Consumer, Non-cyclical;10005;Consumer Staples;30;2.029.201.026;97,85;54,97;#N/A N/A;Um dos Líderes da América Latina na Produção e Comercialização de Carne In Natura. Boi Vivo e Seus Derivados e que Atua Também Nos Segmentos de Processamento de Carne Bovina. Suína e de Aves.
BANESTES ON;BEES3;BEES3 BS Equity;BANESTES SA-BANCO ESTADO ESP;Financial;10008;Financials;40;656.058.004;89,61;7,74;#N/A N/A;Intermediação Financeira Inerente Aos Bancos Múltiplos. por Meio das Carteira Autorizadas. Inclusive Operações de Câmbio
BANESTES PN;BEES4;BEES4 BS Equity;BANESTES SA-BANCO ESTADO ESP;Financial;10008;Financials;40;656.058.004;31;7,35;#N/A N/A;Intermediação Financeira Inerente Aos Bancos Múltiplos. por Meio das Carteira Autorizadas. Inclusive Operações de Câmbio
BEMATECH ON;BEMA3;BEMA3 BS Equity;BEMATECH SA;Technology;10013;Information Technology;45;430.595.055;42,97;83,33;#N/A N/A;Produção. Industrialização e Comercialização de Hardware. Software e Serviços.
BERKSHIRE DRN;BERK34;BERK34 BS Equity;BERKSHIRE HATHAWAY INC - BDR;Financial;10008;Financials;40;938.701.976.168;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
BANESE ON;BGIP3;BGIP3 BS Equity;BANCO ESTADO DE SERGIPE S.A.;Financial;10008;Financials;40;377.541.723;0,49;6,36;#N/A N/A;#N/A N/A
BANESE PN;BGIP4;BGIP4 BS Equity;BANCO ESTADO DE SERGIPE-PREF;Financial;10008;Financials;40;377.541.723;1,06;13,91;#N/A N/A;#N/A N/A
BHG ON;BHGR3;BHGR3 BS Equity;BHG SA - BRAZIL HOSPITALITY;Consumer, Cyclical;10004;Consumer Discretionary;25;1.122.417.657;39,78;63,26;#N/A N/A;#N/A N/A
BICBANCO ON;BICB3;BICB3 BS Equity;BANCO INDUSTRIAL E COMERCIAL;Financial;10008;Financials;40;1.441.550.343;2,24;1,4;#N/A N/A;Banco Múltiplo
BICBANCO PN;BICB4;BICB4 BS Equity;BANCO INDUSTRIAL E COMERCIAL;Financial;10008;Financials;40;1.441.550.343;55,4;59,77;#N/A N/A;Banco Múltiplo
BIOMM ON;BIOM3;BIOM3 BS Equity;BIOMM SA;Consumer, Non-cyclical;10005;Health Care;35;260.490.862;7,15;23,2;#N/A N/A;Licenciamento de Tecnologia para Produção de Proteínas Terapêuticas Recombinantes. Especialmente Insulina.
BROOKFIELD ON;BISA3;BISA3 BS Equity;BROOKFIELD INCORPORACOES SA;Financial;10008;Consumer Discretionary;25;927.203.366;303,44;52,69;#N/A N/A;Gestão em Participações Societárias
MERC BRASIL ON;BMEB3;BMEB3 BS Equity;BANCO MERCANTIL DO BRASIL SA;Financial;10008;Financials;40;269.534.380;7,66;29,17;#N/A N/A;Finanças. Banco Múltiplo
MERC BRASIL PN;BMEB4;BMEB4 BS Equity;BANCO MERCANTIL DO BRASIL-PR;Financial;10008;Financials;40;269.534.380;6,81;34,33;#N/A N/A;Finanças. Banco Múltiplo
MERC INVEST ON;BMIN3;BMIN3 BS Equity;BANCO MERCANTIL DE INVESTIME;Financial;10008;Financials;40;34.678.800;5,2;4,66;#N/A N/A;Investimentos / Financiamentos
MERC INVEST PN;BMIN4;BMIN4 BS Equity;BANCO MERCANTIL DE INVE-PREF;Financial;10008;Financials;40;34.678.800;28,81;40,57;#N/A N/A;Investimentos / Financiamentos
BIC MONARK ON;BMKS3;BMKS3 BS Equity;BICICLETAS MONARK SA;Consumer, Cyclical;10004;Consumer Discretionary;25;135.515.500;0,1;21,02;#N/A N/A;Fabricação e Comercialização de Bicicletas
BRASMOTOR ON;BMTO3;BMTO3 BS Equity;BRASMOTOR SA;Consumer, Cyclical;10004;Consumer Discretionary;25;2.423.042.173;5,92;0,6;#N/A N/A;Holding
BRASMOTOR PN;BMTO4;BMTO4 BS Equity;BRASMOTOR SA-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;2.423.042.173;121,16;6,45;#N/A N/A;Holding
BRISTOLMYERS DRN;BMYB34;BMYB34 BS Equity;BRISTOL-MYERS SQUIBB CO-BDR;Consumer, Non-cyclical;10005;Health Care;35;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
NORD BRASIL ON;BNBR3;BNBR3 BS Equity;BANCO NORDESTE DO BRASIL SA;Financial;10008;Financials;40;2.072.915.136;42,32;49;#N/A N/A;Banco Múltiplo com Carteira Comercial
FII BANRISUL CI;BNFS11;BNFS11 BS Equity;BANRISUL NOVAS FRONTEIRAS FI;Financial;10008;#N/A N/A;#N/A N/A;65.093.002;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
BANK AMERICA DRN;BOAC34;BOAC34 BS Equity;BANK OF AMERICA - BDR;Financial;10008;Financials;40;473.240.271.150;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
BOMBRIL PN;BOBR4;BOBR4 BS Equity;BOMBRIL-PREF;Consumer, Non-cyclical;10005;Consumer Staples;30;141.108.575;6,45;18,92;#N/A N/A;1080
BOEING DRN;BOEI34;BOEI34 BS Equity;BOEING CO/THE-BDR;Industrial;10011;Industrials;20;246.988.340.860;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
ISHARES BOVA CI;BOVA11;BOVA11 BS Equity;ISHARES IBOVESPA;Funds;10009;#N/A N/A;#N/A N/A;1.432.392.578;#N/A N/A;#N/A N/A;Equity;#N/A N/A
BANCO PAN PN;BPAN4;BPAN4 BS Equity;BANCO PAN SA;Financial;10008;Financials;40;2.229.696.391;185,3;47,03;#N/A N/A;Banco Múltiplo com Carteira Comercial
BANPARA ON;BPAR3;BPAR3 BS Equity;BANCO ESTADO DO PARA S.A.;Financial;10008;#N/A N/A;#N/A N/A;#N/A N/A;0;0,02;#N/A N/A;Bancária
FII ABSOLUTO CI;BPFF11;BPFF11 BS Equity;FII BRASIL PLURAL ABSOLUTO;Financial;10008;#N/A N/A;#N/A N/A;144.000.000;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
BR PHARMA ON;BPHA3;BPHA3 BS Equity;BRASIL PHARMA SA;Consumer, Non-cyclical;10005;Consumer Staples;30;1.299.722.888;325,4;89,63;#N/A N/A;Empresa do Setor de Varejo Farmacêutico.
BRADESPAR ON;BRAP3;BRAP3 BS Equity;BRADESPAR SA;Financial;10008;Materials;15;5.024.911.682;27,4;22,36;#N/A N/A;Participação como Sócia ou Acionista de Outras Sociedades.
BRADESPAR PN;BRAP4;BRAP4 BS Equity;BRADESPAR SA -PREF;Financial;10008;Materials;15;5.024.911.682;223,78;98,57;#N/A N/A;Participação como Sócia ou Acionista de Outras Sociedades.
ISHARES BRAX CI;BRAX11;BRAX11 BS Equity;ISHARES BOVESPA IBRX;Funds;10009;#N/A N/A;#N/A N/A;124.795.998;#N/A N/A;#N/A N/A;Equity;#N/A N/A
FII BC FUND CI;BRCR11;BRCR11 BS Equity;FII BTG PACTUAL CORP OFFICE;Financial;10008;#N/A N/A;#N/A N/A;2.043.568.283;19,22;100;#N/A N/A;#N/A N/A
BRF SA ON;BRFS3;BRFS3 BS Equity;BRF SA;Consumer, Non-cyclical;10005;Consumer Staples;30;57.932.223.534;687,35;78,78;#N/A N/A;Holding Operacional
ALFA CONSORC PNE;BRGE11;BRGE11 BS Equity;CONSORCIO ALFA DE ADMI-PRF E;Financial;10008;Financials;40;#N/A N/A;5,76;85,22;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
ALFA CONSORC PNF;BRGE12;BRGE12 BS Equity;CONSORCIO ALFA DE ADMI-PRF F;Financial;10008;Financials;40;197.379.944;17,37;79,98;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
ALFA CONSORC ON;BRGE3;BRGE3 BS Equity;CONSORCIO ALFA DE ADMINIST;Financial;10008;Financials;40;197.379.944;4,2;10,41;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
ALFA CONSORC PNA;BRGE5;BRGE5 BS Equity;CONSORCIO ALFA DE ADMI-PRF A;Financial;10008;Financials;40;#N/A N/A;0,09;56,47;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
ALFA CONSORC PNB;BRGE6;BRGE6 BS Equity;CONSORCIO ALFA DE ADMI-PRF B;Financial;10008;Financials;40;#N/A N/A;1,06;45,41;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
ALFA CONSORC PNC;BRGE7;BRGE7 BS Equity;CONSORCIO ALFA DE ADMI-PRF C;Financial;10008;Financials;40;#N/A N/A;0,17;78,4;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
ALFA CONSORC PND;BRGE8;BRGE8 BS Equity;CONSORCIO ALFA DE ADMI-PRF D;Financial;10008;Financials;40;#N/A N/A;1,77;86,13;#N/A N/A;Participar como Socia de Outras Sociedades na Qualidade de Cotista. Acionista ou de Outra Forma Legalmente Adminssivel
BR INSURANCE ON;BRIN3;BRIN3 BS Equity;BRASIL INSURANCE PARTICIPACO;Financial;10008;Financials;40;543.748.199;95,95;95,99;#N/A N/A;Participação em Sociedades Corretoras de Seguros
ALFA INVEST ON;BRIV3;BRIV3 BS Equity;BANCO ALFA DE INVESTIMENTO;Financial;10008;Financials;40;598.839.290;6,77;12,55;#N/A N/A;A Prática de Todas as Operações Permitidas À Sociedade da Espécie pelas Disposições Legais e Regulamentares que Então Vigorem. Inclusive as de Câmbio. Mas Excetuadas Outras que Dependem de Autoriazaçã
ALFA INVEST PN;BRIV4;BRIV4 BS Equity;BANCO ALFA DE INVESTIME-PREF;Financial;10008;Financials;40;598.839.290;1,4;3,86;#N/A N/A;A Prática de Todas as Operações Permitidas À Sociedade da Espécie pelas Disposições Legais e Regulamentares que Então Vigorem. Inclusive as de Câmbio. Mas Excetuadas Outras que Dependem de Autoriazaçã
BRASKEM ON;BRKM3;BRKM3 BS Equity;BRASKEM SA;Basic Materials;10002;Materials;15;12.721.438.040;12,92;2,86;#N/A N/A;"(1) Produção de Produtos Químicos e Petroquímicos Básicos. Resinas Termoplásticas. Utilidades e Energia Elétrica; (2) Prestação de Serviços Industriais; e (3) Participação em Outras Sociedades."
BRASKEM PNA;BRKM5;BRKM5 BS Equity;BRASKEM SA-PREF A;Basic Materials;10002;Materials;15;12.721.438.040;143,12;41,49;#N/A N/A;"(1) Produção de Produtos Químicos e Petroquímicos Básicos. Resinas Termoplásticas. Utilidades e Energia Elétrica; (2) Prestação de Serviços Industriais; e (3) Participação em Outras Sociedades."
BRASKEM PNB;BRKM6;BRKM6 BS Equity;BRASKEM SA-PREF B;Basic Materials;10002;Materials;15;12.721.438.040;0,59;100;#N/A N/A;"(1) Produção de Produtos Químicos e Petroquímicos Básicos. Resinas Termoplásticas. Utilidades e Energia Elétrica; (2) Prestação de Serviços Industriais; e (3) Participação em Outras Sociedades."
BR MALLS PAR ON;BRML3;BRML3 BS Equity;BR MALLS PARTICIPACOES SA;Financial;10008;Financials;40;8.498.086.716;421,44;91,5;#N/A N/A;Holding
BR PROPERT ON;BRPR3;BRPR3 BS Equity;BR PROPERTIES SA;Financial;10008;Financials;40;3.265.601.352;172,89;57,97;#N/A N/A;"Compra. Venda e Incorp. de Imóveis Comerciais Prontos ou A Construir; Admin de Imóveis Próprios ou de Terceiros; Arrendamento. Exploração Com. Locação Sub-Locação de Imóveis Comerciais Própr. e Outros"
BANRISUL ON;BRSR3;BRSR3 BS Equity;BANCO ESTADO RIO GRANDE SUL;Financial;10008;Financials;40;5.880.382.186;0,8;0,39;#N/A N/A;Banco Múltiplo Atuante nas Carteiras Comercial. Crédito. Financiamento e Investimento. Crédito Imobiliário. Desenvolvimento e Arrendamento Mercantil e de Investimentos.
BANRISUL PNA;BRSR5;BRSR5 BS Equity;BANCO ESTADO RIO GRAN-PREF A;Financial;10008;Financials;40;5.880.382.186;0,64;18,12;#N/A N/A;Banco Múltiplo Atuante nas Carteiras Comercial. Crédito. Financiamento e Investimento. Crédito Imobiliário. Desenvolvimento e Arrendamento Mercantil e de Investimentos.
BANRISUL PNB;BRSR6;BRSR6 BS Equity;BANCO ESTADO RIO GRAN-PREF B;Financial;10008;Financials;40;5.880.382.186;174,31;86,98;#N/A N/A;Banco Múltiplo Atuante nas Carteiras Comercial. Crédito. Financiamento e Investimento. Crédito Imobiliário. Desenvolvimento e Arrendamento Mercantil e de Investimentos.
BANSANTANDER DR3;BSAN33;BSAN33 BS Equity;BANCO SANTANDER SA - BDR;Financial;10008;Financials;40;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;Instituição Financeira
BIOSEV ON;BSEV3;BSEV3 BS Equity;BIOSEV SA;Consumer, Non-cyclical;10005;Consumer Staples;30;1.621.395.206;21,38;10,34;#N/A N/A;"Produção. Processamento. Industrialização. Distribuição e Comercialização de Canaâ?de-Açúcar e Seus Derivados. Açúcar e Etanol; entre Outros."
BRB BANCO ON;BSLI3;BSLI3 BS Equity;BRB BANCO DE BRASILIA SA;Financial;10008;Financials;40;891.036.250;0,88;3,15;#N/A N/A;O Brb É Uma Instituição Financeira de Economia Mista. Controlada pelo Governo do Distrito Federal. Organizada sob A Forma de Banco Múltiplo
BRB BANCO PN;BSLI4;BSLI4 BS Equity;BRB BANCO DE BRASILIA-PREF;Financial;10008;Financials;40;891.036.250;0,26;3,15;#N/A N/A;O Brb É Uma Instituição Financeira de Economia Mista. Controlada pelo Governo do Distrito Federal. Organizada sob A Forma de Banco Múltiplo
B2W DIGITAL ON;BTOW3;BTOW3 BS Equity;B2W CIA DIGITAL;Communications;10003;Consumer Discretionary;25;7.299.277.163;98,77;38,69;#N/A N/A;Comércio Varejista e Atacadista em Geral de Quaisquer Bens e Serviços Através de Diversos Meios. em Especial da Internet. sem Restrição A Outros Meios.
BATTISTELLA ON;BTTL3;BTTL3 BS Equity;BATTISTELLA ADM PART SA;Diversified;10006;Industrials;20;72.842.968;40,15;80,45;#N/A N/A;"Com.de Caminhões e Ônibus Scania. Seus Acessórios e Prest.serv.assist.técnica; Industrializ.e Com. de Madeiras; Prestação de Serviços sob A Forma de Trading Company; Partic. em Outras Sociedades."
BATTISTELLA PN;BTTL4;BTTL4 BS Equity;BATTISTELLA ADM PART SA-PREF;Diversified;10006;Industrials;20;72.842.968;60;60,14;#N/A N/A;"Com.de Caminhões e Ônibus Scania. Seus Acessórios e Prest.serv.assist.técnica; Industrializ.e Com. de Madeiras; Prestação de Serviços sob A Forma de Trading Company; Partic. em Outras Sociedades."
BUETTNER ON;BUET3;BUET3 BS Equity;BUETTNER SA INDUSTRIA E COME;Consumer, Cyclical;10004;Consumer Discretionary;25;#N/A N/A;0,04;2,36;#N/A N/A;Banho e Cama
BUETTNER PN;BUET4;BUET4 BS Equity;BUETTNER SA INDUSTRIA E COME;Consumer, Cyclical;10004;Consumer Discretionary;25;#N/A N/A;0,12;3,7;#N/A N/A;Banho e Cama
