no_contrato;status_contrato;data_inicio;idade;num_dependentes;renda_mensal_reais;fracao_mes;prazo_emprestimo;fracao_a_vista;socio1_empregado0;educ_2ograu_maximo;educ_pos_maximo;sexo_m1_f0;cheques_pre_datados;geladeira;maquina_lavaroupa;regiao;filial;atraso;tipo_atraso;tipo_registro
A18100391;encerrado;10/06/2001;53;2;9000;1;1,5;0,29;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100417;encerrado;30/08/2002;39;0;6255;0,17;2;0,22;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18100433;encerrado;30/06/2002;45;2;5252,4;1;1,5;0,29;0;0;0;1;1;1;1;NO;Para;0;0;treino
A18100435;encerrado;02/08/2003;34;0;4500;1;2;0,47;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100440;encerrado;18/11/2002;32;1;6705;1;2;0,63;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18100453;encerrado;21/09/2001;44;4;14965,2;1;1;0,18;0;0;0;1;1;1;0;NO;Para;0;0;treino
A18100459;encerrado;18/08/2003;28;3;8883,9;1;3;0,31;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100468;encerrado;02/08/2003;35;1;6525;1;2;0,36;0;0;1;1;1;0;0;NO;Para;0;0;treino
A18100472;encerrado;09/03/2001;52;2;17820;1;1;0,21;0;0;0;0;0;0;0;NO;Para;0;0;treino
A18100477;encerrado;22/02/2003;35;2;4050;1;2,5;0,12;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100481;encerrado;31/07/2003;25;0;10798,2;1;2;0,15;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100483;encerrado;30/08/2002;25;0;10277,1;1;2;0,36;0;1;0;0;1;0;0;NO;Para;0;0;treino
A18100486;encerrado;16/04/2003;51;3;7110;1;2;0,23;0;0;0;1;1;0;1;NO;Para;0;0;treino
A18100490;encerrado;27/07/2002;28;2;4050;1;2;0,25;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100497;encerrado;31/08/2003;46;1;4780,503;1;2;0,21;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18400002;encerrado;08/02/2001;42;2;9000;1;1;0,45;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400006;encerrado;17/10/2001;36;4;5400;1;1,5;0,44;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400008;encerrado;06/03/2001;35;0;13500;1;1;0,5;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400010;encerrado;31/03/2002;54;0;6145,2;1,03;1,5;0,43;0;0;0;1;0;1;0;NO;Manaus;0;0;treino
A18400013;encerrado;27/07/2001;55;3;10800;1;1;0,3;0;1;0;1;1;0;0;NO;Manaus;0;0;treino
A18400021;encerrado;20/02/2002;53;1;10800;1;1,5;0,5;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400022;encerrado;25/01/2003;49;2;13500;1;2;0,05;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400025;encerrado;23/08/2001;31;0;6705;1;1;0,72;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400030;encerrado;11/03/2001;50;2;5400;1;1;0,59;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400033;encerrado;05/11/2002;39;2;9000;1;2;0,34;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400036;exec_garantia;01/12/2000;54;1;9997,2;1;1,5;0,44;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400037;encerrado;05/08/2001;41;2;4122,9;1;1;0,51;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400040;encerrado;07/11/2002;48;2;6952,5;1;2;0,44;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400044;exec_garantia;19/12/2000;22;2;8100;1;2;0,28;0;0;0;1;0;1;0;NO;Manaus;0;0;treino
A18400046;encerrado;07/11/2002;49;3;6284,7;1;2;0,29;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400048;encerrado;11/01/2001;40;3;9000;1;1,5;0,35;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400052;encerrado;07/11/2002;60;2;11655,9;1;2;0,42;0;1;0;1;0;0;0;NO;Manaus;0;0;treino
A18400056;encerrado;09/03/2001;22;2;6300;1;1;0,21;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400057;encerrado;10/12/2001;49;2;5400;1;0,83;0,6;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400058;encerrado;23/08/2001;40;2;7932,6;1;0,83;0,6;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400059;encerrado;10/05/2001;39;2;5850;1;0,83;0,19;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400060;encerrado;18/06/2001;38;2;9000;1;1;0,46;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400061;encerrado;13/07/2001;38;2;9000;1;1;0,46;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400064;encerrado;08/12/2001;38;2;4498,2;1;0,83;0,48;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400065;encerrado;10/12/2001;44;2;5400;1;0,83;0,7;0;1;0;1;0;1;1;NO;Manaus;0;0;treino
A18400066;encerrado;25/07/2002;48;2;5546,7;1;2;0,25;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400068;encerrado;11/03/2001;32;1;6172,2;1;0,83;0,8;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400071;encerrado;09/03/2001;27;2;6525;1;0,83;0,6;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400072;encerrado;11/03/2001;37;2;7200;1;0,83;0,6;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400073;encerrado;09/03/2001;36;2;6300;1;0,83;0,48;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400074;encerrado;11/03/2001;29;2;13077,9;1;0,83;0,58;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400075;encerrado;06/02/2002;43;2;5363,1;1;2;0,5;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400078;encerrado;11/03/2001;40;2;5400;1;0,83;0,62;0;1;0;1;0;0;0;NO;Manaus;0;0;treino
A18400080;encerrado;19/07/2002;49;1;4762,8;1;2;0,28;0;0;0;1;0;1;0;NO;Manaus;0;0;treino
A18400081;encerrado;12/07/2001;29;2;3960;1;0,83;0,39;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400082;encerrado;31/03/2002;25;0;9652,5;1;0,83;0,5;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400084;encerrado;29/05/2001;29;2;13500;1;0,42;0,44;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400089;encerrado;11/01/2001;25;3;10800;0,1;0,83;0,44;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400090;encerrado;21/12/2001;49;3;6300;1;0,83;0,6;0;0;0;0;1;0;0;NO;Manaus;0;0;treino
A18400091;encerrado;17/04/2001;54;2;11463,3;1;0,83;0,5;0;0;0;1;0;1;0;NO;Manaus;0;0;treino
A18400092;encerrado;13/01/2001;30;2;7200;1;0,83;0,57;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400095;encerrado;16/11/2001;30;2;9000;1;0,83;0,6;0;0;0;1;0;1;0;NO;Manaus;0;0;treino
A18400096;encerrado;13/07/2001;28;2;18000;1;0,83;0,65;0;0;0;1;1;0;0;NO;Manaus;0;0;treino
A18400099;encerrado;22/04/2002;32;2;10800;1;1,5;0,35;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400100;encerrado;17/12/2001;36;2;8100;1;0,83;0,54;0;0;0;1;0;1;1;NO;Manaus;0;0;treino
A18400101;encerrado;15/12/2001;29;2;5850;1;0,83;0,57;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400102;encerrado;17/12/2001;34;2;14400;1;0,83;0,49;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400105;encerrado;15/12/2001;25;2;6300;1;0,83;0,57;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400108;encerrado;17/12/2001;36;2;5010,3;1;0,83;0,41;0;1;0;1;0;0;0;NO;Manaus;0;0;treino
A18400109;encerrado;15/12/2001;33;2;5400;1;0,83;0,58;0;0;1;0;0;1;1;NO;Manaus;0;0;treino
A18400110;encerrado;17/12/2001;31;2;10800;1;0,83;0,41;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400112;encerrado;15/12/2001;49;2;18000;1;0,83;0,36;0;0;0;1;0;0;0;NO;Manaus;0;0;treino
A18400114;encerrado;17/12/2001;30;2;18000;1;0,83;0,57;0;1;0;1;0;0;0;NO;Manaus;0;0;treino
A18500008;encerrado;15/04/2002;34;2;4500;1;2;0,3;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18500016;encerrado;09/11/2001;39;0;13500;1;1;0,31;0;0;0;0;0;1;1;NO;Para;0;0;treino
A18500017;encerrado;14/03/2002;41;2;7126,2;0,2;1,5;0,6;0;1;0;1;0;0;0;NO;Para;0;0;treino
A18500058;encerrado;15/06/2002;23;2;3600;1;1,5;0,24;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18500074;encerrado;31/10/2003;41;0;18000;1;2;0,29;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18500077;encerrado;12/09/2001;34;4;6300;1;1;0,38;0;0;0;1;0;1;0;NO;Para;0;0;treino
A18500081;exec_retomada;;34;3;5400;1;2;0,3;0;1;0;1;0;0;0;NO;Para;0;0;treino
A18500084;encerrado;03/05/2002;30;4;3600;1;1;0,47;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18500088;encerrado;01/05/2002;40;2;2700;1;1;0,51;0;1;0;1;0;1;0;NO;Para;0;0;treino
A18500089;encerrado;03/05/2002;33;2;5400;1;1;0,51;0;1;0;1;0;1;0;NO;Para;0;0;treino
A18500109;exec_garantia;30/11/2002;39;3;3600;1;1,5;0,26;0;0;0;1;0;1;1;NO;Para;0;0;treino
A18500156;encerrado;21/04/2003;58;1;2700;1;2;0,18;0;0;1;1;1;0;0;NO;Para;0;0;treino
A18500196;encerrado;17/01/2003;32;3;3600;1;2;0,33;0;1;0;1;0;0;0;NO;Para;0;0;treino
A18800004;encerrado;06/07/2004;45;0;9000;0,03;1;0,29;0;0;1;1;1;0;0;NO;Para;0;0;treino
A18800027;encerrado;06/02/2004;34;3;13500;0,03;0,83;0,47;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18800041;encerrado;31/08/2004;34;0;450;0,03;1;0,48;0;1;0;1;1;0;0;NO;Para;0;0;treino
A18800049;encerrado;24/08/2004;26;1;6000,003;0,83;1;0,45;1;0;0;1;1;1;1;NO;Para;0;0;treino
A18800055;encerrado;16/12/2004;33;1;18353,7;1,03;1;0,28;0;0;0;1;1;1;1;NO;Para;0;0;treino
A18800060;encerrado;07/07/2004;53;3;9900;1,03;1;0,55;0;0;0;1;1;1;1;NO;Para;0;0;treino
A18800083;encerrado;29/09/2004;31;0;5400;1;1;0,48;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18800102;encerrado;26/09/2004;30;4;13050;1,03;0,83;0,62;0;0;0;1;1;1;1;NO;Para;0;0;treino
A18800113;encerrado;08/02/2004;39;3;8100;1,03;0,67;0,59;0;0;0;1;1;0;0;NO;Para;0;0;treino
B2200002;encerrado;21/12/1999;23;2;9000;1;2;0,14;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200004;encerrado;18/10/2000;21;2;4129,2;1;1,5;0,57;0;0;1;0;0;1;0;RJ;Rio;0;0;treino
B2200005;encerrado;06/04/2000;22;2;10551,6;1;1;0,59;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200008;encerrado;08/04/2000;49;3;5400;1;1,25;0,35;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200009;encerrado;01/12/2001;39;2;8865;1;2;0,52;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200010;encerrado;10/11/2003;51;1;5850;1;1;0,21;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200021;encerrado;01/12/2001;48;4;7449,3;1;1,5;0,22;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200023;encerrado;15/05/2002;45;3;7650;1;3;0,24;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200025;encerrado;24/08/2000;22;2;7200;1;1;0,21;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200027;encerrado;18/10/2000;54;3;5400;1;1;0,51;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200028;encerrado;16/10/2000;41;3;7667,1;1;1;0,25;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200029;encerrado;10/05/2001;31;1;14204,7;1;2;0,38;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200035;encerrado;28/11/2001;47;2;9250,2;1;2;0,22;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200037;encerrado;03/01/2002;51;4;7172,1;1;2,25;0,05;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200039;encerrado;01/12/2001;51;4;2880;1;1;0,56;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200042;encerrado;28/03/2002;35;2;5885,1;1;2,25;0,05;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200044;encerrado;21/03/2002;52;3;5896,8;1;2,25;0,09;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200045;encerrado;03/12/2001;50;4;10961,1;1;1,5;0,27;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200051;encerrado;06/05/2002;22;1;4275;1;2,25;0,08;0;0;0;1;0;0;1;RJ;Rio;0;0;treino
B2200055;encerrado;01/02/2001;32;2;3600;1;1;0,56;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200056;ativo;;25;2;3600;1;1;0,29;0;0;0;0;0;1;0;RJ;Rio;0;0;treino
B2200066;exec_garantia;14/10/2001;24;2;5400;1;2;0,23;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200067;encerrado;11/12/2002;44;2;17020,8;1;3;0,2;0;0;1;1;0;1;1;RJ;Rio;0;0;treino
B2200069;encerrado;11/05/2003;30;2;6300;1;3;0,22;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200070;ativo;;27;0;4307,4;1;2,25;0,05;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200072;encerrado;17/08/2001;42;1;9658,8;1;1;0,21;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200073;encerrado;21/12/2000;22;3;3690;1;1;0,51;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200076;encerrado;15/03/2001;32;2;13500;1;1;0,21;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200089;encerrado;25/12/2002;38;0;10041,3;1;2,25;0,05;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200095;encerrado;07/12/2002;34;2;11070;1;2;0,17;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200130;encerrado;23/09/2002;54;0;7169,4;0,03;2,25;0,07;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200133;encerrado;13/06/2002;41;0;5850;0,33;2,25;0,23;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200135;encerrado;15/05/2002;35;0;4500;0,17;2;0,29;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200136;encerrado;13/02/2002;34;0;4455;0,23;2,25;0,05;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200139;exec_garantia;10/11/2000;34;0;5220;1;2,25;0,07;0;0;0;0;0;0;0;RJ;Rio;0;0;treino
B2200143;encerrado;14/11/2002;24;0;11497,5;1;2,25;0,07;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200147;exec_garantia;09/01/2001;25;0;6246;1;2,25;0,05;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200149;encerrado;28/11/2001;42;0;9000;1;2;0,3;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200157;exec_garantia;19/04/2001;29;0;8010;1;2;0,39;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200158;encerrado;02/07/2002;24;1;4500;1;1,5;0,06;0;0;0;0;1;0;1;RJ;Rio;0;0;treino
B2200160;encerrado;25/06/2002;55;0;8100;1;2;0,21;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200163;encerrado;11/10/2002;43;2;7132,5;1;2,25;0,06;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200167;encerrado;30/01/2003;37;0;6785,1;1;2,25;0,07;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200176;encerrado;27/09/2002;30;0;10292,4;0,27;2;0,37;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200178;encerrado;11/07/2001;28;0;4687,2;1;1,5;0,42;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200180;encerrado;09/07/2003;24;0;15300;1;3;0,39;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200181;encerrado;12/11/2002;28;0;7200;0,23;2,25;0,07;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200188;exec_garantia;08/05/2001;41;0;6515,1;1;2,25;0,07;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200192;encerrado;31/03/2002;25;0;4950;1;1,5;0,46;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200197;encerrado;13/06/2002;52;0;9999;0,23;2,25;0,07;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200199;ativo;;24;0;9675;1;2,25;0,07;0;0;0;0;0;1;0;RJ;Rio;0;0;treino
B2200208;encerrado;03/05/2003;29;0;7650;1;2,25;0,07;0;0;0;0;0;1;0;RJ;Rio;0;0;treino
B2200217;encerrado;14/05/2001;43;0;9299,7;1;1;0,21;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200218;encerrado;16/05/2001;23;0;6300;1;1;0,68;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200220;exec_garantia;04/05/2001;23;0;9450;0,23;2,25;0,07;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200221;encerrado;02/08/2003;52;0;5652;0,03;2,25;0,05;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200237;encerrado;15/10/2002;57;0;10129,5;1,03;2;0,18;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200251;encerrado;14/07/2001;47;4;5850;1;1;0,32;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200260;encerrado;03/04/2002;27;3;4050;1;2;0,23;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200262;encerrado;08/04/2001;37;2;5340,15;1;1,25;0,32;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200264;encerrado;15/07/2001;25;0;19800;0,03;1;0,37;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200265;encerrado;27/06/2002;25;0;25020;1;2;0,24;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200280;encerrado;06/04/2001;23;0;4500;1;1;0,56;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200281;encerrado;27/06/2002;40;0;7777,8;1;2;0,33;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200285;encerrado;28/06/2001;28;0;4500;0,03;1;0,5;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200303;exec_retomada;;23;0;7200;1;2,25;0,04;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200310;encerrado;10/08/2002;28;2;5400;1;2,25;0,27;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200312;encerrado;01/10/2003;46;2;6570;1;3;0,06;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200313;encerrado;08/05/2001;45;0;9000;1;1;0,49;0;0;0;1;0;0;1;RJ;Rio;0;0;treino
B2200317;encerrado;10/05/2001;36;0;12928,5;0,1;1;0,45;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200318;encerrado;27/02/2003;48;3;10008;1;3;0,36;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200325;exec_garantia;11/03/2000;29;2;4500;1;2,25;0,06;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200326;encerrado;12/07/2001;28;0;7427,7;1;1;0,39;0;0;0;0;1;1;1;RJ;Rio;0;0;treino
B2200328;encerrado;19/01/2003;50;0;9030,6;1;2,25;0,05;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200330;exec_garantia;09/01/2001;52;0;10680,3;1;2,25;0,07;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200331;encerrado;27/06/2002;22;0;5715;1;2;0,37;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200333;encerrado;06/04/2001;27;0;18000;0,27;1;0,31;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200350;encerrado;18/08/2001;32;3;8550;1;1;0,45;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200355;encerrado;25/09/2002;31;3;5400;1;2;0,3;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200363;encerrado;19/11/2002;37;0;6030;1;2,25;0,05;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200372;encerrado;28/06/2001;36;2;4500;1;1;0,32;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200381;encerrado;10/11/2003;46;0;8100;1;3;0,06;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200391;encerrado;24/06/2001;27;0;21204;1;1,25;0,32;0;0;0;0;1;1;1;RJ;Rio;0;0;treino
B2200392;encerrado;02/08/2003;55;4;9121,5;1;2,25;0,04;0;1;0;1;0;1;0;RJ;Rio;0;0;treino
B2200404;encerrado;24/11/2004;34;2;4050;1;2,25;0,05;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200405;encerrado;02/08/2003;46;0;6750;1;2,25;0,07;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200414;encerrado;17/02/2002;34;0;9000;1;1,5;0,38;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200415;encerrado;08/05/2002;39;2;9000;1;1,5;0,47;0;1;0;1;1;0;0;RJ;Rio;0;0;treino
B2200427;encerrado;16/08/2001;29;0;5400;1;1;0,45;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200431;encerrado;18/08/2001;25;0;8100;1;1;0,74;0;0;0;0;1;1;0;RJ;Rio;0;0;treino
B2200439;encerrado;31/05/2003;26;1;4375,8;1;2,25;0,04;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200461;encerrado;23/01/2001;35;0;3600;1;1;0,56;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200462;encerrado;12/11/2002;40;2;21600;1;2;0,49;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200463;encerrado;08/04/2001;35;1;9000;1;1;0,28;0;0;0;0;0;1;1;RJ;Rio;0;0;treino
B2200465;encerrado;24/08/2001;28;0;9000;0,33;1;0,5;0;0;0;1;0;1;1;RJ;Rio;0;0;treino
B2200488;encerrado;18/08/2001;34;4;22500;1;1;0,45;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200489;encerrado;15/08/2001;35;0;4500;1;1;0,32;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200495;encerrado;11/04/2001;42;0;6300;1;1;0,3;0;0;0;1;0;1;0;RJ;Rio;0;0;treino
B2200499;encerrado;11/06/2002;31;0;3150;1;2,25;0,06;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200500;encerrado;13/06/2002;40;0;4950;1;2,25;0,05;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200510;encerrado;25/06/2002;27;2;7200;1;2;0,08;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200517;encerrado;14/08/2001;35;0;4500;1;1;0,45;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200520;encerrado;30/06/2004;44;2;8694;1;3;0,06;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200525;encerrado;26/04/2002;55;1;8100;1;1,5;0,23;0;1;0;1;1;0;0;RJ;Rio;0;0;treino
B2200534;encerrado;24/08/2001;46;0;3749,4;1;1;0,32;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200535;encerrado;26/08/2001;35;1;5400;1;1;0,45;0;0;0;0;1;1;1;RJ;Rio;0;0;treino
B2200536;encerrado;01/04/2005;25;2;11700;1;3;0,07;0;0;0;0;1;1;1;RJ;Rio;0;0;treino
B2200540;encerrado;17/08/2001;47;4;6300;1;1;0,45;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200541;encerrado;24/08/2001;44;3;6210;1;1;0,49;0;0;0;1;1;0;0;RJ;Rio;0;0;treino
B2200551;encerrado;15/08/2001;27;1;3600;1;1;0,45;0;1;0;1;0;1;0;RJ;Rio;0;0;treino
B2200553;encerrado;25/06/2002;30;3;7200;1;1,5;0,36;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
B2200561;encerrado;26/05/2002;38;0;4182,3;1;2;0,22;0;0;0;1;0;0;0;RJ;Rio;0;0;treino
B2200565;encerrado;16/08/2001;35;2;5175;1;1;0,45;0;0;0;1;1;1;0;RJ;Rio;0;0;treino
B2200574;encerrado;15/08/2001;55;0;6830,1;1;1;0,45;0;0;0;1;1;1;1;RJ;Rio;0;0;treino
