status;total;juros;categ;emprego;residencia;renda;idade;cat_emp;cat_juro
0;12000;;B;1;ALUGADA;50000;26;0-15;Missing
1;19750;10,65;B;4;ALUGADA;45000;42;0-15;8-11
0;10000;9,91;B;3;ALUGADA;31200;25;0-15;8-11
0;13650;12,42;B;4;ALUGADA;66000;45;0-15;11-13.5
0;18000;;A;12;ALUGADA;56964;29;0-15;Missing
0;2500;14,27;C;7;ALUGADA;49500;22;0-15;13.5+
0;35000;8,9;A;6;PRESTACAO;125000;23;0-15;8-11
0;10000;7,51;A;3;ALUGADA;33000;25;0-15;0-8
0;7000;12,69;B;0;ALUGADA;30000;23;0-15;11-13.5
1;24000;15,96;C;8;PRESTACAO;90000;24;0-15;13.5+
0;10625;7,51;A;5;PRESTACAO;23000;22;0-15;0-8
0;5000;14,65;C;2;ALUGADA;24000;37;0-15;13.5+
0;8850;6,62;A;17;ALUGADA;62000;24;15-30;0-8
0;6375;;A;4;ALUGADA;44000;25;0-15;Missing
0;6000;11,71;B;1;ALUGADA;90000;27;0-15;11-13.5
1;11100;6,62;A;30;ALUGADA;41000;38;15-30;0-8
0;6200;6,03;A;5;PRESTACAO;26500;44;0-15;0-8
0;15000;18,64;E;1;ALUGADA;54000;26;0-15;13.5+
0;4200;11,71;B;2;ALUGADA;53000;35;0-15;11-13.5
0;14000;14,27;C;4;ALUGADA;52800;23;0-15;13.5+
0;8875;7,51;A;1;PRESTACAO;38000;26;0-15;0-8
0;13500;9,91;B;7;ALUGADA;38000;21;0-15;8-11
1;12000;9,91;B;2;ALUGADA;42000;24;0-15;8-11
0;6000;10,65;B;6;PRESTACAO;87000;24;0-15;8-11
1;10000;11,71;B;8;ALUGADA;60000;46;0-15;11-13.5
0;12000;16,29;D;5;PRESTACAO;80000;26;0-15;13.5+
0;7200;12,42;B;5;ALUGADA;48000;22;0-15;11-13.5
1;5600;14,65;C;1;PRESTACAO;85000;24;0-15;13.5+
0;12000;;C;0;ALUGADA;57000;23;0-15;Missing
0;8500;6,03;A;2;ALUGADA;25000;23;0-15;0-8
0;8000;9,91;B;2;ALUGADA;34000;22;0-15;8-11
0;8000;12,42;B;14;ALUGADA;40000;25;0-15;11-13.5
0;15000;17,27;D;2;PRESTACAO;44400;23;0-15;13.5+
0;10000;9,91;B;2;PROPRIA;30000;32;0-15;8-11
0;10000;6,62;A;5;PRESTACAO;70000;23;0-15;0-8
0;8000;14,65;C;3;ALUGADA;28000;25;0-15;13.5+
0;22000;9,91;B;2;PRESTACAO;50000;22;0-15;8-11
0;6000;14,27;C;14;PRESTACAO;94800;23;0-15;13.5+
1;2500;7,51;A;;PROPRIA;12000;21;Missing;0-8
0;13500;9,91;B;2;PRESTACAO;36000;30;0-15;8-11
0;25000;12,42;B;2;ALUGADA;225000;30;0-15;11-13.5
0;10000;;C;2;ALUGADA;45900;65;0-15;Missing
0;2500;13,49;C;4;ALUGADA;27200;26;0-15;11-13.5
0;7325;12,69;B;1;ALUGADA;42000;23;0-15;11-13.5
0;4000;12,42;B;5;ALUGADA;135000;28;0-15;11-13.5
1;10000;13,49;C;5;ALUGADA;65000;35;0-15;11-13.5
1;7750;17,27;D;0;ALUGADA;24000;24;0-15;13.5+
0;9600;12,42;B;11;ALUGADA;65000;30;0-15;11-13.5
0;14000;10,65;B;3;ALUGADA;30000;21;0-15;8-11
0;13350;12,42;B;19;ALUGADA;43000;31;15-30;11-13.5
1;15000;16,77;D;17;ALUGADA;42000;27;15-30;13.5+
1;15000;;D;8;ALUGADA;75000;50;0-15;Missing
0;35000;10,65;B;2;PRESTACAO;168000;25;0-15;8-11
0;9000;;B;9;PRESTACAO;74000;22;0-15;Missing
1;16000;12,69;B;1;ALUGADA;58500;22;0-15;11-13.5
0;13500;12,69;B;5;ALUGADA;71000;26;0-15;11-13.5
0;24000;12,69;B;13;ALUGADA;75000;22;0-15;11-13.5
0;12000;10,65;B;5;ALUGADA;60000;26;0-15;8-11
0;14000;6,62;A;31;ALUGADA;66000;26;30-45;0-8
1;12000;;C;8;PRESTACAO;70000;33;0-15;Missing
0;25000;11,71;B;12;PRESTACAO;1e+05;23;0-15;11-13.5
0;9000;12,69;B;5;ALUGADA;50000;25;0-15;11-13.5
0;13250;10,65;B;4;ALUGADA;35000;28;0-15;8-11
0;20000;13,49;C;6;ALUGADA;75000;28;0-15;11-13.5
0;3000;14,65;C;5;ALUGADA;71000;22;0-15;13.5+
0;7350;10,65;B;16;PRESTACAO;48000;21;15-30;8-11
0;11500;15,27;C;5;ALUGADA;36000;30;0-15;13.5+
1;13650;12,42;B;16;PRESTACAO;86000;32;15-30;11-13.5
1;10500;16,29;D;3;ALUGADA;30000;25;0-15;13.5+
0;12000;9,91;B;2;ALUGADA;60000;28;0-15;8-11
0;6000;8,9;A;3;ALUGADA;34000;27;0-15;8-11
0;11500;15,27;C;25;PRESTACAO;44200;27;15-30;13.5+
0;7000;12,42;B;7;PRESTACAO;82000;26;0-15;11-13.5
0;2000;15,27;C;2;ALUGADA;41000;27;0-15;13.5+
0;11625;13,49;C;0;PRESTACAO;36000;22;0-15;11-13.5
1;15075;;C;14;ALUGADA;35000;31;0-15;Missing
0;5300;15,27;C;1;ALUGADA;30000;25;0-15;13.5+
0;8200;6,62;A;0;ALUGADA;40000;26;0-15;0-8
0;12000;;B;9;PRESTACAO;105000;25;0-15;Missing
0;8650;14,27;C;4;PRESTACAO;45000;23;0-15;13.5+
0;12000;12,42;B;2;ALUGADA;83000;31;0-15;11-13.5
1;9500;12,69;B;0;PRESTACAO;52500;22;0-15;11-13.5
0;7400;;C;0;PROPRIA;25000;26;0-15;Missing
0;14400;13,49;C;19;PRESTACAO;60000;28;15-30;11-13.5
1;7200;7,9;A;3;ALUGADA;68000;23;0-15;0-8
0;4000;7,51;A;0;ALUGADA;65000;24;0-15;0-8
0;1500;17,27;D;11;PRESTACAO;144000;24;0-15;13.5+
0;19600;12,42;B;2;ALUGADA;75000;22;0-15;11-13.5
0;2500;11,71;B;7;PRESTACAO;29000;54;0-15;11-13.5
1;10000;12,69;B;2;ALUGADA;70000;22;0-15;11-13.5
0;10000;6,62;A;5;ALUGADA;45000;21;0-15;0-8
0;4225;12,42;B;5;PRESTACAO;55200;25;0-15;11-13.5
0;3500;7,9;A;7;PRESTACAO;61440;35;0-15;0-8
0;12000;;A;27;PRESTACAO;56000;24;15-30;Missing
0;16500;;A;0;ALUGADA;47000;26;0-15;Missing
0;12000;;C;1;ALUGADA;71000;29;0-15;Missing
0;10800;;B;8;ALUGADA;135000;28;0-15;Missing
0;14000;12,42;B;12;PRESTACAO;63000;25;0-15;11-13.5
0;6000;13,49;C;5;PRESTACAO;50000;35;0-15;11-13.5
0;12000;9,91;B;5;ALUGADA;80000;24;0-15;8-11
0;10000;12,42;B;4;ALUGADA;45000;29;0-15;11-13.5
0;8000;7,9;A;2;ALUGADA;78000;31;0-15;0-8
0;14125;9,91;B;1;ALUGADA;33000;25;0-15;8-11
0;14000;12,69;B;5;ALUGADA;62800;24;0-15;11-13.5
0;4000;19,03;E;19;PRESTACAO;80000;25;15-30;13.5+
1;4000;12,69;B;2;ALUGADA;25000;22;0-15;11-13.5
0;10500;6,03;A;12;PRESTACAO;65000;23;0-15;0-8
0;5500;7,9;A;23;PROPRIA;59000;34;15-30;0-8
0;7350;11,71;B;1;ALUGADA;33000;24;0-15;11-13.5
1;10000;12,42;B;10;ALUGADA;39000;22;0-15;11-13.5
0;12000;7,51;A;13;ALUGADA;42000;32;0-15;0-8
0;4500;8,9;A;20;PRESTACAO;50700;24;15-30;8-11
0;18000;12,42;B;1;PROPRIA;75000;29;0-15;11-13.5
0;12000;13,49;C;6;ALUGADA;40000;24;0-15;11-13.5
0;10000;13,49;C;10;PRESTACAO;50000;25;0-15;11-13.5
0;6000;7,9;A;7;PRESTACAO;80000;25;0-15;0-8
0;12000;12,69;B;4;ALUGADA;40000;27;0-15;11-13.5
1;12000;8,9;A;7;ALUGADA;80000;30;0-15;8-11
0;7000;11,71;B;2;ALUGADA;75000;29;0-15;11-13.5
0;1400;7,9;A;1;ALUGADA;28800;29;0-15;0-8
0;3200;9,91;B;9;ALUGADA;61200;26;0-15;8-11
0;8000;7,9;A;1;ALUGADA;40000;22;0-15;0-8
0;5000;6,03;A;9;PRESTACAO;54000;22;0-15;0-8
0;1800;6,62;A;16;ALUGADA;18000;21;15-30;0-8
0;35000;8,9;A;5;ALUGADA;85000;37;0-15;8-11
0;18000;8,9;A;5;ALUGADA;78000;34;0-15;8-11
1;14000;7,9;A;11;PROPRIA;45600;23;0-15;0-8
0;5000;12,42;B;2;ALUGADA;70000;38;0-15;11-13.5
0;8000;15,96;C;4;ALUGADA;70000;25;0-15;13.5+
0;10000;;A;9;PRESTACAO;80000;24;0-15;Missing
0;10000;7,51;A;5;ALUGADA;50000;23;0-15;0-8
0;12000;12,42;B;10;PRESTACAO;35000;23;0-15;11-13.5
0;23200;7,9;A;3;PRESTACAO;65000;31;0-15;0-8
0;4800;15,27;C;29;PRESTACAO;75000;25;15-30;13.5+
0;7300;11,71;B;6;ALUGADA;35000;29;0-15;11-13.5
0;10400;9,91;B;6;ALUGADA;40000;25;0-15;8-11
0;6600;9,91;B;1;PRESTACAO;1e+05;24;0-15;8-11
0;12000;8,9;A;7;PROPRIA;40000;21;0-15;8-11
0;13250;17,27;D;11;ALUGADA;52000;29;0-15;13.5+
0;12000;11,71;B;3;ALUGADA;92500;26;0-15;11-13.5
0;25000;9,91;B;9;ALUGADA;61000;28;0-15;8-11
0;6000;;B;16;ALUGADA;36000;25;15-30;Missing
0;12000;7,51;A;18;PRESTACAO;68000;23;15-30;0-8
0;14400;11,71;B;1;ALUGADA;80000;22;0-15;11-13.5
0;10000;12,42;B;15;ALUGADA;43000;27;0-15;11-13.5
0;8000;11,71;B;1;ALUGADA;150000;28;0-15;11-13.5
1;8000;16,29;D;5;ALUGADA;50000;21;0-15;13.5+
0;13250;11,71;B;2;PROPRIA;35000;37;0-15;11-13.5
0;14000;14,27;C;6;ALUGADA;80000;34;0-15;13.5+
0;10000;16,29;D;15;ALUGADA;40000;38;0-15;13.5+
0;4000;6,03;A;1;ALUGADA;55000;45;0-15;0-8
0;13000;9,91;B;6;ALUGADA;110000;40;0-15;8-11
0;28000;12,69;B;5;ALUGADA;1e+05;25;0-15;11-13.5
0;10000;13,49;C;3;ALUGADA;62000;23;0-15;11-13.5
0;20000;7,9;A;0;ALUGADA;45000;22;0-15;0-8
0;18000;9,91;B;5;ALUGADA;110000;27;0-15;8-11
0;10000;11,71;B;3;ALUGADA;33000;26;0-15;11-13.5
0;4200;6,03;A;3;ALUGADA;61000;23;0-15;0-8
0;24000;16,29;D;2;ALUGADA;50964;21;0-15;13.5+
0;4475;15,27;C;3;ALUGADA;43680;28;0-15;13.5+
0;12000;12,42;B;5;ALUGADA;50700;29;0-15;11-13.5
1;5000;12,42;B;2;ALUGADA;30000;26;0-15;11-13.5
0;3000;6,03;A;5;ALUGADA;50000;25;0-15;0-8
1;12000;9,91;B;17;ALUGADA;55000;45;15-30;8-11
0;20000;15,27;C;13;PRESTACAO;50000;25;0-15;13.5+
0;10000;;C;3;ALUGADA;84000;25;0-15;Missing
0;15000;12,42;B;6;PROPRIA;155000;32;0-15;11-13.5
0;12000;7,9;A;0;PRESTACAO;62000;26;0-15;0-8
0;6300;11,71;B;2;ALUGADA;30000;21;0-15;11-13.5
1;10000;11,71;B;5;ALUGADA;32000;42;0-15;11-13.5
1;24000;8,9;A;17;PRESTACAO;116400;32;15-30;8-11
0;14400;12,69;B;9;PRESTACAO;40000;22;0-15;11-13.5
0;6000;14,65;C;7;ALUGADA;34000;32;0-15;13.5+
0;22000;15,96;C;5;PRESTACAO;73000;22;0-15;13.5+
1;12000;;B;17;ALUGADA;57200;28;15-30;Missing
0;16000;16,77;D;0;PRESTACAO;114000;33;0-15;13.5+
0;10000;10,65;B;14;PRESTACAO;90000;29;0-15;8-11
1;10000;12,69;B;2;ALUGADA;35000;27;0-15;11-13.5
0;3500;;C;7;ALUGADA;56000;23;0-15;Missing
0;9600;9,91;B;5;ALUGADA;35000;25;0-15;8-11
0;9875;7,9;A;15;PRESTACAO;40000;22;0-15;0-8
0;4800;7,9;A;6;ALUGADA;48000;23;0-15;0-8
0;7800;6,03;A;12;PROPRIA;85000;30;0-15;0-8
0;20000;14,27;C;11;PRESTACAO;70000;26;0-15;13.5+
1;9750;7,51;A;4;ALUGADA;35000;27;0-15;0-8
0;5000;6,03;A;9;PRESTACAO;30000;25;0-15;0-8
0;9000;14,65;C;4;ALUGADA;45000;28;0-15;13.5+
0;7200;7,9;A;1;ALUGADA;55000;25;0-15;0-8
0;25000;15,27;C;8;PROPRIA;82000;24;0-15;13.5+
0;10000;15,96;C;13;ALUGADA;53000;33;0-15;13.5+
1;8875;12,69;B;5;PRESTACAO;35360;25;0-15;11-13.5
0;15550;11,71;B;13;ALUGADA;54000;23;0-15;11-13.5
0;7500;12,69;B;5;ALUGADA;65000;29;0-15;11-13.5
0;8875;8,9;A;6;PROPRIA;28800;22;0-15;8-11
0;4500;17,27;D;1;ALUGADA;42000;21;0-15;13.5+
0;5800;12,42;B;3;ALUGADA;36000;27;0-15;11-13.5
0;10000;11,71;B;2;ALUGADA;40000;21;0-15;11-13.5
0;10000;9,91;B;4;ALUGADA;50000;35;0-15;8-11
0;14000;11,71;B;1;ALUGADA;52000;39;0-15;11-13.5
1;12000;;A;3;ALUGADA;32000;29;0-15;Missing
0;24000;7,9;A;6;PROPRIA;75000;23;0-15;0-8
0;14000;14,27;C;0;ALUGADA;80000;23;0-15;13.5+
0;12000;8,9;A;7;PRESTACAO;40246;38;0-15;8-11
1;8050;12,69;B;1;ALUGADA;36000;22;0-15;11-13.5
0;5600;10,65;B;6;ALUGADA;60000;22;0-15;8-11
0;7500;9,91;B;3;ALUGADA;31200;22;0-15;8-11
0;7000;11,71;B;15;ALUGADA;90000;35;0-15;11-13.5
0;5400;7,9;A;4;ALUGADA;40000;29;0-15;0-8
0;16000;12,42;B;1;ALUGADA;90000;27;0-15;11-13.5
0;9800;16,29;D;4;ALUGADA;67000;39;0-15;13.5+
0;5000;6,62;A;1;ALUGADA;276000;28;0-15;0-8
0;9900;11,71;B;6;ALUGADA;26400;22;0-15;11-13.5
0;4000;11,71;B;;ALUGADA;24000;25;Missing;11-13.5
0;15000;11,71;B;3;PRESTACAO;68400;31;0-15;11-13.5
0;6250;15,96;C;1;ALUGADA;29120;25;0-15;13.5+
0;6400;16,29;D;0;ALUGADA;29120;25;0-15;13.5+
0;12000;15,27;C;4;PRESTACAO;54000;32;0-15;13.5+
0;15000;;A;5;PRESTACAO;30000;28;0-15;Missing
0;6500;14,27;C;4;PRESTACAO;30000;25;0-15;13.5+
0;8000;15,96;C;16;ALUGADA;50000;24;15-30;13.5+
0;15000;14,65;C;11;PRESTACAO;100500;27;0-15;13.5+
0;10200;;C;3;ALUGADA;40000;26;0-15;Missing
0;9000;12,42;B;5;PRESTACAO;47000;28;0-15;11-13.5
0;6500;16,29;D;3;PRESTACAO;68000;25;0-15;13.5+
0;2000;7,9;A;4;ALUGADA;39600;27;0-15;0-8
0;8000;13,49;C;3;PROPRIA;30000;22;0-15;11-13.5
0;8875;7,51;A;1;ALUGADA;30000;25;0-15;0-8
1;1500;18,64;E;0;ALUGADA;17000;21;0-15;13.5+
0;8000;12,42;B;3;ALUGADA;42000;31;0-15;11-13.5
0;6500;11,71;B;4;ALUGADA;42000;20;0-15;11-13.5
0;9600;13,49;C;3;PRESTACAO;27000;21;0-15;11-13.5
0;10000;7,9;A;5;PRESTACAO;46000;40;0-15;0-8
0;15000;12,42;B;17;PRESTACAO;80000;23;15-30;11-13.5
0;9000;6,62;A;3;PRESTACAO;45000;25;0-15;0-8
0;10000;7,9;A;2;ALUGADA;72500;36;0-15;0-8
1;1000;14,65;C;;ALUGADA;18408;51;Missing;13.5+
0;14000;7,9;A;2;ALUGADA;30000;24;0-15;0-8
1;8500;14,27;C;9;ALUGADA;50000;25;0-15;13.5+
0;4500;15,96;C;5;PRESTACAO;65000;28;0-15;13.5+
0;3000;7,51;A;18;PRESTACAO;65000;27;15-30;0-8
0;10000;9,91;B;4;PRESTACAO;120000;25;0-15;8-11
0;7200;15,27;C;4;ALUGADA;54990;25;0-15;13.5+
0;23000;7,9;A;2;PRESTACAO;137000;50;0-15;0-8
0;7000;8,9;A;1;ALUGADA;46000;34;0-15;8-11
0;21000;12,69;B;8;PRESTACAO;135000;24;0-15;11-13.5
0;8250;7,51;A;;PRESTACAO;31500;25;Missing;0-8
0;13000;;B;13;ALUGADA;65000;31;0-15;Missing
0;18000;6,62;A;2;PRESTACAO;78000;29;0-15;0-8
0;7200;6,03;A;5;PRESTACAO;60000;31;0-15;0-8
0;16500;8,9;A;11;ALUGADA;48000;22;0-15;8-11
0;8125;7,9;A;0;ALUGADA;25000;21;0-15;0-8
0;18800;7,51;A;3;PRESTACAO;82000;35;0-15;0-8
0;26800;;E;13;PRESTACAO;82000;42;0-15;Missing
0;19200;7,9;A;5;PRESTACAO;42000;24;0-15;0-8
0;4000;12,42;B;5;PRESTACAO;38000;23;0-15;11-13.5
0;4000;16,29;D;4;ALUGADA;35000;25;0-15;13.5+
0;12000;9,91;B;13;PROPRIA;33000;22;0-15;8-11
0;2625;11,71;B;11;PRESTACAO;52800;23;0-15;11-13.5
0;7000;9,91;B;17;ALUGADA;73882;39;15-30;8-11
0;11300;12,69;B;7;PRESTACAO;36000;23;0-15;11-13.5
0;4000;;B;19;PRESTACAO;130000;30;15-30;Missing
0;8000;6,03;A;24;PRESTACAO;57200;21;15-30;0-8
1;14400;;D;5;ALUGADA;51871;24;0-15;Missing
0;4375;12,42;B;2;PROPRIA;15000;28;0-15;11-13.5
0;4100;7,51;A;9;PRESTACAO;70197;32;0-15;0-8
0;6000;8,9;A;7;ALUGADA;47000;24;0-15;8-11
0;4000;;A;6;PRESTACAO;120000;44;0-15;Missing
1;3000;10,65;B;13;PRESTACAO;86004;25;0-15;8-11
0;5400;12,69;B;12;PRESTACAO;75000;23;0-15;11-13.5
1;15000;16,29;D;1;ALUGADA;110000;60;0-15;13.5+
0;10400;12,69;B;4;ALUGADA;44000;24;0-15;11-13.5
0;11500;12,42;B;0;ALUGADA;38500;27;0-15;11-13.5
0;10000;6,62;A;4;ALUGADA;75000;24;0-15;0-8
0;3600;8,9;A;11;ALUGADA;55000;25;0-15;8-11
1;10000;17,27;D;8;ALUGADA;68000;32;0-15;13.5+
0;15000;18,25;D;17;PRESTACAO;66000;24;15-30;13.5+
0;8000;11,71;B;8;ALUGADA;85000;28;0-15;11-13.5
1;16000;7,9;A;1;ALUGADA;51000;51;0-15;0-8
0;8000;10,65;B;2;ALUGADA;55000;23;0-15;8-11
0;7200;7,51;A;19;PRESTACAO;47000;41;15-30;0-8
0;12000;7,51;A;4;ALUGADA;86000;27;0-15;0-8
1;2200;15,27;C;11;PROPRIA;48000;24;0-15;13.5+
0;6000;7,51;A;2;PRESTACAO;50000;24;0-15;0-8
0;14400;;C;2;ALUGADA;42996;22;0-15;Missing
0;14050;8,9;A;3;PRESTACAO;120000;33;0-15;8-11
0;6000;13,49;C;17;PROPRIA;62691;38;15-30;11-13.5
0;10525;7,9;A;4;ALUGADA;49668;29;0-15;0-8
0;7200;15,96;C;2;ALUGADA;30000;31;0-15;13.5+
0;12000;13,49;C;14;PRESTACAO;40000;26;0-15;11-13.5
0;12000;;B;5;PRESTACAO;1e+05;39;0-15;Missing
0;3000;11,71;B;2;ALUGADA;56312;33;0-15;11-13.5
0;9500;16,29;D;10;ALUGADA;54011;26;0-15;13.5+
0;19775;12,42;B;2;ALUGADA;49110,32;30;0-15;11-13.5
0;30000;12,42;B;2;ALUGADA;80000;29;0-15;11-13.5
0;16000;;B;9;PRESTACAO;55000;30;0-15;Missing
0;14500;14,65;C;8;ALUGADA;90000;33;0-15;13.5+
0;4150;10,65;B;4;ALUGADA;1e+05;23;0-15;8-11
0;24000;16,77;D;6;ALUGADA;70000;53;0-15;13.5+
1;21250;12,42;B;5;ALUGADA;37000;22;0-15;11-13.5
0;10000;14,27;C;34;PROPRIA;75000;30;30-45;13.5+
0;4000;15,96;C;6;ALUGADA;39000;30;0-15;13.5+
0;15000;11,71;B;0;ALUGADA;60000;22;0-15;11-13.5
0;3600;15,96;C;3;ALUGADA;40000;23;0-15;13.5+
1;15000;15,27;C;11;ALUGADA;60000;23;0-15;13.5+
0;12375;7,51;A;6;ALUGADA;42000;26;0-15;0-8
1;4000;12,69;B;6;ALUGADA;30000;27;0-15;11-13.5
0;13000;10,65;B;16;PRESTACAO;50000;22;15-30;8-11
0;5000;6,62;A;1;PRESTACAO;39396;22;0-15;0-8
0;5000;15,96;C;7;PROPRIA;98000;31;0-15;13.5+
0;26000;11,71;B;16;ALUGADA;62500;23;15-30;11-13.5
0;8000;7,9;A;21;ALUGADA;32400;22;15-30;0-8
1;1700;;A;;PRESTACAO;37800;34;Missing;Missing
0;16000;9,91;B;11;ALUGADA;50000;35;0-15;8-11
1;12000;14,65;C;6;ALUGADA;54400;22;0-15;13.5+
0;7000;;B;7;PRESTACAO;72800;27;0-15;Missing
1;13000;16,29;D;14;ALUGADA;28000;26;0-15;13.5+
0;18000;13,49;C;8;PRESTACAO;96000;30;0-15;11-13.5
0;10000;16,29;D;3;ALUGADA;83200;22;0-15;13.5+
1;11200;12,42;B;3;ALUGADA;75000;30;0-15;11-13.5
0;7000;10,65;B;3;ALUGADA;52000;23;0-15;8-11
0;8000;6,03;A;6;ALUGADA;57600;41;0-15;0-8
0;12000;17,27;D;2;ALUGADA;95000;23;0-15;13.5+
0;22000;14,65;C;0;ALUGADA;58000;25;0-15;13.5+
0;6200;10,65;B;18;PRESTACAO;24000;36;15-30;8-11
0;15900;;B;9;PRESTACAO;58000;29;0-15;Missing
