Amount;First-Two
30506,40;30
3479,06;34
58685,04;58
2582,28;25
168,65;16
102,05;10
1041,84;10
7915,24;79
221,00;22
109,20;10
32240,53;32
1863,00;18
2245,76;22
68,00;68
5379,84;53
64,66;64
18090,92;18
118,48;11
10007,67;10
46,30;46
90,00;90
67,00;67
303,28;30
2,42;24
41546,54;41
5415,80;54
2105,30;21
1638,97;16
1028,02;10
135,00;13
58,65;58
180000,00;18
26862,16;26
8,25;82
39957,62;39
10598,40;10
34,95;34
446,32;44
600,00;60
712,94;71
582,32;58
401715,00;40
211,07;21
0,98;98
5,81;58
569888,00;56
300740,97;30
620,01;62
23301,95;23
1895656,25;18
8,76;87
106,21;10
388,80;38
147,76;14
13284,95;13
1,96;19
160,00;16
318,00;31
1,46;14
300,00;30
170,83;17
2789,19;27
458,58;45
465,00;46
5736,53;57
6098,75;60
650,00;65
495,79;49
2188,80;21
31,17;31
760,40;76
4500,00;45
40,00;40
1382,86;13
177827,03;17
114,33;11
89480,03;89
90,95;90
2436,66;24
88153,65;88
2,43;24
125,00;12
8777,00;87
410,00;41
81,25;81
6621,94;66
457,40;45
222,33;22
5000000,00;50
3202,16;32
14335,12;14
40,81;40
727,82;72
73,00;73
59334,26;59
14846,67;14
1678,80;16
10519,73;10
95,08;95
259,83;25
86,00;86
135,00;13
9192,00;91
224016,30;22
950,42;95
0,12;12
98061,59;98
31325,04;31
6048,00;60
28,75;28
262,06;26
130708,32;13
45,00;45
6863,00;68
443,23;44
74,40;74
235,62;23
38,15;38
20,51;20
130,83;13
718,30;71
200,00;20
100,92;10
471,45;47
6354,72;63
1714,50;17
34550,28;34
18000,00;18
15,63;15
7177,84;71
679,47;67
13,33;13
263953,84;26
2258,12;22
607,79;60
115,79;11
786033,06;78
6177,41;61
17,75;17
3140,48;31
140,00;14
1575,31;15
12700,37;12
1200,00;12
225000,00;22
41921,13;41
401,98;40
605,74;60
367,43;36
1144550,00;11
13,89;13
3294,48;32
22,48;22
2364463,00;23
113,06;11
25137,69;25
670,00;67
1169,82;11
9,00;90
503,87;50
61,36;61
420827,56;42
209,33;20
1221,35;12
166143696,00;16
5593,00;55
470,38;47
1236,89;12
1619,96;16
36293,87;36
114,22;11
192,39;19
95,35;95
230,46;23
162,00;16
726,36;72
97,20;97
382,50;38
84,55;84
400,00;40
0,04;40
457,78;45
1682,44;16
46345,46;46
73203,03;73
807,04;80
15153,55;15
1999993,00;19
15232,59;15
1,88;18
56,88;56
3454,00;34
145,66;14
1242,62;12
9452,66;94
162,00;16
697,78;69
208,33;20
3392,25;33
145,00;14
172,99;17
1125,00;11
3421,99;34
10279,84;10
500,00;50
77,94;77
3861,14;38
5410,00;54
2729,18;27
1000,00;10
1901,93;19
13453,20;13
35,96;35
825,00;82
4430,00;44
16223,76;16
1200,00;12
9899,88;98
7398,06;73
84,56;84
7551,54;75
180,77;18
164,30;16
56,35;56
195,00;19
194,56;19
799,26;79
1221,35;12
1163,00;11
59,43;59
62,00;62
721,08;72
331,34;33
159000,00;15
54,41;54
1786,53;17
900000,00;90
10895,86;10
1817,00;18
12896,13;12
6265,67;62
74,57;74
227651,55;22
1250,00;12
11000,00;11
50,00;50
1517,72;15
78,93;78
227,85;22
141410,63;14
15,69;15
737,26;73
741,26;74
360,00;36
2067,25;20
14,09;14
806,17;80
116,30;11
8102,88;81
1,67;16
10,00;10
7325,86;73
1,70;17
1252,31;12
263,19;26
74,25;74
19176,48;19
70,00;70
839,02;83
389,23;38
1017,00;10
20,00;20
5154,75;51
1578,13;15
502,00;50
3021,00;30
367,50;36
6,45;64
601,02;60
75,00;75
391,53;39
1497,15;14
2040,00;20
59,55;59
2678,82;26
6807,40;68
468,00;46
12,00;12
1958,11;19
35,00;35
1318,92;13
4736,18;47
18,04;18
0,03;30
138,71;13
212,11;21
1397,39;13
1228628,00;12
6,53;65
31,95;31
47,00;47
770,37;77
14965,56;14
5,48;54
267,52;26
300,00;30
15,31;15
1834,80;18
2200,00;22
49,90;49
116,56;11
339,18;33
363675,00;36
6,28;62
33,00;33
812,50;81
8401,39;84
4,49;44
1435,42;14
16853,76;16
1,39;13
2855,22;28
127,90;12
3295918,50;32
152,00;15
71436,75;71
6736,64;67
171,68;17
16843,94;16
594,99;59
0,01;10
21324,80;21
91,84;91
297366,19;29
1793,34;17
5036021,00;50
1013922,56;10
7832,74;78
550,13;55
389,00;38
6027885,50;60
334,41;33
59,55;59
3301,64;33
187,60;18
408,60;40
4696,38;46
15180,68;15
400,00;40
4755,60;47
160,00;16
6776,24;67
866,88;86
6251,40;62
5450,40;54
10804,32;10
8943,15;89
7891739,00;78
23,16;23
467,54;46
175,33;17
167,58;16
111,96;11
5911,77;59
1997,66;19
643,00;64
351,10;35
229,12;22
903,51;90
790,00;79
2773,56;27
0,08;80
363,49;36
20373,26;20
519,39;51
30,00;30
5785,92;57
1019,00;10
100,00;10
12,69;12
21336,00;21
8102,88;81
69737,44;69
1500000,00;15
4031,22;40
5779,21;57
4902,53;49
28370304,00;28
284,00;28
427,93;42
1807,92;18
43,87;43
180,00;18
126297,03;12
17437,41;17
40,00;40
123,84;12
26,50;26
92,96;92
85,20;85
0,01;10
788,50;78
44496,00;44
34,50;34
998,53;99
14404,16;14
518,81;51
108,20;10
891,70;89
206457,52;20
600,60;60
4,90;49
517,64;51
2947,62;29
6351,93;63
234,44;23
2338,52;23
32,56;32
1124,60;11
357650,00;35
82,24;82
420,00;42
30343,68;30
8002,68;80
129466,94;12
22,95;22
1994,00;19
4735,44;47
12,96;12
104,51;10
85,05;85
1211,77;12
5000,00;50
297,00;29
19880,00;19
4234,68;42
5,00;50
4062,50;40
3,52;35
197464,00;19
11276,82;11
97,84;97
71049,21;71
34011,10;34
1116,89;11
7,60;76
8102,88;81
443,23;44
69,98;69
4169,00;41
146,12;14
248,12;24
69,99;69
260,00;26
442,00;44
1920,74;19
2201,57;22
874,80;87
135385,59;13
979,16;97
959,27;95
61063,39;61
6018,77;60
32569,92;32
3074,84;30
11921,70;11
9,21;92
24,27;24
81,40;81
20202,00;20
2,18;21
310,14;31
459,00;45
1352,96;13
1025,61;10
115347,90;11
125,00;12
13881,95;13
35,96;35
326,68;32
226,12;22
582,50;58
330,94;33
54866,67;54
725,62;72
3821,98;38
13541,38;13
52,50;52
40,00;40
17148,04;17
505094,91;50
103,75;10
40,00;40
447,62;44
8998,56;89
210105,58;21
597,06;59
470,40;47
554,54;55
470745,00;47
38,37;38
47832,94;47
55,25;55
609,23;60
546,29;54
19042,71;19
2001,37;20
759,00;75
23,64;23
600,00;60
161,73;16
3568326,25;35
1632,24;16
775,95;77
9223,50;92
441,04;44
8149,55;81
1758,28;17
19,25;19
12437,60;12
2941,73;29
163,34;16
568,34;56
361817,09;36
387450,00;38
25,00;25
1105,00;11
7718,00;77
5,92;59
1156,50;11
573,37;57
2750000,00;27
262,69;26
2087,55;20
344,84;34
998,53;99
70161,34;70
317,70;31
410,53;41
8991,29;89
7492,28;74
150,00;15
2072,16;20
1620,00;16
6,36;63
12283,88;12
1114,59;11
36,85;36
675,00;67
213,00;21
1292,00;12
1049,73;10
8,67;86
167,50;16
75930,99;75
0,03;30
9755,36;97
3668,84;36
82,59;82
0,69;69
38,46;38
12,37;12
20322,81;20
15166,98;15
7,50;75
44,63;44
160125,38;16
900,00;90
1502,71;15
86,57;86
2988,28;29
32400,00;32
326,00;32
90,00;90
1,20;12
31,80;31
17,17;17
180,50;18
262985,75;26
128,00;12
6375,00;63
97,50;97
454,13;45
45,00;45
1770,70;17
61,22;61
3390,00;33
51,52;51
5489,05;54
1000,00;10
266,66;26
2448,41;24
135385,59;13
22,28;22
125,00;12
7225,20;72
162,00;16
526,50;52
13,00;13
1517,72;15
14475,84;14
513,86;51
46574,11;46
40,00;40
378,00;37
68,90;68
424,04;42
1737,29;17
450,00;45
118,97;11
7054,62;70
28,98;28
954,00;95
517,04;51
198,79;19
4,88;48
54,00;54
818,92;81
1,19;11
911,76;91
2868,95;28
4598,32;45
1252,82;12
30,13;30
1411,20;14
10,99;10
213,84;21
1179,73;11
35,00;35
900,00;90
3510,00;35
25,80;25
777,83;77
30240,92;30
7753,68;77
426,98;42
3,21;32
496,46;49
4973,55;49
5,00;50
45,00;45
11927,09;11
115,61;11
23,51;23
1812,50;18
619419,56;61
76964,62;76
203400,00;20
22877,78;22
17371,71;17
2087,92;20
21,00;21
35,60;35
21948,00;21
43750,15;43
772,46;77
78116,76;78
956893,44;95
185328,00;18
27,15;27
126,92;12
5,22;52
7316,42;73
208860,44;20
227,00;22
156,00;15
537,90;53
28861,56;28
65000,00;65
20,93;20
18434,08;18
20,00;20
10352,88;10
150,52;15
704,52;70
52003,61;52
107604,31;10
1459886,88;14
52787,55;52
1941,03;19
15252,62;15
712,60;71
6764,02;67
3696,48;36
234,00;23
5669,40;56
273,00;27
285,08;28
1903,30;19
3069,50;30
566,70;56
1300,00;13
6042832,00;60
13,45;13
6432,48;64
0,01;10
6812,50;68
21,85;21
115,24;11
56742,00;56
81296,25;81
736,27;73
2389,31;23
884,00;88
532,62;53
12,05;12
212,11;21
970,40;97
1522,84;15
7336,00;73
2041,72;20
14790,26;14
76,80;76
1150,54;11
140,52;14
74,97;74
39,04;39
99,68;99
3998,58;39
293,00;29
7,94;79
250,89;25
240,48;24
56,53;56
9925,84;99
6015,00;60
0,77;77
1037,19;10
365,98;36
324,00;32
13,63;13
25498,99;25
7992,02;79
104,81;10
398560,09;39
793,65;79
14,79;14
5036,82;50
416261,88;41
45000,00;45
9193,50;91
7919,28;79
1232943,63;12
42,93;42
0,05;50
131146,06;13
365,00;36
685,74;68
2195,43;21
7448,69;74
486,00;48
13270,50;13
0,15;15
14978,06;14
512,00;51
5,65;56
40,00;40
16450,56;16
168,26;16
75,96;75
214,00;21
6,00;60
400,00;40
448283,66;44
56,87;56
6919,20;69
625,50;62
303,00;30
160,00;16
124,74;12
37,68;37
125,73;12
0,47;47
324,00;32
680,99;68
3700,00;37
7171,01;71
66445,29;66
695,48;69
5,00;50
449,33;44
11090,88;11
10370,70;10
1450512,38;14
275,00;27
15640,90;15
56,53;56
140,34;14
89,70;89
15,50;15
35388,00;35
1498,57;14
15,25;15
4550,00;45
1469,70;14
127,47;12
90,00;90
42,87;42
1922,40;19
455,68;45
972,00;97
90,76;90
1112,76;11
88354,06;88
100,15;10
1381,50;13
10477,84;10
17,21;17
50000,00;50
539,67;53
102449,93;10
14215,97;14
50,85;50
74993,67;74
72,81;72
71,14;71
12,00;12
6201,00;62
423,44;42
917,80;91
76,74;76
997,12;99
59994,00;59
339,98;33
48125,00;48
710,00;71
61264,80;61
1368,00;13
29,61;29
6076,73;60
129182,92;12
4067,71;40
3541,03;35
1051,20;10
326,13;32
98,82;98
290,00;29
85,50;85
145990,70;14
250,00;25
24,43;24
792,00;79
2448,41;24
39,17;39
80,00;80
10000,00;10
1079,25;10
107,80;10
10,80;10
18000,00;18
745248,00;74
75,00;75
630,00;63
28,19;28
239,23;23
810040,00;81
833,67;83
4,99;49
3094,00;30
32103,00;32
262,53;26
14475,84;14
34,64;34
0,04;40
82,46;82
145,66;14
3309,18;33
9783,65;97
2005,98;20
775,69;77
457,27;45
1663,05;16
518,96;51
119,82;11
7562,23;75
6642,00;66
8831,07;88
240,00;24
16,00;16
1200,00;12
493,77;49
2990,95;29
460,10;46
219,00;21
1850,33;18
174,00;17
0,70;70
123,28;12
4500,00;45
11090,88;11
5076,00;50
3,40;34
388,80;38
49,99;49
1970,00;19
72,98;72
264124,16;26
8033,07;80
3590,51;35
2026,05;20
6,58;65
81,78;81
731,12;73
21,13;21
72548,71;72
2,30;23
24,00;24
84517,88;84
42,00;42
22,31;22
1267,50;12
1350,74;13
15371394,00;15
2769,86;27
282,32;28
400,00;40
3823,68;38
47,92;47
60,00;60
0,28;28
4153,57;41
27193,63;27
1,40;14
1770,38;17
2112,00;21
299154,84;29
13055,76;13
46800,00;46
4347,71;43
985,49;98
117,41;11
545337,81;54
7601,44;76
199,90;19
2039,13;20
1566,25;15
2732,30;27
68,21;68
259,20;25
14,95;14
89,14;89
605,36;60
41,94;41
3690,33;36
30,00;30
517,50;51
2357,80;23
2083,33;20
23391,99;23
1905,89;19
31311,00;31
8,46;84
851,58;85
70,00;70
700,00;70
3417,65;34
200,00;20
230,00;23
62,53;62
15,00;15
3517,11;35
27,00;27
74,36;74
15,71;15
113,21;11
138,43;13
1384,94;13
41,50;41
99,00;99
104,00;10
7681,85;76
6252,22;62
341,31;34
56,53;56
184151,81;18
19,47;19
69098,00;69
1773,16;17
38,00;38
14369,70;14
90,00;90
2,30;23
10,23;10
3279,79;32
747,20;74
884232,00;88
30005,80;30
3258,83;32
1924,75;19
35,29;35
35,00;35
10426,32;10
1813,73;18
12,00;12
30222,00;30
5,00;50
689,69;68
136916,00;13
72,00;72
4,50;45
34,86;34
135,00;13
233,10;23
740,03;74
13,28;13
13055,76;13
28418,18;28
6479,18;64
128,34;12
600,00;60
22,50;22
2054,08;20
1916,46;19
575,76;57
10,73;10
6044,63;60
78169,01;78
110,02;11
1753,92;17
159,57;15
392893,19;39
1455,53;14
1350,00;13
918,37;91
98,95;98
75,00;75
3037,50;30
99479,64;99
199560,09;19
3820,77;38
176,00;17
142,01;14
29161,49;29
12017,90;12
1562,23;15
217,61;21
439,16;43
108,33;10
48,83;48
1080,61;10
9,66;96
39,30;39
656120,25;65
851676,75;85
40,68;40
813,34;81
240,00;24
3050,05;30
485,00;48
60,24;60
8878,32;88
1113,14;11
132,14;13
13,91;13
125,00;12
14606,26;14
3247,20;32
168,72;16
73,36;73
6977,76;69
3821,98;38
1936,08;19
0,28;28
81,46;81
45,00;45
607,02;60
5822,89;58
688,64;68
39,84;39
75,60;75
316,00;31
12,64;12
65,66;65
17031,60;17
1611,20;16
3857,47;38
16,88;16
2448,41;24
160,00;16
1692,51;16
34512,19;34
0,64;64
40361,60;40
240,00;24
76,74;76
100,00;10
1113,49;11
800,57;80
219,03;21
13272,91;13
67386,00;67
1964,55;19
9084,78;90
241,89;24
200,00;20
13,52;13
148,40;14
211,39;21
1274387,63;12
78,81;78
480,75;48
2,43;24
249,26;24
5601,42;56
2232627,25;22
515,18;51
259462,17;25
1100,00;11
430141,88;43
5497,21;54
14806,86;14
50,00;50
12,44;12
102,32;10
55462,38;55
6,53;65
211,80;21
721,08;72
42,00;42
12,42;12
111,32;11
1400,00;14
145454,06;14
28753,92;28
23239,00;23
418,37;41
174707,59;17
574,54;57
31840,68;31
3558,24;35
171,70;17
8269176,00;82
259,75;25
2693,86;26
2219,24;22
993682,75;99
5076,00;50
82,04;82
10162,32;10
24,38;24
30506,40;30
8147,47;81
749,56;74
1798,66;17
2480,63;24
20,12;20
146,62;14
396,00;39
4393,86;43
1740,00;17
292,81;29
941,64;94
16372,22;16
0,28;28
8055,00;80
605,50;60
16888,98;16
41,62;41
4137,00;41
11950,00;11
0,01;10
8295,43;82
1600,37;16
63431,68;63
19,43;19
33,08;33
6,70;67
101992,52;10
23,58;23
311791,56;31
5250,43;52
512,42;51
614,93;61
900,00;90
463,50;46
140,03;14
13,50;13
355,00;35
89,02;89
59475,60;59
474073,59;47
802,04;80
2448,00;24
31205,25;31
36,86;36
220,00;22
115,09;11
74,37;74
54,64;54
328,41;32
5,00;50
2512,53;25
4679,38;46
278305,53;27
88,80;88
90,41;90
16316,75;16
632,61;63
757,66;75
13,20;13
47,72;47
84,68;84
164,43;16
275,70;27
444,67;44
27444,24;27
9000,00;90
337904,25;33
961,01;96
4208,11;42
6434452,50;64
16,95;16
10,80;10
17031,60;17
24,02;24
11,13;11
406,00;40
469,00;46
334,04;33
148,54;14
17336,73;17
1742,36;17
17886,26;17
20,83;20
524,88;52
30000,00;30
689,50;68
2993,07;29
1157,90;11
6155,00;61
62,30;62
10126,85;10
7404543,50;74
125,00;12
2606,22;26
80,00;80
291,60;29
11538,83;11
0,53;53
10175,91;10
296,39;29
47,21;47
59,19;59
55,99;55
16831,00;16
61929,00;61
1782,72;17
174,00;17
13,46;13
381,49;38
1,05;10
5061,56;50
10,00;10
1224,00;12
5919,87;59
1141878,75;11
4,78;47
16,83;16
14131,73;14
7649,85;76
517,35;51
2545,83;25
126,44;12
2747,31;27
31323,87;31
33750,00;33
4210,56;42
132215,56;13
100,00;10
150,00;15
1012,18;10
361,05;36
1589,76;15
1,46;14
143778,02;14
70,82;70
4553,89;45
10351,18;10
4,96;49
168,10;16
150,00;15
25924,50;25
192,86;19
3,00;30
53,42;53
43,87;43
59,61;59
39272,95;39
65,80;65
317,74;31
80,51;80
291182,63;29
146,41;14
807,31;80
120,00;12
2847,74;28
132,41;13
24,00;24
120143,11;12
5,81;58
1774,50;17
67,50;67
900,00;90
113,04;11
5526,89;55
100,00;10
12,24;12
1935,00;19
2172,77;21
4,22;42
7665,87;76
31,80;31
2362,79;23
1025,28;10
132570,30;13
748,22;74
25492,60;25
5,00;50
2866,49;28
44467,92;44
103,94;10
6,50;65
3,07;30
23,32;23
457,55;45
486,91;48
15,00;15
20560,32;20
2,58;25
6431,45;64
1208,07;12
162,25;16
535,70;53
1032,49;10
134,54;13
2403,63;24
3260,39;32
397,31;39
32704,70;32
1000,00;10
0,24;24
1213,49;12
6,75;67
1538,46;15
584,39;58
599,32;59
79,13;79
74,05;74
790,85;79
1442,72;14
2520,00;25
299,33;29
2464,51;24
18393,75;18
120,00;12
600,00;60
3850366,00;38
163894,94;16
1108,00;11
38645,91;38
83,31;83
5836,28;58
21302,40;21
2953,47;29
26708,57;26
1439,14;14
7859,26;78
474762,06;47
311,53;31
181,75;18
4073716,00;40
22168,35;22
1632,84;16
215,34;21
13960,14;13
27457,20;27
2468,04;24
113,06;11
45,18;45
60,00;60
331,89;33
5837,28;58
1,51;15
106498,69;10
2307,57;23
3254,58;32
4600000,00;46
12,00;12
129000,00;12
15847,92;15
2513,51;25
198,00;19
1112,76;11
59,46;59
1127,04;11
411,00;41
30,24;30
1491,84;14
104,19;10
1500,57;15
92632,59;92
114,48;11
1471,56;14
14,30;14
424,62;42
5,40;54
678,72;67
346,89;34
8566,44;85
1352,09;13
308,82;30
33736,03;33
9,52;95
372,84;37
28,89;28
238,65;23
22104,95;22
27,85;27
19348,53;19
3832,38;38
48614,02;48
625,29;62
1106,04;11
779,37;77
20150,57;20
7775,00;77
319,54;31
246,01;24
208,61;20
40,50;40
1109,57;11
52694,21;52
4759,20;47
61,78;61
250,00;25
1759668,50;17
85,53;85
1085,91;10
1574,73;15
84,99;84
120,00;12
69370,89;69
996,53;99
1470,24;14
168763,19;16
3329,25;33
535,20;53
180000,00;18
86402,30;86
40,50;40
115,24;11
16200,00;16
1508,72;15
2194,19;21
636,75;63
50378,84;50
356,07;35
17622,59;17
589,88;58
30240,92;30
171,96;17
440,00;44
402,58;40
80,00;80
73,89;73
180,00;18
154,80;15
456916,44;45
2042,79;20
22,68;22
3,46;34
100,00;10
1390,50;13
5980,34;59
24,00;24
9380,12;93
5,00;50
8543,30;85
392,44;39
107,58;10
7,00;70
682,92;68
427,50;42
19196,22;19
2275352,25;22
344,29;34
5,13;51
2495,58;24
10000,00;10
6578,46;65
1900,00;19
641,50;64
1353,61;13
306,10;30
382,00;38
3162225,50;31
15,00;15
22,20;22
203,56;20
11235,57;11
80,00;80
54,00;54
1073,30;10
202,50;20
4626,00;46
10,39;10
5693,75;56
14901,19;14
3082,77;30
1470,24;14
4647,50;46
476093,56;47
72,06;72
1250,00;12
3934,10;39
852,00;85
1904016,25;19
20060,65;20
459,40;45
15619011,00;15
55339,19;55
550,00;55
4044,06;40
88,12;88
18212,22;18
88388,90;88
120,00;12
969,26;96
158,00;15
677,93;67
7078,27;70
1,54;15
4862,63;48
31,80;31
305,40;30
25,65;25
205,43;20
31845,23;31
32,95;32
5981,49;59
33000,00;33
70,67;70
43,70;43
28751,32;28
3,46;34
213,41;21
156,25;15
151,79;15
16714,39;16
13,50;13
503,14;50
4973,42;49
3674,28;36
200,00;20
0,03;30
394,42;39
576,36;57
488150,63;48
2885,69;28
716,86;71
25,00;25
234,63;23
9,80;98
692,03;69
60,23;60
473,51;47
1206,00;12
73,57;73
24238,48;24
5199,77;51
1570,72;15
1372298,25;13
208840,34;20
880,65;88
128,75;12
409128,38;40
20758,64;20
479,00;47
151,88;15
9,20;92
866,12;86
7,22;72
500,25;50
579,17;57
100,00;10
367,00;36
500,00;50
331,60;33
7827,29;78
4711,90;47
11215,44;11
37306,93;37
67853,23;67
106,58;10
5155,47;51
689,68;68
14107,63;14
7718,18;77
34152,48;34
37,58;37
286,65;28
22500,00;22
10454,89;10
8665,20;86
15236,57;15
26259,52;26
2238,78;22
568,16;56
61,45;61
38,30;38
157,88;15
643,95;64
10598,40;10
113,74;11
3975,12;39
1088,88;10
3393,24;33
198,75;19
2041,72;20
2917,57;29
2204,16;22
149,67;14
6,74;67
1115,50;11
5310,29;53
25,65;25
0,39;39
181890,36;18
7515,36;75
4500,00;45
38,52;38
995,54;99
3248,80;32
43566,36;43
4466,84;44
5512,74;55
2464,61;24
3935,31;39
225,00;22
267,92;26
193913,50;19
21334,82;21
1408,19;14
80296,02;80
1340588,25;13
120,00;12
1296,72;12
15,00;15
7,92;79
392601,06;39
141,42;14
255,00;25
100,00;10
28312,50;28
24,30;24
32569,92;32
4,26;42
1973,10;19
4325,86;43
7109,28;71
18367,50;18
162,00;16
1230,74;12
617,08;61
25,00;25
99,16;99
0,01;10
80,46;80
33250,63;33
142,38;14
130,53;13
15,17;15
25,00;25
204,00;20
342,26;34
70,83;70
2752276,00;27
2,70;27
449,10;44
25,60;25
651,61;65
1700,00;17
8859,88;88
812,48;81
74363,65;74
5097,60;50
374,02;37
758,82;75
179,00;17
19,26;19
18542,94;18
1815,98;18
2462,50;24
80183,52;80
175,99;17
77,40;77
2262,72;22
0,05;50
42,40;42
31,23;31
1750,55;17
68,02;68
83,43;83
881,59;88
1267,31;12
1020,00;10
418729,03;41
587,34;58
4550,00;45
46,27;46
554,54;55
310,79;31
1500,00;15
4253,23;42
1906,97;19
82,87;82
1083,00;10
217,37;21
282,65;28
297,00;29
1667,59;16
651,92;65
247539,73;24
35,06;35
31,16;31
229,86;22
4900,00;49
300000,00;30
4176,27;41
30312,96;30
204,19;20
42,64;42
8,60;86
893,60;89
390,00;39
167,89;16
1195,38;11
530,04;53
1025,30;10
160,00;16
240,56;24
96,00;96
171,68;17
58986,51;58
2608,20;26
19,62;19
400,00;40
338,84;33
3,65;36
0,71;71
