"stmt_frq";"date_acct";"type_disp";"date_loan";"amount";"duration";"payments";"response";"date_birth";"gender";"type_card";"min1";"max1";"mean1";"min2";"max2";"mean2";"min3";"max3";"mean3";"min4";"max4";"mean4";"min5";"max5";"mean5";"min6";"max6";"mean6";"has_card"
"monthly";8439;"OWNER";8835;51696;24;2154;"1";35821;"F";"classic";20808,9;47716,8;40404;20808,9;47716,8;32375,8666666667;20808,9;123413;45650,2692307692;20808,9;123413;43764,9696969697;20808,9;123413;47269,4075;20808,9;123413;49139,2466666667;"1"
"monthly";8439;"OWNER";8609;127080;60;2118;"1";24259;"M";"0.NA";20272,8;47745,8;36233,0666666667;20272,8;49590,4;36262,0230769231;20272,8;49590,4;35160,9294117647;17258,6;49590,4;32854,4238095238;13510;49590,4;31333,1695652174;800;49590,4;30060,9541666667;"0"
"monthly";8441;"OWNER";8896;24312;12;2026;"1";31368;"F";"0.NA";28461,9;40615,9;35448,4;26383,1;40615,9;32732,725;22660,8;40615,9;32317,5388888889;20296,4;40615,9;30491,508;20296,4;40615,9;29172,6633333333;20296,4;48277,9;30285,7916666667;"0"
"monthly";8444;"OWNER";8592;165960;36;4610;"1";35997;"M";"0.NA";23795;55627,9;33113,7888888889;23795;98861,2;42652,1833333333;23795;120512,8;56036,575862069;23374,9;120512,8;56059,5588235294;700;120512,8;52083,8594594595;700;120512,8;52083,8594594595;"0"
"weekly";8445;"OWNER";8649;274740;60;4579;"1";3171;"M";"junior";40960,1;83659,1;49872,7571428571;40960,1;103091,9;53573,0846153846;40960,1;122893,1;60804,5470588235;40960,1;122893,1;62339,62;40960,1;122893,1;62124,8956521739;35844;122893,1;59364,6807692308;"1"
"monthly";8451;"OWNER";8969;143904;24;5996;"1";29684;"M";"0.NA";38336,2;78519,8;59393,9;38336,2;88393,5;67571,2111111111;32244,5;88393,5;58716,8444444444;17960,4;88393,5;53175,1166666667;17960,4;88393,5;51533,0465116279;17960,4;88393,5;50250,4211538462;"0"
"monthly";8457;"OWNER";8770;80952;24;3373;"1";27428;"M";"0.NA";16858,9;47212,9;29349,7555555556;16858,9;47212,9;30791,4866666667;16858,9;47212,9;29830,005;10508;47212,9;28510,425;10508;49138,9;28701,7823529412;10508;62325,5;31123,6857142857;"0"
"monthly";8457;"DISPONENT";8770;80952;24;3373;"1";25849;"F";"0.NA";16858,9;47212,9;29349,7555555556;16858,9;47212,9;30791,4866666667;16858,9;47212,9;29830,005;10508;47212,9;28510,425;10508;49138,9;28701,7823529412;10508;62325,5;31123,6857142857;"0"
"monthly";8457;"OWNER";8770;80952;24;3373;"1";27428;"M";"0.NA";21483,1;52009,6;34123,0555555556;21483,1;52009,6;34126,62;21156,8;52009,6;32479,265;11098,5;52009,6;30137,2678571429;11098,5;52009,6;29846,7205882353;11098,5;62125,5;31834,0780487805;"0"
"monthly";8457;"DISPONENT";8770;80952;24;3373;"1";25849;"F";"0.NA";21483,1;52009,6;34123,0555555556;21483,1;52009,6;34126,62;21156,8;52009,6;32479,265;11098,5;52009,6;30137,2678571429;11098,5;52009,6;29846,7205882353;11098,5;62125,5;31834,0780487805;"0"
"monthly";8458;"OWNER";8775;24516;12;2043;"1";32421;"M";"0.NA";35942,5;92784,5;68660,7;34595,4;92784,5;68359,8857142857;34595,4;99439;71925,3851851852;22466,5;99439;65559,2903225807;424,2;99439;58807,3666666667;424,2;115275,2;56628,9466666667;"0"
"weekly";8464;"OWNER";8855;212400;36;5900;"1";35360;"F";"0.NA";64221,1;104821,1;79173,3;27944,3;104821,1;72200,0230769231;27728;104821,1;59278,7761904762;22246,4;104821,1;57292,7291666667;22246,4;104821,1;51940,4066666667;22246,4;104821,1;55755,7540540541;"0"
"monthly";8467;"OWNER";8832;91632;12;7636;"1";33964;"F";"0.NA";33061,9;50542,2;41327,15;32528,8;50542,2;38147,66875;26515,8;59128;40211,0884615385;26515,8;59128;40308,7787878788;26515,8;59128;40199,9358974359;26515,8;59128;40388,1;"0"
"monthly";8467;"DISPONENT";8832;91632;12;7636;"1";33322;"M";"0.NA";33061,9;50542,2;41327,15;32528,8;50542,2;38147,66875;26515,8;59128;40211,0884615385;26515,8;59128;40308,7787878788;26515,8;59128;40199,9358974359;26515,8;59128;40388,1;"0"
"monthly";8471;"OWNER";9018;23628;12;1969;"1";30748;"M";"0.NA";34698,7;140228,7;90521,7333333333;18864,4;140228,7;73302,49;18864,4;140228,7;61428,4571428571;18864,4;140228,7;57245,3882352941;18864,4;140228,7;60056,1511627907;18864,4;140228,7;61022,8;"0"
"monthly";8472;"OWNER";9141;76416;24;3184;"1";24716;"M";"0.NA";12262,9;39057,7;26341,7888888889;10398,7;39057,7;24701,275;10398,7;39057,7;24195,0217391304;9255;39057,7;24083,253125;9255;40328,6;25091,0189189189;9255;41537,2;26630,7577777778;"0"
"monthly";8472;"DISPONENT";9141;76416;24;3184;"1";23698;"F";"0.NA";12262,9;39057,7;26341,7888888889;10398,7;39057,7;24701,275;10398,7;39057,7;24195,0217391304;9255;39057,7;24083,253125;9255;40328,6;25091,0189189189;9255;41537,2;26630,7577777778;"0"
"weekly";8474;"OWNER";8742;95400;36;2650;"1";405;"M";"0.NA";27562;29362;28072;27562;54687,8;38116,74;27562;86087,8;45949,5294117647;21747;86087,8;45621,704;16416,6;86087,8;41671,6482758621;4092,6;90069,6;38904,3945945946;"0"
"monthly";8477;"OWNER";8839;55368;24;2307;"1";25560;"F";"0.NA";2235,7;12414,4;4398,7;2235,7;27713,3;14629,4;2235,7;44801,2;19824,4115384615;2235,7;87037,8;30734,8473684211;2235,7;87037,8;33699,2652173913;2235,7;87037,8;34659,3981818182;"0"
"weekly";8478;"OWNER";8735;464520;60;7742;"0";25903;"F";"0.NA";17585,6;121600,3;66038,6666666667;12514,7;121600,3;51289,0894736842;12514,7;121600,3;43871,4461538462;12514,7;121600,3;44992,9625;12514,7;121600,3;44289,6135135135;12514,7;121600,3;47970,966;"0"
"monthly";8478;"OWNER";8928;69360;48;1445;"1";26141;"M";"0.NA";33920;52365;37772,3875;33920;52365;38411,6571428571;33781,2;52365;38403;26337,9;52365;36826,0125;15182,9;52365;32288,7342857143;15182,9;52365;34420,8704545455;"0"
"monthly";8479;"OWNER";8951;111384;24;4641;"1";35469;"M";"0.NA";20377,5;52318,9;29725,7571428571;20377,5;86517,1;50144,06;20377,5;129098,8;63160,3785714286;20377,5;129098,8;58251,6742857143;20377,5;129098,8;58868,8520833333;20377,5;129098,8;56422,2564516129;"0"
"monthly";8481;"OWNER";8933;174744;24;7281;"0";3246;"F";"junior";-1369,2;9842,8;6066,57142857143;-1369,2;10721,1;6336,58461538462;-1369,2;11398,6;6594,56;-1369,2;11398,6;6804,38518518519;-1369,2;19117,6;8101,11764705882;-1369,2;50541,4;10787,8837209302;"1"
"weekly";8481;"OWNER";8586;96396;12;8033;"0";28326;"F";"0.NA";20100;20100;20100;16800;20100;18450;11000;20100;15966,6666666667;1100;20100;12250;1100;20100;12250;1100;20100;12250;"0"
"monthly";8483;"OWNER";9002;224604;36;6239;"1";2335;"M";"junior";37856,4;75291,4;52947,5;15574,1;75291,4;42758,1909090909;15574,1;109178,4;50128,2318181818;15574,1;109178,4;52910,3962962963;15574,1;109178,4;54065,478125;15574,1;109178,4;55631,9236842105;"1"
"monthly";8483;"DISPONENT";9002;224604;36;6239;"1";3511;"F";"0.NA";37856,4;75291,4;52947,5;15574,1;75291,4;42758,1909090909;15574,1;109178,4;50128,2318181818;15574,1;109178,4;52910,3962962963;15574,1;109178,4;54065,478125;15574,1;109178,4;55631,9236842105;"0"
"monthly";8483;"OWNER";9166;316140;60;5269;"0";35846;"M";"0.NA";10378,6;23679,6;15344,7818181818;10378,6;27506,8;17291,9647058824;10378,6;27506,8;18521,6583333333;10378,6;30314,3;19699,0709677419;10378,6;32042,9;20550,9189189189;10378,6;32042,9;20211,1804878049;"0"
"weekly";8486;"OWNER";8982;120888;36;3358;"1";27138;"F";"0.NA";25638,4;63114,4;35575,8285714286;25638,4;63114,4;39967,0615384615;20849,5;63114,4;35122,5105263158;20849,5;63114,4;33737,6217391304;18541,3;63114,4;33870,3482758621;18541,3;63114,4;32348,7722222222;"0"
"monthly";8487;"OWNER";8854;7656;24;319;"1";33848;"F";"0.NA";36353,1;62281,1;47851,0555555556;32830,9;62281,1;44233,9;32748,6;64796,6;46095,0103448276;32748,6;73069,1;47850,0675675676;32748,6;73069,1;48022,9488888889;32748,6;73069,1;48890,4551020408;"0"
"monthly";8487;"DISPONENT";8854;7656;24;319;"1";32664;"M";"0.NA";36353,1;62281,1;47851,0555555556;32830,9;62281,1;44233,9;32748,6;64796,6;46095,0103448276;32748,6;73069,1;47850,0675675676;32748,6;73069,1;48022,9488888889;32748,6;73069,1;48890,4551020408;"0"
"monthly";8488;"OWNER";9119;36684;12;3057;"1";3187;"F";"0.NA";22241;40793;30704,975;22241;41571,6;32040,2307692308;22241;41571,6;31815,4631578947;22241;41571,6;31272,2769230769;17154,8;41571,6;30113,33125;16782,2;41571,6;28511,1948717949;"0"
"monthly";8489;"OWNER";9146;347952;48;7249;"1";34636;"F";"0.NA";50294,5;70860,9;63920,9666666667;32155,5;80330,4;56491,5071428571;32155,5;87545;62784,8315789474;32155,5;87545;59307,7625;32155,5;90681,9;63586,5733333333;32155,5;123013,2;70333,1435897436;"0"
"monthly";8492;"OWNER";8988;74688;12;6224;"1";27419;"F";"0.NA";28933,3;73915,8;48704,1875;28933,3;81120,2;52226,13125;25101,2;81120,2;48359,6095238095;11374,1;81120,2;42818,8233333333;11374,1;81120,2;41542,4052631579;11374,1;81120,2;41004,0404255319;"0"
"monthly";8492;"DISPONENT";8988;74688;12;6224;"1";29234;"M";"0.NA";28933,3;73915,8;48704,1875;28933,3;81120,2;52226,13125;25101,2;81120,2;48359,6095238095;11374,1;81120,2;42818,8233333333;11374,1;81120,2;41542,4052631579;11374,1;81120,2;41004,0404255319;"0"
"monthly";8502;"OWNER";8894;89040;60;1484;"1";24;"F";"0.NA";19344,5;30120,4;27034,1285714286;19194,6;30120,4;25717,4133333333;16890,3;30120,4;25425,6227272727;16890,3;30120,4;25016,2818181818;16890,3;37958,9;26844,5785714286;16890,3;37958,9;27406,832;"0"
"monthly";8502;"DISPONENT";8894;89040;60;1484;"1";2511;"M";"0.NA";19344,5;30120,4;27034,1285714286;19194,6;30120,4;25717,4133333333;16890,3;30120,4;25425,6227272727;16890,3;30120,4;25016,2818181818;16890,3;37958,9;26844,5785714286;16890,3;37958,9;27406,832;"0"
"monthly";8504;"OWNER";8667;174744;24;7281;"0";28713;"F";"0.NA";16865,9;58140,9;26301,0428571429;9303,1;58140,9;22475,6166666667;9239,8;58140,9;21443,4105263158;9239,8;105628;34778,1925925926;9239,8;105628;37146,0896551724;1000;105628;37485,45625;"0"
"after_tr";8504;"OWNER";8743;47016;12;3918;"1";32141;"F";"0.NA";53304,4;83884,2;69323,6;38623,5;101285,4;70948,9117647059;37588,5;101285,4;69064,5869565217;37588,5;101285,4;69046,1066666667;37588,5;112901,6;68570,3138888889;25441,9;112901,6;66303,2710526316;"0"
"weekly";8507;"OWNER";9120;115992;36;3222;"1";24608;"M";"classic";9669,5;79478,4;43773,9363636364;9669,5;79478,4;41758,3421052632;9669,5;79478,4;35015,8730769231;9669,5;79478,4;31392,540625;9669,5;79478,4;28813,0447368421;2188,5;79478,4;26256,425;"1"
"monthly";8509;"OWNER";8911;63312;48;1319;"1";31538;"F";"0.NA";23958,5;28553,5;27071,1571428571;21674,1;28553,5;26021,8142857143;17502,8;28553,5;24357,7904761905;12051,5;28553,5;22405,4178571429;12051,5;28553,5;21434,869047619;12051,5;28553,5;21872,43;"0"
"weekly";8510;"OWNER";8686;154416;48;3217;"1";-221;"F";"0.NA";20149,5;56032,7;42201,95;20149,5;56032,7;41656,6833333333;20149,5;70023,8;44006,8176470588;20149,5;81723,5;51321,575;20149,5;81723,5;50824,8814814815;8897;81723,5;46715,8;"0"
"monthly";8511;"OWNER";8803;149040;48;3105;"1";36148;"F";"0.NA";18921,5;48818,5;30515,1;18921,5;55235,9;34297,4647058824;18921,5;55235,9;34261,94;18921,5;55235,9;34655,9484848485;18921,5;62441,6;37215,1073170732;18921,5;62441,6;37517,8093023256;"0"
"monthly";8512;"OWNER";9040;11736;24;489;"1";25095;"M";"0.NA";26984,4;53212;35437,28;26984,4;53212;36686,2842105263;26984,4;54257,4;37589,6814814815;26984,4;69596;39817,5081081081;26984,4;69596;40394,0711111111;26984,4;69596;40697,4692307692;"0"
"monthly";8518;"OWNER";9004;121896;24;5079;"1";34764;"M";"0.NA";22951,2;57417,2;35600,52;22951,2;115624,4;55509,88;22951,2;133454,9;64089,5269230769;22951,2;133454,9;62885,5314285714;22951,2;133454,9;60257,3976190476;22951,2;133454,9;59112,4770833333;"0"
"monthly";8519;"OWNER";8823;300660;60;5011;"1";29226;"M";"0.NA";16681,9;57376,9;36124,475;15892,3;57376,9;29032,9111111111;7691;57376,9;26740,6296296296;7691;135175,2;40552,2051282051;7691;135175,2;48890,916;7691;135175,2;49881,5111111111;"0"
"monthly";8526;"OWNER";8861;167100;60;2785;"1";16;"F";"classic";24664;51624,8;41063,0333333333;24664;76356,6;50800,9666666667;20795,2;119610,2;52862,92;20795,2;119610,2;53142,746875;20795,2;119610,2;52383,9447368421;20795,2;119610,2;53840,4790697674;"1"
"monthly";8526;"DISPONENT";8861;167100;60;2785;"1";1248;"M";"0.NA";24664;51624,8;41063,0333333333;24664;76356,6;50800,9666666667;20795,2;119610,2;52862,92;20795,2;119610,2;53142,746875;20795,2;119610,2;52383,9447368421;20795,2;119610,2;53840,4790697674;"0"
"monthly";8528;"OWNER";9010;82896;12;6908;"1";766;"M";"classic";48086;90094,8;74499,22;48086;90094,8;74164,2888888889;43294,6;90094,8;73764,4148148148;25847,1;90094,8;66372,1972222222;14782,2;90094,8;60172,6041666667;14782,2;90094,8;57353,3620689655;"1"
"monthly";8528;"DISPONENT";9010;82896;12;6908;"1";1947;"F";"0.NA";48086;90094,8;74499,22;48086;90094,8;74164,2888888889;43294,6;90094,8;73764,4148148148;25847,1;90094,8;66372,1972222222;14782,2;90094,8;60172,6041666667;14782,2;90094,8;57353,3620689655;"0"
"monthly";8529;"OWNER";8802;78936;12;6578;"1";31798;"F";"0.NA";23686;32286;26064,075;16161,1;32286;25579,9666666667;16007,1;32286;24061,3217391304;16007,1;33068,3;24358,0433333333;16007,1;40560,3;26202,35;16007,1;40560,3;26970,3219512195;"0"
"weekly";8530;"OWNER";8785;253200;60;4220;"1";29291;"F";"0.NA";15163,6;81150,6;40843,35;15124,2;81150,6;32665,4166666667;15124,2;81150,6;31870,0888888889;15124,2;81150,6;39878,4666666667;15124,2;81934;43182,8;15124,2;81934;43804,6875;"0"
"monthly";8531;"OWNER";8970;208128;48;4336;"0";29802;"M";"classic";42545,6;81474,6;54890,8571428571;27105,2;81474,6;47276,62;27105,2;81474,6;44496,2133333333;8846,6;81474,6;37618,1157894737;-1069,7;81474,6;31546,9565217391;-1069,7;81474,6;29752,9310344828;"1"
"monthly";8532;"OWNER";8656;87840;24;3660;"1";3698;"F";"0.NA";43847,8;65847,8;60175,525;43469,9;65847,8;59150,7428571429;42707;65847,8;57919,4818181818;22510,3;65847,8;50963,76;500;65847,8;46318,5529411765;500;65847,8;46318,5529411765;"0"
"monthly";8532;"DISPONENT";8656;87840;24;3660;"1";5770;"M";"0.NA";43847,8;65847,8;60175,525;43469,9;65847,8;59150,7428571429;42707;65847,8;57919,4818181818;22510,3;65847,8;50963,76;500;65847,8;46318,5529411765;500;65847,8;46318,5529411765;"0"
"monthly";8540;"OWNER";8796;108144;36;3004;"1";34099;"F";"0.NA";21421,3;25421,3;22558,78;21421,3;43111,1;27833,4090909091;21421,3;77089,9;36046,625;21421,3;106106,7;50373,1;21421,3;106106,7;46367,6529411765;21421,3;106106,7;46914,2;"0"
"monthly";8540;"DISPONENT";8796;108144;36;3004;"1";31889;"M";"0.NA";21421,3;25421,3;22558,78;21421,3;43111,1;27833,4090909091;21421,3;77089,9;36046,625;21421,3;106106,7;50373,1;21421,3;106106,7;46367,6529411765;21421,3;106106,7;46914,2;"0"
"monthly";8540;"OWNER";9231;104712;24;4363;"1";27374;"M";"0.NA";21801,2;25947,2;24983,78;18777,2;39407,5;25948,5636363636;18723,2;39407,5;25018,6117647059;18723,2;127658,5;46823,8275862069;18723,2;127658,5;49420,4763157895;18723,2;127658,5;47004,8886363636;"0"
"monthly";8540;"OWNER";9233;126600;24;5275;"1";25259;"M";"0.NA";37904,7;69720,6;46501,14;37061,7;69720,6;49445,5909090909;17875,8;69720,6;43536,94375;17875,8;69720,6;43632,3625;17875,8;74692,2;43471,259375;17875,8;74692,2;42613,4342105263;"0"
"weekly";8541;"OWNER";8862;149340;60;2489;"1";33999;"M";"0.NA";23475,9;34729,9;25860,7;19743,4;34729,9;24165,6153846154;10014,4;34729,9;22474,5727272727;10014,4;53214;25404,7266666667;10014,4;53214;26990,9944444444;10014,4;53214;28526,588372093;"0"
"monthly";8543;"OWNER";9210;15420;12;1285;"1";34853;"F";"0.NA";23013,2;32667,2;29417,2857142857;11341,9;32667,2;23569,5882352941;11341,9;32667,2;24787,4296296296;11341,9;32667,2;24818,4914285714;11341,9;32667,2;24998,9209302326;11341,9;34972,2;25811,0156862745;"0"
"weekly";8549;"OWNER";8974;131292;36;3647;"1";30759;"M";"0.NA";20291,3;42173,3;28080,1571428571;19705,6;52528,6;28960,26;19705,6;52528,6;31814,5571428571;19705,6;52528,6;31839,0111111111;19705,6;52528,6;32522,2411764706;17896,6;52528,6;31719,695;"0"
"monthly";8550;"OWNER";9120;31248;12;2604;"1";25275;"F";"0.NA";22786,3;53922,3;40312,7875;22786,3;66092,2;47297,88125;22786,3;66092,2;48562,2476190476;22786,3;132770,7;61441,075862069;22786,3;132770,7;63982,8382352941;22786,3;144715,3;72247,3395833333;"0"
"monthly";8553;"OWNER";9041;192744;36;5354;"1";627;"F";"classic";24684,6;51118,6;34643,2;24294,1;60718,6;34636,1636363636;24294,1;60718,6;33695,68;24294,1;60718,6;33878,24;24294,1;60718,6;35579,864;19632,4;60718,6;33718,6484848485;"1"
"monthly";8553;"DISPONENT";9041;192744;36;5354;"1";3443;"M";"0.NA";24684,6;51118,6;34643,2;24294,1;60718,6;34636,1636363636;24294,1;60718,6;33695,68;24294,1;60718,6;33878,24;24294,1;60718,6;35579,864;19632,4;60718,6;33718,6484848485;"0"
"monthly";8556;"OWNER";8920;300204;36;8339;"1";34405;"M";"0.NA";33611,7;41111,7;35283,06;16770,7;41111,7;31557,6538461538;16770,7;44955,3;32240,64;13241,5;44955,3;30730,5;13241,5;44955,3;28568,3555555556;13241,5;52625,8;30493,48;"0"
"monthly";8557;"OWNER";8976;299088;36;8308;"0";35407;"F";"0.NA";5250,5;19448,5;10385,1;5250,5;57629,1;21605,34;5250,5;57629,1;26920,3857142857;5250,5;94205,6;38337,6793103448;5250,5;94205,6;44026,8384615385;5250,5;94205,6;43887,1470588235;"0"
"monthly";8558;"OWNER";9034;87816;12;7318;"1";33359;"M";"0.NA";15665,6;29990,6;21636,1428571429;15597,8;32982,8;21862,8714285714;15597,8;32982,8;22691,89;15597,8;37564,6;23165,0592592593;15597,8;37564,6;23643,9176470588;15597,8;38042,2;24373,0780487805;"0"
"monthly";8558;"DISPONENT";9034;87816;12;7318;"1";35208;"F";"0.NA";15665,6;29990,6;21636,1428571429;15597,8;32982,8;21862,8714285714;15597,8;32982,8;22691,89;15597,8;37564,6;23165,0592592593;15597,8;37564,6;23643,9176470588;15597,8;38042,2;24373,0780487805;"0"
"monthly";8559;"OWNER";9205;99696;48;2077;"0";540;"F";"0.NA";-974,6;44781,8;35988,875;-974,6;44781,8;27358,4736842105;-974,6;44781,8;26802,4076923077;-974,6;59744,2;30265,078125;-974,6;59744,2;27461,6540540541;-974,6;107094,5;30354,702173913;"0"
"monthly";8561;"OWNER";8757;75624;24;3151;"0";32482;"M";"0.NA";41954,8;89754,8;57562;41755,6;89754,8;55565,4444444444;36309,2;89754,8;55333,05;35990,4;89754,8;53648,3857142857;35990,4;89754,8;56209,4176470588;26688,1;89754,8;53311,6619047619;"0"
"weekly";8562;"OWNER";9103;205200;36;5700;"1";33992;"F";"0.NA";54586;84391,2;70103,625;50189,2;84391,2;68148,5466666667;44012,9;84391,2;66783,4083333333;44012,9;84391,2;66756,978125;44012,9;90939,8;67453,7707317073;44012,9;93928,5;69137,3775510204;"0"
"monthly";8567;"OWNER";8980;189300;60;3155;"1";30654;"M";"classic";24385,7;31913,7;26882,1875;12805,3;57893,3;28918,9705882353;12805,3;57893,3;31853,8;12805,3;57893,3;32754,8303030303;12805,3;57893,3;32205,530952381;12805,3;57893,3;30556,35;"1"
"monthly";8569;"OWNER";8902;272520;60;4542;"1";25446;"M";"0.NA";28709,9;58844,9;35524,6571428571;28709,9;58844,9;39574,3666666667;26239,8;74180,8;42060,2421052632;21342,8;74180,8;37846,648;21342,8;74180,8;39015,3470588235;21342,8;103669,2;44563,5090909091;"0"
"monthly";8569;"DISPONENT";8902;272520;60;4542;"1";26163;"F";"0.NA";28709,9;58844,9;35524,6571428571;28709,9;58844,9;39574,3666666667;26239,8;74180,8;42060,2421052632;21342,8;74180,8;37846,648;21342,8;74180,8;39015,3470588235;21342,8;103669,2;44563,5090909091;"0"
"monthly";8571;"OWNER";8708;117024;24;4876;"1";24016;"M";"classic";52985,2;76985,2;61054,6333333333;47548,6;76985,2;58065,2166666667;40555,1;76985,2;54099,4555555556;27955;76985,2;47742,1;800;76985,2;44131,1692307692;800;76985,2;44131,1692307692;"1"
"monthly";8572;"OWNER";8987;323472;48;6739;"1";25855;"F";"classic";38864,4;99294,4;66539;18707,2;99294,4;52961,325;18707,2;99294,4;49027,9958333333;7618;99294,4;42060,0967741935;7618;99294,4;40705,125;7618;99294,4;44600,6166666667;"1"
"after_tr";8574;"OWNER";8957;173808;24;7242;"1";31803;"F";"0.NA";44750,9;94431,9;66490,6333333333;44750,9;129915,3;72131,8866666667;44750,9;129915,3;69110,3;44750,9;129915,3;67472,3230769231;44346,5;129915,3;65913,525;24365,5;129915,3;59712,3761904762;"0"
"after_tr";8574;"DISPONENT";8957;173808;24;7242;"1";29283;"M";"0.NA";44750,9;94431,9;66490,6333333333;44750,9;129915,3;72131,8866666667;44750,9;129915,3;69110,3;44750,9;129915,3;67472,3230769231;44346,5;129915,3;65913,525;24365,5;129915,3;59712,3761904762;"0"
"monthly";8577;"OWNER";8976;74736;36;2076;"1";35000;"M";"classic";24731,7;45343,7;34768,1333333333;24731,7;56071,9;35224,8230769231;24393,9;56071,9;35171,5666666667;24393,9;56071,9;35200,5583333333;24393,9;56071,9;35992,7533333333;24393,9;56071,9;36658,841025641;"1"
"monthly";8579;"OWNER";8750;38148;12;3179;"1";34720;"F";"0.NA";24134,8;56840,8;36175,6555555556;24134,8;62324,6;40581,2133333333;24134,8;62324,6;41406,252631579;24134,8;62324,6;40996,4086956522;24134,8;62324,6;39362,8407407407;900;62324,6;37462,0931034483;"0"
"monthly";8582;"OWNER";8981;14628;12;1219;"1";28921;"F";"classic";28439,6;43926,6;36099,3777777778;25196,8;48427,3;36896,0578947368;24236,9;48427,3;35422,6461538462;23879,9;48427,3;34352,6222222222;21827,1;48427,3;33360,2733333333;14203,6;48427,3;31760,1890909091;"1"
