Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
 80.5,8,Arizona,11,42,47,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 73.5,4,Arizona,11,48,52,,Mar 15,,,,,,,,Emerson Coll.-4
 71.0,7,Arizona,11,43,48,,Mar 14,,,,,,,,Morning Consult-7
 69.0,5,Arizona,11,45,49,,Mar 11,,,,,,,,Beacon + Shaw for Fox-5
 48.5,4,Arizona,11,43,46,,Feb 19,,,,,,,,Emerson Coll.-4
 47.0,9,Arizona,11,43,49,,Feb 20,,,,,,,,Morning Consult-9
 18.0,5,Arizona,11,44,47,,Jan 20,,,,,,,,Morning Consult-5
249.5,2,Arkansas,6,40,55,,Sep 06,,,,,,,,Hendrix Coll.-2
108.0,9,Arkansas,6,42,48,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Arkansas,6,25,61,,Mar 03,,,,,,,,Florida Atlantic U.-4
287.0,3,California,54,61,37,,Oct 14,,,,,,,,Emerson Coll.-3
285.0,9,California,54,59,33,,Oct 15,,,,,,,,Public Policy Inst. of Calif.-9
271.0,7,California,54,57,35,,Sep 30,,,,,,,,U. of Cal. Berkeley-7
262.5,14,California,54,58,36,,Sep 25,,,,,,,,USC-14
248.0,3,California,54,60,36,,Sep 05,,,,,,,,Emerson Coll.-3
247.5,12,California,54,60,29,,Sep 09,,,,,,,,Public Policy Inst. of Calif.-12
228.0,1,California,54,57,37,,Aug 15,,,,,,,,Capitol Weekly-1
223.5,18,California,54,65,35,,Aug 19,,,,,,,,Activote-18
218.5,12,California,54,59,34,,Aug 11,,,,,,,,U. of Cal. Berkeley-12
180.0,9,California,54,55,30,,Jul 02,,,,,,,,Public Policy Inst. of Calif.-9
164.0,5,California,54,54,33,,Jun 14,,,,,,,,SurveyUSA-5
149.0,11,California,54,55,31,,Jun 02,,,,,,,,Public Policy Inst. of Calif.-11
108.0,9,California,54,56,38,,Apr 21,,,,,,,,Zogby-9
 82.0,7,California,54,54,31,,Mar 25,,,,,,,,Public Policy Inst. of Calif.-7
 61.5,4,California,54,56,37,,Mar 03,,,,,,,,Florida Atlantic U.-4
 56.0,3,California,54,55,32,,Feb 26,,,,,,,,Emerson Coll.-3
 55.5,6,California,54,52,34,,Feb 27,,,,,,,,U. of Cal. Berkeley-6
 40.5,8,California,54,55,32,,Feb 13,,,,,,,,Public Policy Inst. of Calif.-8
257.5,10,Colorado,10,53,42,,Sep 18,,,,,,,,Morning Consult-10
247.5,10,Colorado,10,55,40,,Sep 08,,,,,,,,Morning Consult-10
108.0,9,Colorado,10,49,43,,Apr 21,,,,,,,,Zogby-9
 77.0,5,Colorado,10,49,39,,Mar 19,,,,,,,,Colorado Polling Inst.-5
 61.5,4,Colorado,10,48,44,,Mar 03,,,,,,,,Florida Atlantic U.-4
 25.5,6,Colorado,10,41,35,,Jan 28,,,,,,,,Emerson Coll.-6
259.0,7,Connecticut,7,53,37,,Sep 18,,,,,,,,MassINC-7
108.0,9,Connecticut,7,55,38,,Apr 21,,,,,,,,Zogby-9
  1.0,1,D.C.,3,93,6,,Jan 01,,,,,,,,Election 2020-1
259.0,9,Delaware,3,56,36,,Sep 19,,,,,,,,U. of Delaware-9
108.0,9,Delaware,3,51,40,,Apr 21,,,,,,,,Zogby-9
293.0,3,Florida,30,46,54,,Oct 20,,,,,,,,Emerson Coll.-3
286.5,12,Florida,30,43,53,,Oct 18,,,,,,,,U. of North Florida-12
279.0,5,Florida,30,47,51,,Oct 07,,,,,,,,Marist Coll.-5
276.5,4,Florida,30,43,49,,Oct 04,,,,,,,,Mason Dixon-4
276.5,8,Florida,30,41,55,,Oct 06,,,,,,,,Siena Coll.-8
269.5,2,Florida,30,46,50,,Sep 26,,,,,,,,PPP-2
257.5,10,Florida,30,47,50,,Sep 18,,,,,,,,Morning Consult-10
248.0,3,Florida,30,45,50,,Sep 05,,,,,,,,Emerson Coll.-3
247.5,10,Florida,30,47,49,,Sep 08,,,,,,,,Morning Consult-10
236.5,16,Florida,30,47,53,,Aug 31,,,,,,,,Activote-16
234.5,2,Florida,30,47,51,,Aug 22,,,,,,,,PPP-2
223.5,2,Florida,30,47,50,,Aug 11,,,,,,,,Florida Atlantic U.-2
223.0,11,Florida,30,46,54,,Aug 15,,,,,,,,Activote-11
222.0,5,Florida,30,42,47,,Aug 11,,,,,,,,Suffolk U.-5
207.5,4,Florida,30,42,49,,Jul 27,,,,,,,,U. of North Florida-4
197.5,2,Florida,30,44,50,,Jul 16,,,,,,,,Insider Advantage-2
160.5,2,Florida,30,43,49,,Jun 09,,,,,,,,Florida Atlantic U.-2
154.5,4,Florida,30,46,50,,Jun 04,,,,,,,,Beacon + Shaw for Fox-4
134.0,7,Florida,30,45,54,,May 16,,,,,,,,YouGov-7
108.0,9,Florida,30,42,51,,Apr 21,,,,,,,,Zogby-9
107.0,3,Florida,30,42,50,,Apr 17,,,,,,,,Florida Atlantic U.-3
100.5,2,Florida,30,38,51,,Apr 10,,,,,,,,Emerson Coll.-2
 97.0,3,Florida,30,31,39,,Apr 07,,,,,,,,Ipsos-3
 72.0,3,Florida,30,42,48,,Mar 13,,,,,,,,St. Pete Polls-3
293.5,6,Georgia,16,49,49,,Oct 22,,,,,,,,Marist Coll.-6
292.0,5,Georgia,16,48,50,,Oct 20,,,,,,,,Morning Consult-5
286.0,5,Georgia,16,46,52,,Oct 14,,,,,,,,Quinnipiac U.-5
285.5,6,Georgia,16,46,49,,Oct 14,,,,,,,,East Carolina U.-6
284.5,10,Georgia,16,43,47,,Oct 15,,,,,,,,U. of Georgia-10
284.5,10,Georgia,16,48,49,,Oct 15,,,,,,,,Morning Consult-10
280.5,4,Georgia,16,50,50,,Oct 08,,,,,,,,Emerson Coll.-4
280.5,16,Georgia,16,51,47,,Oct 14,,,,,,,,George Mason U.-16
277.0,11,Georgia,16,48,46,,Oct 08,,,,,,,,Fabrizio + GBAO-11
271.0,5,Georgia,16,45,50,,Sep 29,,,,,,,,Quinnipiac U.-5
270.0,7,Georgia,16,47,47,,Sep 29,,,,,,,,GSG + NSOR-7
266.0,5,Georgia,16,49,51,,Sep 24,,,,,,,,YouGov-5
266.0,5,Georgia,16,51,48,,Sep 24,,,,,,,,Beacon + Shaw for Fox-5
266.0,7,Georgia,16,47,49,,Sep 25,,,,,,,,BSG + GS for Cook-7
266.0,7,Georgia,16,49,49,,Sep 25,,,,,,,,Morning Consult-7
264.5,6,Georgia,16,49,50,,Sep 23,,,,,,,,Marist Coll.-6
263.0,5,Georgia,16,45,49,,Sep 21,,,,,,,,Siena Coll.-5
260.5,4,Georgia,16,48,50,,Sep 18,,,,,,,,Emerson Coll.-4
257.5,10,Georgia,16,48,49,,Sep 18,,,,,,,,Morning Consult-10
256.0,7,Georgia,16,44,47,,Sep 15,,,,,,,,U. of Georgia-7
250.0,5,Georgia,16,46,49,,Sep 08,,,,,,,,Quinnipiac U.-5
249.5,2,Georgia,16,45,47,,Sep 06,,,,,,,,Florida Atlantic U.-2
247.5,10,Georgia,16,48,48,,Sep 08,,,,,,,,Morning Consult-10
243.0,3,Georgia,16,48,48,,Aug 31,,,,,,,,Insider Advantage-3
241.5,12,Georgia,16,45,47,,Sep 03,,,,,,,,YouGov-12
239.5,4,Georgia,16,49,48,,Aug 28,,,,,,,,Emerson Coll.-4
239.0,7,Georgia,16,48,47,,Aug 29,,,,,,,,SSRS for CNN-7
237.5,4,Georgia,16,49,47,,Aug 26,,,,,,,,Morning Consult-4
237.5,4,Georgia,16,50,48,,Aug 26,,,,,,,,Beacon + Shaw for Fox-4
224.5,6,Georgia,16,44,51,,Aug 14,,,,,,,,Siena Coll.-6
211.5,2,Georgia,16,47,49,,Jul 30,,,,,,,,Insider Adv. + Trafalgar-2
211.5,2,Georgia,16,48,47,,Jul 30,,,,,,,,PPP-2
211.5,8,Georgia,16,48,48,,Aug 02,,,,,,,,BSG + GS for Cook-8
209.5,8,Georgia,16,48,48,,Jul 31,,,,,,,,Fabrizio + Impact-8
208.0,5,Georgia,16,47,47,,Jul 28,,,,,,,,Morning Consult-5
207.5,2,Georgia,16,46,50,,Jul 26,,,,,,,,SoCal Research-2
204.5,2,Georgia,16,46,48,,Jul 23,,,,,,,,Emerson Coll.-2
197.5,2,Georgia,16,39,44,,Jul 16,,,,,,,,Emerson Coll.-2
197.5,2,Georgia,16,44,47,,Jul 16,,,,,,,,Insider Advantage-2
195.5,4,Georgia,16,43,46,,Jul 15,,,,,,,,Florida Atlantic U.-4
194.0,9,Georgia,16,46,51,,Jul 16,,,,,,,,U. of Georgia-9
190.0,9,Georgia,16,40,44,,Jul 12,,,,,,,,YouGov-9
184.5,4,Georgia,16,46,47,,Jul 04,,,,,,,,Morning Consult-4
183.0,3,Georgia,16,42,47,,Jul 02,,,,,,,,Emerson Coll.-3
167.5,6,Georgia,16,48,52,,Jun 18,,,,,,,,Emerson Coll.-6
167.5,10,Georgia,16,38,43,,Jun 20,,,,,,,,U. of Georgia-10
153.0,5,Georgia,16,44,49,,Jun 03,,,,,,,,Quinnipiac U.-5
131.0,7,Georgia,16,44,47,,May 13,,,,,,,,Morning Consult-7
130.5,8,Georgia,16,38,42,,May 13,,,,,,,,BSG + GS for Cook-8
124.5,12,Georgia,16,41,50,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Georgia,16,49,51,,Apr 29,,,,,,,,Emerson Coll.-5
108.0,9,Georgia,16,44,47,,Apr 21,,,,,,,,Zogby-9
104.5,6,Georgia,16,45,51,,Apr 16,,,,,,,,Beacon + Shaw for Fox-6
101.5,6,Georgia,16,43,49,,Apr 13,,,,,,,,Morning Consult-6
 80.5,8,Georgia,16,43,44,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 72.5,4,Georgia,16,47,51,,Mar 14,,,,,,,,Marist Coll.-4
 70.0,5,Georgia,16,42,49,,Mar 12,,,,,,,,Morning Consult-5
 67.5,8,Georgia,16,48,51,,Mar 11,,,,,,,,YouGov-8
 66.0,3,Georgia,16,48,52,,Mar 07,,,,,,,,Emerson Coll.-3
 47.0,9,Georgia,16,43,49,,Feb 20,,,,,,,,Morning Consult-9
 46.0,3,Georgia,16,42,48,,Feb 16,,,,,,,,Emerson Coll.-3
 28.0,5,Georgia,16,43,51,,Jan 30,,,,,,,,Beacon+Shaw for Fox-5
 18.5,6,Georgia,16,41,49,,Jan 21,,,,,,,,Morning Consult-6
  7.0,9,Georgia,16,37,45,,Jan 11,,,,,,,,U. of Georgia.-9
108.0,9,Hawaii,4,55,33,,Apr 21,,,,,,,,Zogby-9
108.0,9,Idaho,4,31,60,,Apr 21,,,,,,,,Zogby-9
105.5,4,Idaho,4,28,63,,Apr 16,,,,,,,,Civiqs-4
230.5,24,Illinois,19,58,42,,Aug 29,,,,,,,,Activote-24
108.0,9,Illinois,19,53,40,,Apr 21,,,,,,,,Zogby-9
256.5,2,Indiana,11,40,57,,Sep 13,,,,,,,,Emerson Coll.-2
108.0,9,Indiana,11,43,47,,Apr 21,,,,,,,,Zogby-9
 63.5,4,Indiana,11,34,55,,Mar 05,,,,,,,,Emerson Coll.-4
253.5,4,Iowa,6,43,47,,Sep 11,,,,,,,,Selzer-4
163.5,6,Iowa,6,32,50,,Jun 14,,,,,,,,Selzer-6
108.0,9,Iowa,6,45,47,,Apr 21,,,,,,,,Zogby-9
 57.5,4,Iowa,6,33,48,,Feb 28,,,,,,,,Selzer-4
  3.0,3,Iowa,6,39,51,,Jan 04,,,,,,,,Zogby-3
108.0,9,Kansas,6,44,49,,Apr 21,,,,,,,,Zogby-9
108.0,9,Kentucky,8,35,60,,Apr 21,,,,,,,,Zogby-9
115.0,5,Louisiana,8,33,48,,Apr 26,,,,,,,,Faucheux Strategies-5
108.0,9,Louisiana,8,39,54,,Apr 21,,,,,,,,Zogby-9
267.5,28,Maine,4,48,41,,Oct 07,,,,,,,,Critical Insights-28
254.0,11,Maine,4,50,41,,Sep 15,,,,,,,,Pan Atlantic Research-11
230.0,5,Maine,4,55,38,,Aug 19,,,,,,,,U. of New Hampshire-5
206.0,3,Maine,4,54,45,,Jul 25,,,,,,,,U. of New Hampshire-3
110.0,23,Maine,4,40,41,,Apr 30,,,,,,,,Critical Insights-23
108.0,9,Maine,4,45,46,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Maine,4,52,36,,Mar 03,,,,,,,,Florida Atlantic U.-4
 41.0,9,Maine,4,32,38,,Feb 14,,,,,,,,Pan Atlantic Research-9
294.0,3,Maryland,10,64,34,,Oct 21,,,,,,,,Emerson Coll.-3
293.5,6,Maryland,10,61,33,,Oct 22,,,,,,,,U. of Maryland-6
284.5,10,Maryland,10,64,31,,Oct 15,,,,,,,,Morning Consult-10
269.5,6,Maryland,10,57,35,,Sep 28,,,,,,,,U. of Maryland-6
265.0,5,Maryland,10,63,31,,Sep 23,,,,,,,,U. of Maryland-5
260.5,2,Maryland,10,64,33,,Sep 17,,,,,,,,PPP-2
257.5,10,Maryland,10,61,33,,Sep 18,,,,,,,,Morning Consult-10
256.5,2,Maryland,10,63,32,,Sep 13,,,,,,,,Emerson Coll.-2
247.5,10,Maryland,10,62,34,,Sep 08,,,,,,,,Morning Consult-10
240.0,7,Maryland,10,56,35,,Aug 30,,,,,,,,Gonzales Research-7
230.0,7,Maryland,10,64,32,,Aug 20,,,,,,,,Fabrizio + Anzalone-7
171.5,2,Maryland,10,56,30,,Jun 20,,,,,,,,PPP-2
128.0,3,Maryland,10,56,35,,May 08,,,,,,,,Emerson Coll.-3
127.5,2,Maryland,10,60,32,,May 07,,,,,,,,PPP-2
108.0,9,Maryland,10,58,34,,Apr 21,,,,,,,,Zogby-9
 43.5,2,Maryland,10,55,32,,Feb 13,,,,,,,,Emerson Coll.-2
 29.5,14,Maryland,10,53,32,,Feb 05,,,,,,,,Gonzales Research-14
280.5,8,Massachusetts,11,56,30,,Oct 10,,,,,,,,U. of Mass.-8
277.0,5,Massachusetts,11,61,32,,Oct 05,,,,,,,,Suffolk U.-5
259.0,7,Massachusetts,11,63,35,,Sep 18,,,,,,,,MassINC-7
258.0,5,Massachusetts,11,62,31,,Sep 16,,,,,,,,U. of New Hampshire-5
199.0,3,Massachusetts,11,47,29,,Jul 18,,,,,,,,Suffolk U.-3
144.5,14,Massachusetts,11,48,27,,May 30,,,,,,,,U. of Mass.-14
139.0,5,Massachusetts,11,68,32,,May 20,,,,,,,,U. of New Hampshire-5
109.0,5,Massachusetts,11,52,22,,Apr 20,,,,,,,,Suffolk U.-5
108.0,9,Massachusetts,11,55,36,,Apr 21,,,,,,,,Zogby-9
 36.0,5,Massachusetts,11,45,26,,Feb 07,,,,,,,,Suffolk U.-5
293.0,5,Michigan,15,50,46,,Oct 21,,,,,,,,Quinnipiac U.-5
292.0,5,Michigan,15,50,46,,Oct 20,,,,,,,,Morning Consult-5
284.5,10,Michigan,15,49,47,,Oct 15,,,,,,,,Morning Consult-10
280.5,4,Michigan,15,50,50,,Oct 08,,,,,,,,Emerson Coll.-4
280.5,16,Michigan,15,49,47,,Oct 14,,,,,,,,George Mason U.-16
280.0,3,Michigan,15,51,48,,Oct 07,,,,,,,,Research Co.-3
279.0,5,Michigan,15,47,51,,Oct 07,,,,,,,,Quinnipiac U.-5
279.0,7,Michigan,15,48,49,,Oct 08,,,,,,,,Fabrizio + Anzalone-7
277.0,11,Michigan,15,49,47,,Oct 08,,,,,,,,Fabrizio + GBAO-11
276.5,4,Michigan,15,47,44,,Oct 04,,,,,,,,Glengariff Group-4
270.0,7,Michigan,15,47,49,,Sep 29,,,,,,,,GSG + NSOR-7
267.5,6,Michigan,15,48,47,,Sep 26,,,,,,,,Siena Coll.-6
266.0,7,Michigan,15,50,47,,Sep 25,,,,,,,,Morning Consult-7
266.0,7,Michigan,15,51,48,,Sep 25,,,,,,,,BSG + GS for Cook-7
261.5,4,Michigan,15,48,45,,Sep 19,,,,,,,,Suffolk U.-4
260.5,4,Michigan,15,50,49,,Sep 18,,,,,,,,Emerson Coll.-4
259.0,9,Michigan,15,48,43,,Sep 19,,,,,,,,U. of Mass.-9
259.0,9,Michigan,15,48,43,,Sep 19,,,,,,,,YouGov-9
258.0,5,Michigan,15,51,46,,Sep 16,,,,,,,,Quinnipiac U.-5
257.5,6,Michigan,15,52,47,,Sep 16,,,,,,,,Marist Coll.-6
257.5,10,Michigan,15,52,44,,Sep 18,,,,,,,,Morning Consult-10
255.5,2,Michigan,15,48,49,,Sep 12,,,,,,,,Insider Advantage-2
248.5,4,Michigan,15,50,49,,Sep 06,,,,,,,,YouGov-4
247.5,10,Michigan,15,49,46,,Sep 08,,,,,,,,Morning Consult-10
241.5,12,Michigan,15,48,43,,Sep 03,,,,,,,,YouGov-12
240.5,4,Michigan,15,44,45,,Aug 29,,,,,,,,Glengariff Group-4
239.5,4,Michigan,15,50,47,,Aug 28,,,,,,,,Emerson Coll.-4
239.0,7,Michigan,15,48,43,,Aug 29,,,,,,,,SSRS for CNN-7
237.5,4,Michigan,15,46,47,,Aug 26,,,,,,,,EPIC-MRA-4
237.5,4,Michigan,15,49,46,,Aug 26,,,,,,,,Morning Consult-4
225.5,32,Michigan,15,50,50,,Aug 28,,,,,,,,Activote-32
222.0,5,Michigan,15,48,48,,Aug 11,,,,,,,,Fabrizio + Anzalone-5
220.0,3,Michigan,15,49,47,,Aug 08,,,,,,,,Insider Advantage-3
220.0,5,Michigan,15,50,46,,Aug 09,,,,,,,,Siena Coll.-5
211.5,8,Michigan,15,49,46,,Aug 02,,,,,,,,BSG + GS for Cook-8
208.0,5,Michigan,15,53,42,,Jul 28,,,,,,,,Morning Consult-5
207.5,2,Michigan,15,46,49,,Jul 26,,,,,,,,SoCal Research-2
205.0,3,Michigan,15,42,41,,Jul 24,,,,,,,,Glengariff Group-3
205.0,3,Michigan,15,49,49,,Jul 24,,,,,,,,Beacon + Shaw for Fox-3
204.5,2,Michigan,15,45,46,,Jul 23,,,,,,,,Emerson Coll.-2
199.5,2,Michigan,15,46,49,,Jul 18,,,,,,,,PPP-2
197.5,2,Michigan,15,40,43,,Jul 16,,,,,,,,Emerson Coll.-2
196.5,4,Michigan,15,43,46,,Jul 16,,,,,,,,Civiqs-4
194.0,3,Michigan,15,36,39,,Jul 13,,,,,,,,Marketing Resource Grp.-3
190.0,9,Michigan,15,40,42,,Jul 12,,,,,,,,YouGov-9
185.0,5,Michigan,15,48,43,,Jul 05,,,,,,,,Morning Consult-5
183.0,3,Michigan,15,44,45,,Jul 02,,,,,,,,Emerson Coll.-3
175.5,6,Michigan,15,45,49,,Jun 26,,,,,,,,EPIC-MRA-6
167.5,6,Michigan,15,49,51,,Jun 18,,,,,,,,Emerson Coll.-6
151.5,2,Michigan,15,47,46,,May 31,,,,,,,,Florida Atlantic U.-2
131.0,7,Michigan,15,46,45,,May 13,,,,,,,,Morning Consult-7
130.5,8,Michigan,15,45,47,,May 13,,,,,,,,BSG + GS for Cook-8
124.5,12,Michigan,15,47,46,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Michigan,15,48,52,,Apr 29,,,,,,,,Emerson Coll.-5
113.0,7,Michigan,15,51,49,,Apr 25,,,,,,,,YouGov-7
108.0,9,Michigan,15,48,45,,Apr 21,,,,,,,,Zogby-9
104.5,6,Michigan,15,46,49,,Apr 16,,,,,,,,Beacon + Shaw for Fox-6
101.5,6,Michigan,15,47,45,,Apr 13,,,,,,,,Morning Consult-6
100.5,4,Michigan,15,36,42,,Apr 11,,,,,,,,Marketing Resource Grp.-4
 80.5,8,Michigan,15,45,48,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 76.0,5,Michigan,15,50,50,,Mar 18,,,,,,,,Emerson Coll.-5
 75.5,6,Michigan,15,42,50,,Mar 18,,,,,,,,SSRS for CNN-6
 70.0,5,Michigan,15,45,45,,Mar 12,,,,,,,,Morning Consult-5
 70.0,5,Michigan,15,45,48,,Mar 12,,,,,,,,Quinnipiac U.-5
 53.0,5,Michigan,15,44,46,,Feb 24,,,,,,,,Emerson Coll.-5
 47.0,9,Michigan,15,44,46,,Feb 20,,,,,,,,Morning Consult-9
 46.5,6,Michigan,15,41,45,,Feb 18,,,,,,,,EPIC-MRA-6
 41.0,5,Michigan,15,45,47,,Feb 12,,,,,,,,Beacon+Shaw for Fox-5
  4.0,5,Michigan,15,39,47,,Jan 06,,,,,,,,Glengariff Group-5
  3.0,3,Michigan,15,44,47,,Jan 04,,,,,,,,Zogby-3
261.0,3,Minnesota,10,48,43,,Sep 18,,,,,,,,Mason Dixon-3
257.5,10,Minnesota,10,50,43,,Sep 18,,,,,,,,Morning Consult-10
250.0,5,Minnesota,10,49,45,,Sep 08,,,,,,,,Embold Research-5
247.5,10,Minnesota,10,51,44,,Sep 08,,,,,,,,Morning Consult-10
241.0,3,Minnesota,10,48,43,,Aug 29,,,,,,,,SurveyUSA-3
206.0,3,Minnesota,10,50,40,,Jul 25,,,,,,,,SurveyUSA-3
205.0,3,Minnesota,10,52,46,,Jul 24,,,,,,,,Beacon + Shaw for Fox-3
167.5,6,Minnesota,10,51,49,,Jun 18,,,,,,,,Emerson Coll.-6
166.0,5,Minnesota,10,47,41,,Jun 16,,,,,,,,SurveyUSA-5
156.0,3,Minnesota,10,45,41,,Jun 05,,,,,,,,Mason Dixon-3
130.5,4,Minnesota,10,44,42,,May 11,,,,,,,,SurveyUSA-4
108.0,9,Minnesota,10,46,44,,Apr 21,,,,,,,,Zogby-9
 96.0,5,Minnesota,10,44,42,,Apr 07,,,,,,,,SurveyUSA-5
 61.5,4,Minnesota,10,46,39,,Mar 03,,,,,,,,Florida Atlantic U.-4
 56.5,6,Minnesota,10,42,38,,Feb 28,,,,,,,,SurveyUSA-6
 26.5,6,Minnesota,10,42,39,,Jan 29,,,,,,,,SurveyUSA-6
108.0,9,Mississippi,6,42,51,,Apr 21,,,,,,,,Zogby-9
256.5,2,Missouri,10,43,53,,Sep 13,,,,,,,,Emerson Coll.-2
225.0,9,Missouri,10,41,54,,Aug 16,,,,,,,,YouGov-9
221.0,29,Missouri,10,41,59,,Aug 22,,,,,,,,Activote-29
170.0,3,Missouri,10,43,57,,Jun 19,,,,,,,,Emerson Coll.-3
108.0,9,Missouri,10,43,49,,Apr 21,,,,,,,,Zogby-9
 25.5,6,Missouri,10,32,49,,Jan 28,,,,,,,,Emerson Coll.-6
280.5,4,Montana,4,40,57,,Oct 08,,,,,,,,Siena Coll.-4
240.0,5,Montana,4,41,56,,Aug 29,,,,,,,,Fabrizio + Binder-5
218.5,2,Montana,4,40,55,,Aug 06,,,,,,,,Emerson Coll.-2
108.0,9,Montana,4,34,59,,Apr 21,,,,,,,,Zogby-9
